,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,complex 7640,"['CCDC59', 'TFAM']",0.02040816326530612,0.0005266554354874238,2,2,98
1,21,complex 8638,"['HSPE1', 'HSPD1']",0.02040816326530612,0.0005266554354874238,2,2,98
2,21,complex 10269,"['SQSTM1', 'GABARAP']",0.02040816326530612,0.0005266554354874238,2,2,98
3,21,complex 10694,"['BRIX1', 'RRP1']",0.02040816326530612,0.0005266554354874238,2,2,98
4,21,complex 13869,"['TOMM5', 'TOMM40']",0.02040816326530612,0.0005266554354874238,2,2,98
5,21,complex 16662,"['STK17B', 'MYL12A']",0.02040816326530612,0.0005266554354874238,2,2,98
6,21,complex 19134,"['EIF3J', 'ABCE1']",0.02040816326530612,0.0005266554354874238,2,2,98
7,21,complex 24021,"['CYTIP', 'CYTH1']",0.02040816326530612,0.0005266554354874238,2,2,98
8,21,complex 25804,"['DKC1', 'LYAR']",0.02040816326530612,0.0005266554354874238,2,2,98
9,21,complex 27059,"['MYO1F', 'MYL12A']",0.02040816326530612,0.0005266554354874238,2,2,98
10,35,complex 2827,"['NUP85', 'NUP133']",0.02040816326530612,0.0005266554354874238,2,2,98
11,35,complex 12707,"['B4GALT5', 'IL27RA']",0.02040816326530612,0.0005266554354874238,2,2,98
12,35,complex 21548,"['CLOCK', 'BMAL1']",0.02040816326530612,0.0005266554354874238,2,2,98
13,33,complex 21044,"['NDUFB10', 'COX6C']",0.02040816326530612,0.0005266554354874238,2,2,98
14,33,complex 21295,"['COX6C', 'COX4I1']",0.02040816326530612,0.0005266554354874238,2,2,98
15,58,complex 6768,"['HSP90AA1', 'HSPH1']",0.02040816326530612,0.0005266554354874238,2,2,98
16,58,complex 15595,"['TOMM5', 'TOMM22']",0.02040816326530612,0.0005266554354874238,2,2,98
17,58,complex 25296,"['HSP90AA1', 'AHSA1']",0.02040816326530612,0.0005266554354874238,2,2,98
