hdbscan,cluster_gene_size,corr_rest,corr_stim8hr,corr_stim48hr,corr_match,corr_mismatch,corr_max,corr_std,corr_cov,corr_min,corr_mean,corr_mismatch_to_match,condition_specificity
-1,405,0.03171675341206319,0.026276039328289806,0.03128375786860269,0.02972720035913101,0.01787620012295705,0.03171675341206319,0.0030239626282142916,0.10161557343740875,0.026276039328289806,0.02975885020298523,0.6013415292054637,across_condition
0,7,0.4064815726486652,0.5129760821592928,0.496742847846206,0.47206683421805457,0.35607590946914386,0.5129760821592928,0.057375511983857895,0.12154107813758273,0.4064815726486652,0.4720668342180547,0.7542913072022068,across_condition
1,2,0.3827114395138128,0.4115639893317561,0.2920669358223227,0.36211412155596384,0.3277207026637171,0.4115639893317561,0.06235441908679482,0.172195491351911,0.2920669358223227,0.36211412155596384,0.9050204981113079,across_condition
2,11,0.2616803292537897,0.3042536185679069,0.28165853621510084,0.2838760214805546,0.20715558396926062,0.3042536185679069,0.02130004484714603,0.0753901618347337,0.2616803292537897,0.2825308280122658,0.7297396338332532,across_condition
3,3,0.5085553918317508,0.5035697475249864,0.4530380856617249,0.4883877416728206,0.29677971906460154,0.5085553918317508,0.03071502559604167,0.06289065628641063,0.4530380856617249,0.4883877416728207,0.6076723343793903,across_condition
4,2,0.4946905066126985,0.5187539967450883,0.5351795844902068,0.5162080292826645,0.3765135888508559,0.5351795844902068,0.020364253474716987,0.039449703064509976,0.4946905066126985,0.5162080292826645,0.7293834413503186,across_condition
5,2,0.5838471498621146,0.5960781679485188,0.5959400350770324,0.5919551176292219,0.45855450764099626,0.5960781679485188,0.007022045724494014,0.011862463074256847,0.5838471498621146,0.5919551176292219,0.7746440464566053,across_condition
6,6,0.28189776494507535,0.2842998588126965,0.2022504059257225,0.2628867103905951,0.16879182340447554,0.2842998588126965,0.04669329818571097,0.18228935353615067,0.2022504059257225,0.25614934322783145,0.6420705830039333,across_condition
7,10,0.37561466525575604,0.41273355039862,0.2502290503984347,0.34143948427610243,0.27357749524192937,0.41273355039862,0.08515385738738622,0.24597262092310107,0.2502290503984347,0.34619242201760353,0.8012473888951374,across_condition
8,7,0.28758969513171717,0.34453305238340015,0.2720318568291001,0.301384868114739,0.15659697275580442,0.34453305238340015,0.03816852024148092,0.1266437843420524,0.2720318568291001,0.30138486811473914,0.5195913575069967,across_condition
