,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
0,21,0.32960833530360445,1.9708712768470864,0.703896918663307,1.0,0.0,1.0,135,1.0,0.0,1.0
1,35,1.4082711017690601,1.1707986624426623,0.6667302584322872,3.6827084440346655e-77,2.7347557057698222e-17,1.0,37,3.645881359594319e-75,2.7347557057698185e-15,1.0
2,33,1.2596222064586553,1.0882030354836796,0.5507338714481801,1.2762430636242374e-17,0.0007990146901059581,1.0,13,1.18690604917054e-15,0.07015688498354802,1.0
3,58,1.1218131877833883,0.91698086845707,1.469315153306181,3.145898629837141e-205,1.0,0.0,174,3.3031935613289984e-203,1.0,0.0
4,41,1.049129111649709,1.0509974539972915,0.34025940547988065,0.0036553512362387146,0.0024083349262786343,1.0,52,0.2288468179088475,0.1950793409840441,1.0
5,77,0.6363879687670008,0.40876992267033874,2.3411104335457926,1.0,1.0,0.0,84,1.0,1.0,0.0
6,-1,1.2318352573509133,0.8152012392891157,0.7695410715607786,4.0950152789059256e-126,1.0,1.0,405,4.217865737273104e-124,1.0,1.0
7,16,0.9912031331288137,0.821980050795241,0.6537724542373593,0.5181776056221895,0.7975899219448267,0.9109608674888714,2,0.9999999999999004,1.0,1.0
8,99,0.5774494753173796,0.6641104402245231,1.4847259336896896,1.0,1.0,0.0,195,1.0,1.0,0.0
9,60,2.0150594758427953,2.3390076750507935,0.4960828972794873,1.1333395067724861e-264,0.0,1.0,50,1.2126732722465602e-262,0.0,1.0
10,15,1.1237230155802862,1.3121184277751379,1.056001203720679,4.114561355682111e-100,0.0,9.689815157003452e-21,88,4.155706969238932e-98,0.0,1.0368102217993693e-18
11,88,1.6437881019886833,1.4330538748671864,0.2937062654594833,0.0,6.469774184201405e-305,1.0,99,0.0,7.052053860779532e-303,1.0
12,68,1.1701629462375416,1.513343780654385,0.4870510820871954,3.9006169331232135e-06,4.863321075970124e-39,1.0,22,0.00032759878920050564,5.057853919008929e-37,1.0
13,97,1.5686899244340624,1.3025136549780019,0.5585560990190014,0.00034238234426824175,0.030277549125306894,0.9963389657406828,8,0.026356828050404187,0.9267119294431145,1.0
14,0,0.8492655627470613,0.8557455902268447,0.6571907890677984,0.9984507151021133,0.9976902085011434,0.9999999945713868,7,1.0,1.0,1.0
15,43,1.0604049562600546,0.9084542562038791,0.806864911888493,0.308465474472561,0.7653528272900596,0.8964652977524967,2,0.9999999795324602,1.0,1.0
16,2,0.937237157588412,0.870256517689648,0.638339920908951,0.8848834276520051,0.9968661378104523,0.9999999999979797,11,1.0,1.0,1.0
17,54,2.2473563402621557,1.6531679436070792,0.2880922509049031,2.9587802355400776e-241,1.1627535691748437e-88,1.0,43,3.1363070496724822e-239,1.2441463190170827e-86,1.0
18,106,2.4612837967967605,0.5551965313548335,0.33217099359172064,0.0,1.0,1.0,70,0.0,1.0,1.0
19,8,1.2104099980550933,1.1570382568871382,0.7249371977554848,0.0008900020103444312,0.008141479065274683,0.9999644870564236,7,0.06459891363122405,0.5089492346463799,1.0
20,30,2.4404458815402026,1.6559160435270408,0.45580425197605295,0.0,8.409836402064325e-307,1.0,87,0.0,9.250820042270757e-305,1.0
21,10,1.0584707114267797,1.0989963222544041,0.6249500076533722,3.74604686523558e-06,4.035634636582478e-14,1.0,42,0.000318363891401139,3.9952782902087525e-12,1.0
22,24,0.7135057042324443,1.1781190816883962,0.4721328128174708,0.9907504440920359,0.06596124680976324,0.9999774743390384,7,1.0,0.9965303447723353,1.0
23,76,0.8198030508605684,0.7382471496186638,2.3922533028549338,0.9999999999397532,1.0,0.0,78,1.0,1.0,0.0
24,102,0.7089814193833593,0.436416958792904,1.5119726230808952,0.9997464739210051,0.999999999842104,4.650103283356292e-09,10,1.0,1.0,4.743104235199138e-07
25,109,0.48134354941186874,0.522953655099849,2.266228586953736,0.999965629103374,0.9999042662718333,4.060320650991222e-20,15,1.0,1.0,4.303939890050695e-18
26,9,1.0221833902743533,0.9967880434463426,0.6871060104519837,0.047624567558812496,0.5932536361386391,1.0,34,0.9490318100589298,1.0,1.0
27,90,0.6306210438869233,1.5154624675426962,3.418572429270499,0.9885151529565525,0.0005663657112651205,1.0448089257138417e-45,25,1.0,0.05132303416503649,1.128393639770949e-43
28,38,0.9616767797437933,0.8859115344944191,0.8470370145327619,0.6695668350376482,0.9005342974183479,0.954326232254801,6,1.0,1.0,1.0
29,6,1.167010637515665,0.9390620500902783,0.5283847960621422,0.10821450788457154,0.6794330774224003,0.9961420695252013,6,0.9983609863987355,1.0,1.0
30,96,0.9692730580865476,1.2820320781700674,0.5367442752553476,0.9968264616141842,4.963477248190425e-140,1.0,83,1.0,5.360555428045659e-138,1.0
31,73,0.574265463362511,0.8154139195898563,0.9019687339604612,0.7794039457109093,0.633367275015575,0.5724703748175906,3,1.0,1.0,1.0
32,7,1.0224064475971049,0.8975871925065041,0.4315169218980674,0.3270276650852078,0.9680217195949062,1.0,10,0.9999999917611058,1.0,1.0
33,101,2.4518364388040244,0.7620986424277619,0.22076566547714266,0.0,1.0,1.0,58,0.0,1.0,1.0
34,29,1.834231217106055,0.6315589117404944,0.41825274427515136,0.00023067444268111995,0.9727936571491974,0.9973327103712533,4,0.018060305213422972,1.0,1.0
35,26,3.3320135480400084,0.49323558401982137,0.2828052536735778,2.5292397834720415e-121,0.99999999998558,1.0,23,2.5798245791414824e-119,1.0,1.0
36,20,1.13545210333493,0.6856612007897609,0.642471616511588,0.2752097059014018,0.9053941813362576,0.9288095073279168,3,0.9999998975248774,1.0,1.0
37,105,3.3166666565186063,0.7210874753142502,0.12549501622584142,0.0,0.9999999999999857,1.0,36,0.0,1.0,1.0
38,87,1.5869031255755512,0.8685140716647323,0.39328944091878404,2.3250015000104913e-80,0.9999979168105909,1.0,32,2.325001500010491e-78,1.0,1.0
39,27,3.0927077631793294,0.5575514385438559,0.22232154033955104,0.0,1.0,1.0,215,0.0,1.0,1.0
40,45,1.4855071194068767,0.5488273052460522,0.3903307477312131,0.031348534905197886,0.9585153375235413,0.989702248952545,8,0.8697665518607389,1.0,1.0
41,19,1.2324847474440837,0.9485570812575104,0.6912018528590006,0.0640117942671386,0.6335464008539995,0.9781010217316252,6,0.9811104080258771,1.0,1.0
42,78,0.8849717415525351,0.7982842055287065,1.025063680188206,0.9999328963191896,0.9999999999996272,0.18790309523274967,31,1.0,1.0,0.9999999951702719
