,gene,functional_group
325,UBE3D,10
326,NDUFB10,13
327,CCNF,0
328,FANCB,35
329,ALS2,35
330,TMEM131,32
331,RRAGC,36
332,MBTPS1,22
333,PAK1,7
334,N6AMT1,42
335,CACHD1,10
336,RICTOR,16
337,TEDC1,3
338,PPP1R11,26
339,MRC2,0
340,CBFB,11
341,TNRC6A,1
342,DPH6,22
343,MEAF6,35
344,A2M,20
345,RXRB,18
346,ZNF630,7
347,PPIF,21
348,DNAJB9,39
349,TMEM45B,24
350,KDM8,13
351,STK40,1
352,PTPN1,27
353,RAB27B,1
354,PSD,32
355,POLDIP3,10
356,HDAC1,8
357,SLC5A6,7
358,COG5,40
359,RBM10,30
360,L3MBTL3,6
361,MTRR,22
362,SBDS,9
363,SLC35D2,31
364,COP1,12
365,SHQ1,4
366,CKLF-CMTM1,7
367,NELFCD,12
368,CIT,11
369,KLHDC10,44
370,PPA2,26
371,FOXK1,30
372,PTEN,40
373,XRCC2,27
374,ALOX5,3
375,TSC2,16
376,TMEM214,22
377,MRPL16,34
378,TUFM,2
379,ARHGAP30,15
380,SRPK1,24
381,SLC35A2,18
382,WRAP53,30
383,FBXO28,24
384,SRR,11
385,KLF13,29
386,ZBED6,10
387,PTCD2,19
388,MRPS26,2
389,TIPRL,29
390,PRXL2B,31
391,SIMC1,8
392,CKS1B,13
393,ARID2,25
394,ZNF71,10
395,ETV2,9
396,FRA10AC1,6
397,ZNF662,18
398,NPIPA7,12
399,RCC1L,19
400,WASL,17
401,PRAM1,7
402,YEATS2,0
403,TENT2,44
404,HOXC10,15
405,CCR10,15
406,PBX2,8
407,EDRF1,11
408,IMMT,20
409,NMT1,8
410,POGK,0
411,FAM161B,34
412,BNIP3,5
413,COL4A1,20
414,MRPS21,2
415,ZFR,20
416,NFKBIL1,46
417,DNAJA3,32
418,AK9,0
419,PATL1,47
420,ETFDH,10
421,KMT5A,32
422,SCYL3,33
423,RPL26L1,27
424,SLC25A3,9
425,EMC2,36
426,PHF3,1
427,FDX1,42
428,RHOC,31
429,USP16,50
430,WRN,12
431,VAMP5,10
432,RANBP3,36
433,GPR63,49
434,PTPA,6
435,MORC2,20
436,ZC3H10,0
437,TARBP2,6
438,UBC,10
439,SFXN1,11
440,DNAAF2,6
441,MRPS23,19
442,YBX1,6
443,RHBDF2,8
444,MYC,28
445,PHOSPHO2,51
446,MRPL10,2
447,CARD11,32
448,PLOD3,1
449,MRPS15,19
450,RREB1,16
451,ELP3,45
452,ANKRD40,32
453,BEX3,10
454,ATXN2L,22
455,AP1M1,42
456,NAA40,38
457,PEX6,33
458,BARX1,21
459,FANCF,3
460,MVB12B,15
461,TOPORS,9
462,WAS,39
463,ABCC1,44
464,SENP5,33
465,TP53,14
466,SLC27A3,15
467,TAOK2,14
468,EIF4G2,5
469,HSPE1,6
470,PIK3C2B,14
471,RAB11FIP1,12
472,FAM131A,1
473,ZNF154,5
474,ATRX,36
475,MYH9,5
476,GNAZ,22
477,PPCDC,2
478,CCDC138,7
479,PRKRA,4
480,ADAT2,2
481,APOBEC3G,31
482,MRPL46,34
483,HCCS,34
484,SEC14L2,23
485,TPD52L1,14
486,KIF20A,6
487,WBP4,8
488,PPP1R12C,14
489,ITGB2,0
490,ATPAF2,30
491,PPP1R12A,5
492,ALG2,39
493,COX4I1,34
494,CARD6,23
495,FBXO11,0
496,CYC1,34
497,C8orf33,52
498,MYO6,28
499,MAEA,0
500,RHEB,13
501,BHLHE40,17
502,KDELR2,41
503,ZFPM1,33
504,UBE2L3,33
505,L3MBTL2,48
506,SPTLC2,4
507,ASNA1,27
508,ZFX,3
509,USP28,9
510,ELAVL1,20
511,RHBDD3,3
512,LRP2BP,7
513,SPSB2,46
514,YPEL5,28
515,ETNK1,21
516,GPR15,44
517,COQ2,4
518,NPM1,13
519,MRPS18B,4
520,SP100,9
521,LMBR1L,28
522,ATG12,7
523,PCBP1,6
524,RALGAPB,8
525,IMMP2L,1
526,C1orf21,15
527,UBE2B,28
528,USP22,8
529,ERGIC3,28
530,KIAA2026,21
531,SNX1,23
532,FBXL15,23
533,RBP5,38
534,AMIGO1,7
535,LAMP1,5
536,SIRT7,28
537,DTX4,1
538,ARMC8,12
539,EMC6,11
540,ZFC3H1,28
541,CARM1,40
542,NAF1,40
543,AIFM1,19
544,TMEM259,26
545,TIMM50,1
546,INO80B,17
547,S1PR4,43
548,MIA2,39
549,MIOS,13
550,STARD10,23
551,NSUN2,5
552,IMPG2,15
553,JUND,20
554,PTRH2,30
555,HEATR3,13
556,SUGT1,27
557,PRDX3,14
558,ZBTB9,15
559,DCAF5,5
560,KDM2A,38
561,PAK2,13
562,COG6,44
563,KDM6A,11
564,ATP23,49
565,COMMD8,30
566,C11orf54,0
567,H3F3C,13
568,ZC3HC1,38
569,INTS6,21
570,EZH2,13
571,RPS6KB1,0
572,ING5,27
573,MPI,39
574,HYKK,21
575,FBF1,8
576,RBPJL,28
577,ZNF304,15
578,USO1,41
579,C9orf64,32
580,STAT3,10
581,MGA,17
582,TBL1XR1,41
583,EXT1,0
584,CFD,1
585,NRG2,20
586,SUPT3H,14
587,DOT1L,2
588,ARID1A,10
589,HDHD3,12
590,CBX3,38
591,SLC25A27,27
