,gene,functional_group
1379,MNT,38
1380,ABHD13,5
1381,SMAD4,16
1382,PRIMPOL,12
1383,STIP1,37
1384,UBE2V2,9
1385,SETD2,3
1386,P4HB,41
1387,HNF4A,18
1388,MEST,50
1389,RIPK1,5
1390,IRF9,17
1391,TBC1D10A,7
1392,INPP5K,18
1393,UVSSA,43
1394,HOXB2,3
1395,TSPYL5,33
1396,HEXIM1,2
1397,OSGEP,32
1398,UMPS,34
1399,ITPA,32
1400,ARL5B,30
1401,KDM1A,16
1402,EPB41L3,15
1403,MRPS12,2
1404,KIAA1551,6
1405,ZNF165,37
1406,APPBP2,25
1407,SMARCD2,22
1408,FEM1A,14
1409,SLC7A11,4
1410,ZNF829,6
1411,FAM3C,31
1412,HSD17B10,2
1413,USF2,11
1414,CHD4,35
1415,NCKAP1L,15
1416,MTMR10,0
1417,NLGN2,6
1418,CCS,1
1419,NEB,37
1420,CHURC1,27
1421,SRRD,25
1422,FAF2,22
1423,SRD5A3,31
1424,SCO1,2
1425,TATDN2,47
1426,SIK2,7
1427,COX5A,4
1428,FAM122A,1
1429,SACM1L,18
1430,MMP28,28
1431,PYGM,11
1432,EIF3J,10
1433,ATF4,26
1434,RFWD3,1
1435,TMEM167A,43
1436,HMBS,2
1437,C7orf55-LUC7L2,1
1438,SCO2,2
1439,CHIC2,17
1440,WDR48,3
1441,SLC2A1,23
1442,SLC16A5,30
1443,TYK2,17
1444,THRA,31
1445,FAM83F,14
1446,SCAF4,22
1447,COQ4,34
1448,RBM33,1
1449,XRN1,11
1450,MFN2,4
1451,MCPH1,3
1452,PPP4C,6
1453,COX11,34
1454,EIF3K,6
1455,MRPS16,2
1456,PHGR1,31
1457,BRAT1,47
1458,CPSF6,13
1459,TMEM131L,22
1460,PPRC1,49
1461,NIPAL4,24
1462,HCN2,8
1463,RANBP1,16
1464,CEP44,32
1465,ULK4,7
1466,TTC39C,14
1467,HIBADH,21
1468,ACSS1,31
1469,C18orf32,6
1470,PDLIM2,12
1471,WDR61,6
1472,TMEM123,35
1473,JOSD2,9
1474,SFTPC,24
1475,PPP1R3B,20
1476,POU3F1,13
1477,PPP1R7,22
1478,WARS2,19
1479,ATP6V1E1,7
1480,TTC5,29
1481,WASF2,23
1482,ALG8,39
1483,EID2,33
1484,GSS,26
1485,MLX,35
1486,KRR1,27
1487,ACTR8,10
1488,MEN1,40
1489,SERF2,32
1490,VENTX,24
1491,MLKL,35
1492,DNAJC24,41
1493,MATR3,12
1494,B3GAT2,38
1495,CXXC1,4
1496,ATF7IP2,4
1497,SAMD4B,14
1498,GNG11,35
1499,MIA3,15
1500,RASA2,0
1501,FBRS,1
1502,LMNA,20
1503,ANKLE2,28
1504,MRPS24,19
1505,CCND2,48
1506,KDM3B,16
1507,GYPC,25
1508,TEFM,2
1509,ADO,48
1510,QRICH1,1
1511,NUDCD3,25
1512,ZMYM2,15
1513,CHMP1A,23
1514,HOMER1,25
1515,TSR2,3
1516,CRTC2,14
1517,CRTAP,8
1518,NR2C2,3
1519,CNOT10,35
1520,SP140L,18
1521,GALNT6,20
1522,PRUNE1,13
1523,KRT72,17
1524,MRPS35,2
1525,SEC14L1,26
1526,MRPL39,19
1527,MED14,50
1528,PIGN,12
1529,GPAA1,25
1530,BRK1,5
1531,SEL1L,41
1532,ADCY4,31
1533,MOSPD2,2
1534,DPH2,25
1535,CMTR1,9
1536,ANKAR,7
1537,LRRC2,9
1538,SMARCA4,17
1539,UGGT1,39
1540,IL21,21
1541,NEUROD2,49
1542,ALG12,17
1543,SLC25A10,34
1544,UBE2G2,39
1545,NOMO2,6
1546,C1D,40
1547,YTHDF2,5
1548,SLC39A6,45
1549,ZNF618,44
1550,SPSB3,21
1551,NDST2,0
1552,SHLD1,5
1553,GOLGA8A,38
1554,ZNF883,8
1555,TXNL1,3
1556,SH3GL1,10
1557,METTL14,36
1558,ZNF12,25
1559,OTUD1,0
1560,ZBTB7A,13
1561,KCTD21,29
1562,KMT2E,1
1563,TBX21,16
1564,CAP1,28
1565,PIM1,27
1566,UBXN1,15
1567,HELZ,8
1568,L2HGDH,40
1569,CEP57,14
1570,CTSF,37
1571,POU6F1,9
1572,PPP1R10,12
1573,CASP9,48
1574,TIMM10,7
1575,ADAM19,12
1576,POLG,34
1577,DEF8,37
1578,AFG3L2,4
1579,EIF1,41
1580,TRIB2,9
1581,LIG1,0
1582,SPTBN1,7
1583,EML2,13
1584,KAT7,46
1585,WIPI2,12
1586,WDR82,10
1587,UBR4,24
1588,WDR44,11
1589,NPEPPS,9
1590,NMT2,25
1591,TSEN2,26
1592,PGGT1B,17
1593,UBE2E1,27
1594,RWDD2A,10
1595,SMARCE1,0
1596,MYCN,2
1597,MUM1,36
1598,CNOT9,6
1599,AASDH,24
1600,CCDC28B,21
1601,COA7,19
1602,TM2D1,25
