,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,37,MBD2,"['MBD2', 'MTA3']",0.016129032258064516,0.07878516394970356,9,2,124
1,37,VAMP4,"['CD3D', 'SNAP29', 'TMEM205']",0.024193548387096774,0.4019204887903361,43,3,124
2,37,ENY2,"['USP22', 'ATXN7L3']",0.016129032258064516,0.07878516394970356,9,2,124
3,37,SLC7A6,"['SLC3A2', 'SLC7A6']",0.016129032258064516,0.008096259301149149,3,2,124
4,37,CD2,"['CD28', 'CD2']",0.016129032258064516,0.07878516394970356,9,2,124
5,37,WAS,"['VAV1', 'WAS']",0.016129032258064516,0.13034730691661336,12,2,124
6,37,MTA2,"['MBD2', 'MTA3']",0.016129032258064516,0.06343082831662522,8,2,124
7,37,CD28,"['CD28', 'CD2', 'CD247']",0.024193548387096774,0.006718622179579925,8,3,124
8,37,ORAI3,"['ORAI1', 'ORAI2']",0.016129032258064516,0.008096259301149149,3,2,124
9,37,SLC3A2,"['SLC3A2', 'SLC7A6']",0.016129032258064516,0.09515316946315644,10,2,124
10,37,SOS1,"['VAV1', 'SOS2']",0.016129032258064516,0.47902796520689594,30,2,124
11,37,C1orf210,"['CD3D', 'CD247']",0.016129032258064516,0.015630623382498484,4,2,124
12,37,CD8A,"['CD3G', 'CD2', 'CD3D', 'CD247']",0.03225806451612903,0.006539384060373851,15,4,124
13,37,ING4,"['JADE2', 'KAT6A']",0.016129032258064516,0.11238594110338293,11,2,124
14,37,SQSTM1,"['TBP', 'MALT1']",0.016129032258064516,0.764340116950625,51,2,124
15,37,COG6,"['COG6', 'SNAP29']",0.016129032258064516,0.03642838089008817,6,2,124
16,37,ATXN7,"['USP22', 'ATXN7L3']",0.016129032258064516,0.13034730691661336,12,2,124
17,37,CD247,"['CD3E', 'CD28', 'CD3D', 'CD247']",0.03225806451612903,0.012953634652612213,18,4,124
18,37,EGFR,"['LRIG1', 'ZAP70', 'SOS2']",0.024193548387096774,0.9064105203941865,99,3,124
19,37,CD3E,"['CD3E', 'CD3G', 'CD3D', 'CD247']",0.03225806451612903,0.00044867279243037485,8,4,124
20,37,GATAD2A,"['MBD2', 'MTA3']",0.016129032258064516,0.13034730691661336,12,2,124
21,37,VAMP3,"['CD3D', 'SNAP29', 'TLN1']",0.024193548387096774,0.6269042879567761,60,3,124
22,37,SKAP1,"['SYK', 'ZAP70', 'PTPRC']",0.024193548387096774,0.0025959053137719866,6,3,124
23,37,ATXN7L2,"['USP22', 'ATXN7L3']",0.016129032258064516,0.03642838089008817,6,2,124
24,37,RAD23B,"['UBL7', 'ADRM1']",0.016129032258064516,0.03642838089008817,6,2,124
25,37,TYROBP,"['CD3E', 'CD3D', 'CD247']",0.024193548387096774,0.14382002120283366,25,3,124
26,37,USP22,"['USP22', 'ATXN7L3']",0.016129032258064516,0.07878516394970356,9,2,124
