,gene_name,mean_expr,frac_expr
ENSG00000166710,B2M,16.702502504157202,0.9998036787580417
ENSG00000147168,IL2RG,14.532164737798698,0.9940273037542662
ENSG00000147065,MSN,14.426611121170392,0.9924491830016008
ENSG00000116824,CD2,14.225422594382161,0.9869144341417742
ENSG00000019582,CD74,15.261078921242147,0.9852834576701199
ENSG00000074800,ENO1,14.476544022676201,0.9821121145307923
ENSG00000198851,CD3E,13.866421937735874,0.9819610981908242
ENSG00000167286,CD3D,13.840085118972732,0.9780648766196502
ENSG00000069493,CLEC2D,14.089368855308814,0.9776344800507415
ENSG00000139626,ITGB7,14.074788007994703,0.9775891751487511
ENSG00000197747,S100A10,14.205571935060261,0.9739119272705307
ENSG00000162909,CAPN2,13.913077543660323,0.9717523936089885
ENSG00000080822,CLDND1,14.019328603258701,0.9678712736718112
ENSG00000115232,ITGA4,14.124763301160463,0.9614530792231719
ENSG00000100345,MYH9,13.664178593868813,0.9552085535654958
ENSG00000005844,ITGAL,13.652526961249274,0.9504137847715123
ENSG00000196776,CD47,13.571031378852446,0.9493038146727476
ENSG00000111371,SLC38A1,13.511721467600578,0.9463363435923767
ENSG00000197471,SPN,13.690664006117675,0.9415415747983932
ENSG00000164111,ANXA5,13.740325203144234,0.9314536832885318
ENSG00000110448,CD5,13.613414371564268,0.9308873720136519
ENSG00000182718,ANXA2,13.944251161869484,0.929226192274004
ENSG00000153187,HNRNPU,13.597212039733519,0.9282747893322058
ENSG00000013725,CD6,13.51751622848935,0.9266740161285452
ENSG00000152558,TMEM123,13.357345226962945,0.9264323899845963
ENSG00000081237,PTPRC,13.274750145311527,0.9212374278896976
ENSG00000160654,CD3G,13.261928931911903,0.9160198133438038
ENSG00000169223,LMAN2,13.398595489265402,0.914132109094204
ENSG00000073921,PICALM,13.284594759583701,0.9117007460207195
ENSG00000010610,CD4,13.421626754956609,0.9108173004319068
ENSG00000160255,ITGB2,13.474681078451944,0.9099640581110876
ENSG00000140564,FURIN,13.632822879856977,0.90985834667311
ENSG00000080824,HSP90AA1,13.879497426081198,0.9004500286931046
ENSG00000090554,FLT3LG,13.312307836182864,0.8997402518952551
ENSG00000121966,CXCR4,14.173625668109809,0.8983282491165544
ENSG00000178562,CD28,13.3265044008364,0.8965009514029418
ENSG00000240972,MIF,13.624213369836971,0.8961007581020266
ENSG00000026508,CD44,13.361696911484502,0.8960781056510314
ENSG00000110955,ATP5F1B,13.30778735805407,0.8806140324383098
ENSG00000170989,S1PR1,13.224601643715447,0.873184028511885
ENSG00000145703,IQGAP2,13.165805275141993,0.8660258539974025
ENSG00000168685,IL7R,13.88229652474625,0.863556736838926
ENSG00000130303,BST2,13.357606101167462,0.8589960433718928
ENSG00000102245,CD40LG,13.688712073910684,0.8551828807877012
ENSG00000197635,DPP4,13.230609896862942,0.8548883989247636
ENSG00000185896,LAMP1,12.864489134349908,0.8325530822434988
ENSG00000106799,TGFBR1,13.060698141728256,0.826580385997765
ENSG00000167004,PDIA3,12.99352123022625,0.8263312090368178
ENSG00000137845,ADAM10,12.773403583325535,0.8157525144220604
ENSG00000139193,CD27,13.007245189297713,0.8148237639312573
ENSG00000163513,TGFBR2,12.80696532040866,0.8095608444833731
ENSG00000117090,SLAMF1,12.911935504174364,0.8059440031411399
ENSG00000196352,CD55,12.901207792972095,0.7984837959467215
ENSG00000164733,CTSB,12.869743944604568,0.7961128394092241
ENSG00000078618,NRDC,12.826658852957129,0.7857455676704219
ENSG00000188404,SELL,13.281830031312447,0.7783684194629858
ENSG00000172936,MYD88,12.717754959583385,0.7763825545924069
ENSG00000187688,TRPV2,12.682418090476773,0.775514210637591
ENSG00000150637,CD226,12.659044383119031,0.7743589356368359
ENSG00000186470,BTN3A2,12.738874191301754,0.7693527439668972
ENSG00000072274,TFRC,13.349212665218948,0.7678878854692077
ENSG00000196975,ANXA4,12.719907961778123,0.7537603068652028
ENSG00000151651,ADAM8,12.668649901060181,0.7459376604548612
ENSG00000137076,TLN1,12.570437253425029,0.7427889697665288
ENSG00000182220,ATP6AP2,12.529183212262934,0.7412712555498505
ENSG00000164022,AIMP1,12.556179876319614,0.7283216043975959
ENSG00000108219,TSPAN14,12.419106190886422,0.7248935334803226
ENSG00000131981,LGALS3,13.323211098445087,0.7216919870730013
ENSG00000136802,LRRC8A,12.611876370794855,0.7203479416472862
ENSG00000171603,CLSTN1,12.423500930820735,0.7075417560180012
ENSG00000196839,ADA,12.606709748793062,0.702679029871032
ENSG00000179218,CALR,12.827542364371507,0.7002929716995379
ENSG00000157916,RER1,12.475842505962733,0.689570811561811
ENSG00000163956,LRPAP1,12.410778666935606,0.6881059530641216
ENSG00000101557,USP14,12.55863799598455,0.6878341236521792
ENSG00000185187,SIGIRR,12.366355864647279,0.6812951161315655
ENSG00000127837,AAMP,12.487763579710396,0.6809024736476487
ENSG00000149177,PTPRJ,12.350198772533608,0.6776405207043402
ENSG00000144381,HSPD1,12.947226120227802,0.6688438189012051
ENSG00000023318,ERP44,12.27728921828348,0.6593071370322269
ENSG00000104687,GSR,12.451164818280441,0.6585520553323869
ENSG00000096384,HSP90AB1,12.798076220570236,0.6569361804947296
ENSG00000096996,IL12RB1,12.26115941051234,0.6548295025521761
ENSG00000026103,FAS,12.402574198449292,0.6536062701984354
ENSG00000137642,SORL1,12.300987189617553,0.6515751004258661
ENSG00000152234,ATP5F1A,12.340690424440432,0.6504802319610982
ENSG00000086062,B4GALT1,12.283979895262968,0.6428841100607086
ENSG00000157873,TNFRSF14,12.189886118217519,0.6337325198586488
