target,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min
DNAJC8,DNAJC8_+_28559468.23-P1P2,MDH1,8,9,-0.2240173183434979,0.0289241786091421,0.0095,0.452684481857506,0.0092,0.8725231135083604,307,0.452684481857506
COX17,COX17_-_119395995.23-P1P2,TIMM13,8,11,-0.2216931033796263,0.0579859277296206,,,,,0,
GAB2,GAB2_-_78128828.23-P1P2,TUFM,8,9,-0.2210118068095266,0.0025471820907056,,,,,0,
ANKRD11,ANKRD11_-_89556765.23-P1P2,LAPTM4B,8,10,-0.2207868936189932,3.5525070940692818e-06,,,,,0,
COX17,COX17_-_119396037.23-P1P2,PSMA7,8,8,-0.2207581622271414,0.033211565205037,,,,,0,
DNAJC8,DNAJC8_+_28559468.23-P1P2,ATP5F1D,8,6,-0.2207411028119248,4.209588162125949e-07,,,,,0,
NFRKB,NFRKB_+_129765383.23-P1P2,CCAR1,8,8,-0.217527353877857,0.0413612976930183,,,,,0,
DR1,DR1_-_93811723.23-P1P2,HSPD1,8,5,-0.2094652198290963,0.096218083837996,0.0398,0.0015933850108741504,0.133,0.4261267647087873,38,0.0015933850108741504
ISCA2,ISCA2_-_74960525.23-P1P2,POLR2E,8,7,-0.2088820890843824,0.0208959162312353,,,,,0,
TFDP1,TFDP1_-_114239078.23-P1P2,SNRPB,8,9,-0.2067168368919473,0.0027370739700719,,,,,0,
XRCC1,XRCC1_-_44079606.23-P1P2,DNAJA1,8,11,-0.2054601112786975,0.00820754684849,0.0343,0.006578428467911003,-0.0557,0.6751598281238295,59,0.006578428467911003
NFRKB,NFRKB_+_129765383.23-P1P2,C11orf58,8,8,-0.2042716393154461,0.0512782042257951,-0.0273,0.030237279778793966,-0.1023,0.0057468517682459745,728,0.0057468517682459745
TFDP1,TFDP1_-_114239078.23-P1P2,HNRNPM,8,9,-0.1966587630386385,0.052698396257873,0.061,1.280936584321889e-06,0.0829,0.09998298153461137,395,1.280936584321889e-06
UBE2N,UBE2N_+_93835696.23-P1P2,GYPC,8,7,-0.1939049175763613,0.0595669500441633,0.0196,0.12011192981728123,-0.3136,0.02660173773143673,50,0.02660173773143673
CUL3,CUL3_-_225450135.23-P1P2,EEF1B2,8,9,-0.1938035422570186,0.0041914080290484,,,,,0,
COX17,COX17_-_119396037.23-P1P2,HSPE1,8,8,-0.1928237974012801,0.0171533605695714,,,,,0,
FBXW7,FBXW7_-_153456346.23-ENST00000603548.1,ASRGL1,8,11,-0.1920170720399241,0.0940916081882788,,,,,0,
DNAJC8,DNAJC8_+_28559468.23-P1P2,CDC45,8,8,-0.1889426887038829,0.0540494310672097,,,,,0,
CDIPT,CDIPT_+_29874410.23-P1P2,TOMM40,8,8,-0.1886240743537751,0.0167294168557544,,,,,0,
DNAJC8,DNAJC8_+_28559468.23-P1P2,TUBA1C,8,9,-0.1850721491324516,0.0146729013271261,-0.0069,0.5852390526378779,-0.1003,0.07138954995766006,324,0.07138954995766006
FBXW7,FBXW7_-_153457248.23-ENST00000281708.4,HNRNPUL1,8,11,-0.1804136027460436,0.0426687210031073,,,,,0,
REEP5,REEP5_-_112257942.23-P1P2,ATP5MC3,8,9,-0.1757566461346638,0.0591201972890079,0.0191,0.129965522802773,-0.0709,0.6858844769413671,35,0.129965522802773
NFRKB,NFRKB_+_129765383.23-P1P2,SSBP1,8,9,-0.1724716464760854,0.0089137163890314,0.0419,0.0008834727932994634,0.0437,0.2327603524602204,747,0.0008834727932994634
FBXW7,FBXW7_-_153456346.23-ENST00000603548.1,PITX1,8,7,-0.1665328394177193,0.0106517157989807,,,,,0,
DNAJC8,DNAJC8_+_28559468.23-P1P2,EIF4EBP1,8,7,-0.1584896557452874,0.0762795376648265,0.0082,0.5140084324383051,-0.0591,0.29715119197967654,313,0.29715119197967654
DNAJC8,DNAJC8_+_28559468.23-P1P2,PCBP1,8,8,-0.1566017575998086,0.0799418607529494,,,,,0,
GAB2,GAB2_-_78128897.23-P1P2,SNRPE,8,11,-0.1534398756979168,0.0211150046224774,,,,,0,
CIAO1,CIAO1_-_96932005.23-P1P2,CHD4,8,7,-0.1508732670119042,0.0963866374999094,0.0188,0.13630034174426453,-0.0675,0.4941137784493671,105,0.13630034174426453
ELOF1,ELOF1_+_11670004.23-P1P2,HMGN1,8,9,-0.1499611429313173,0.0736054273095056,-0.0297,0.018441487799871488,-0.0829,0.10857424795021264,376,0.018441487799871488
DNAJA1,DNAJA1_-_33027087.23-P2,PHB2,8,9,-0.1491753104578936,0.0807122373069856,,,,,0,
FBXW7,FBXW7_-_153457248.23-ENST00000281708.4,HK1,8,12,-0.1483249012094619,0.0905463944493314,0.0551,1.2158255109122066e-05,0.2323,0.020658053946761266,99,1.2158255109122066e-05
CDIPT,CDIPT_+_29874463.23-P1P2,TIMM13,8,8,-0.1325292626543157,0.0282784216937943,,,,,0,
NFRKB,NFRKB_+_129765408.23-P1P2,PFDN5,8,10,-0.113943760573848,0.066073339980606,-0.0144,0.25197489589331584,-0.0545,0.14003036675556202,735,0.14003036675556202
SBNO1,SBNO1_-_123849323.23-P1P2,ATP5MC3,8,10,-0.1067884686734762,0.0607034499424083,0.0167,0.1843285388373398,-0.1034,0.18472836927224187,166,0.1843285388373398
