symbol	globalScore	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ACER2	0.03352855392712323	No data	0	0	0	1	0	0.6545450000000003	No data	-0.26453427797457807	No data	0	No data	No data	0	0.75	0
TEX29	0.03349969375979507	No data	0	0	0	0	0	0	No data	0.7188997707855804	-0.05905544609812324	0	No data	No data	No data	1	0.5
DEXI	0.03252775075146294	No data	0	0	0	0	0	0.7368400000000002	No data	0.7287976661804543	No data	No data	No data	No data	No data	-1	-1
NCF1	0.032356428707736314	No data	0	0	0	0	0	0.10256499999999988	No data	0.2740154198791416	-0.957775798571401	0	No data	No data	0	0.5	0
CDK12	0.03232387340753605	0.5	0	0	1	1	0	0.5671149999999997	1	-0.9609293602833924	-0.8124147758918104	-1	No data	-1	0	-1	-1
SHOC2	0.0320457881099053	No data	0	0	0	0	0	0.9226799999999997	No data	-0.9508230881433632	-0.022060910089015118	0	No data	No data	0	-1	-1
PPCDC	0.03196521208272505	No data	0	0	0	0	0	0.3627450000000003	No data	0.5214628047509897	No data	0	-1	No data	No data	-1	-1
AXIN1	0.03189629614452332	No data	0	0	0	0	0	0.3677500000000002	0	-0.6241925401125235	-0.9092201241804567	0	No data	-1	0	-1	-1
LCT	0.03339701639937277	No data	1	0	0	1	0	0	No data	-0.6818087101479475	0	0	No data	No data	0	1	0.5
CIAPIN1	0.030670505635640402	No data	0	0	0	0	1	0.05448499999999967	No data	-0.09356115857470304	-0.7590267010830498	-1	No data	No data	No data	-1	-1
MYO15B	0.030503757356037962	No data	0	0	0	0	0	0	No data	0.189622838091269	No data	No data	No data	No data	No data	1	-1
FLNB	0.030396449391344064	No data	1	0	0	0	0	0.792465	No data	-0.568868514273807	-0.9465440489625349	0	No data	No data	-0.27940000000000004	-1	-1
IRF4	0.030320891140374465	No data	0	0	0	0	0	0.6119750000000004	No data	-0.6487809960408418	-0.12055862702313541	0	No data	No data	0	0.5	0
ENTREP1	0.030251714112837856	No data	0	0	0	0	0	0.38639999999999974	No data	0.24609293602833926	0	0	No data	No data	0	0.5	0
RENBP	0.030557629031279846	No data	No data	No data	0	0	0	0	No data	-0.5085434465513649	0	0	No data	No data	No data	0.5	0
DCTD	0.030175941624713265	No data	0	0	1	0	0	0.6348300000000002	No data	0.4170660554282142	0	0	No data	No data	0	-1	-1
FBRS	0.029921783561255796	No data	0	0	0	0	0	0.5510199999999997	No data	-0.9327984996874349	-0.21801978091556873	No data	No data	No data	0	-1	-1
THRSP	0.029862393798413652	No data	0	0	0	0	0	0.246575	No data	0.7473431964992707	No data	0	-1	No data	0	0.5	0
MARCO	0.029697013746860127	No data	0	0	0	0	0	0	No data	0.48801833715357357	-0.632939079468739	0	No data	No data	0	0.5	0
DEF6	0.029316292795934028	No data	0	0	0	0	0	0.61965	No data	-0.8123567409877057	0	0	No data	No data	0	0.5	0
ZMYM4	0.02921196883354828	No data	0	0	0	0	0	0.7189900000000001	No data	-0.9166493019379037	-0.22396533134560387	0	No data	No data	0	-1	-1
YARS2	0.02880827225599872	No data	0	0	0	0	1	0.22432000000000016	No data	0.41352365076057507	No data	-1	No data	No data	No data	-1	-1
IFNA14	0.11772397028239932	0.5	0	1	0	0	0	0	No data	No data	No data	0	No data	No data	-0.6164024999999999	No data	No data
ZPBP2	0.028326614525004085	No data	0	0	0	0	0	0	No data	0.4089393623671598	0	0	No data	No data	0	1	1
PLXNB3	0.028241367675373195	No data	1	0	0	0	0	0.2037700000000001	No data	-0.666284642633882	No data	0	No data	No data	0	0.5	0
RNF145	0.028214638224891238	No data	1	0	0	0	0	0.6908000000000001	No data	-0.743696603459054	0	0	No data	No data	0	-1	-1
RFC2	0.02814010076678167	No data	0	0	0	0	0	0.5903950000000002	No data	0.08303813294436346	-0.4025761376112691	-1	No data	No data	0	-1	-1
CNOT4	0.028063148387925247	No data	0	0	0	0	0	0.8878	No data	-0.947593248593457	-0.033916478458231314	0	No data	No data	No data	-1	-1
PARVG	0.02787540250682321	No data	0	0	0	0	0	0	No data	-0.01875390706397162	No data	0	No data	No data	0	0.5	0
PEX13	0.027295154403911448	No data	0	0	0	0	0	0.5533499999999997	No data	0.13117316107522403	-0.7759520304205592	0	No data	No data	No data	-1	-1
ZNF629	0.027008075386247873	No data	0	0	0	0	0	0.4476399999999998	No data	-0.926755574077933	-0.10006653173107727	0	No data	No data	0	-1	-1
HEATR5B	0.026984311302967887	No data	0	0	0	0	0	0.7923699999999997	No data	-0.34277974578037096	No data	0	No data	No data	0	-1	-1
GDI2	0.0268981270143974	No data	1	0	0	0	0	0.820225	No data	-0.6473223588247552	-0.4911516266845048	0	No data	No data	-0.6573025000000001	-1	-1
HIVEP3	0.026771509604093472	No data	0	0	0	0	0	0.00041500000000027626	No data	-0.7370285476140863	-0.10780652269351765	0	No data	No data	0	0.5	0
