,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
15798,ENSG00000108599,AKAP10,Rest,324.0,33,1,34,-9.517999158448196,True,30.43870747737189,False,>10 DE genes,on-target KD,ENSG00000108599,ENSG00000108599_Rest,AKAP10
15799,ENSG00000108733,PEX12,Rest,529.0,1,0,1,-3.3015138042642924,False,2.5422757260687137,False,1 DE gene,no on-target KD,ENSG00000108733,ENSG00000108733_Rest,PEX12
15800,ENSG00000110888,CAPRIN2,Rest,93.0,16,4,20,-3.2714084058887134,False,12.543891483192075,False,>10 DE genes,no on-target KD,ENSG00000110888,ENSG00000110888_Rest,CAPRIN2
15801,ENSG00000115295,CLIP4,Rest,578.0,1,6,7,-12.7722398472577,True,41.53543415838457,False,2-10 DE genes,on-target KD,ENSG00000115295,ENSG00000115295_Rest,CLIP4
15802,ENSG00000118096,IFT46,Rest,935.0,0,1,1,-8.79402827280486,True,10.878216925710491,False,1 DE gene,on-target KD,ENSG00000118096,ENSG00000118096_Rest,IFT46
15803,ENSG00000119547,ONECUT2,Rest,1264.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000119547,ENSG00000119547_Rest,ONECUT2
15804,ENSG00000121691,CAT,Rest,444.0,1,1,2,-14.064130291992784,True,50.78291318820811,False,2-10 DE genes,on-target KD,ENSG00000121691,ENSG00000121691_Rest,CAT
15805,ENSG00000121753,ADGRB2,Rest,274.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000121753,ENSG00000121753_Rest,ADGRB2
15806,ENSG00000122512,PMS2,Rest,779.0,0,2,2,-11.34880218248984,True,25.36302237338376,True,2-10 DE genes,on-target KD,ENSG00000122512,ENSG00000122512_Rest,PMS2
15807,ENSG00000124374,PAIP2B,Rest,576.0,0,0,0,-2.683850617038147,False,1.323955583211109,False,no effect,no on-target KD,ENSG00000124374,ENSG00000124374_Rest,PAIP2B
15808,ENSG00000124788,ATXN1,Rest,465.0,0,3,3,-0.7403640145612596,False,51.38909679178907,False,2-10 DE genes,no on-target KD,ENSG00000124788,ENSG00000124788_Rest,ATXN1
15809,ENSG00000125970,RALY,Rest,315.0,0,1,1,-15.10272396914365,True,100.24890030955672,False,1 DE gene,on-target KD,ENSG00000125970,ENSG00000125970_Rest,RALY
15810,ENSG00000129932,DOHH,Rest,409.0,203,136,339,-8.023606795224692,True,21.84119346838711,False,>10 DE genes,on-target KD,ENSG00000129932,ENSG00000129932_Rest,DOHH
15811,ENSG00000130066,SAT1,Rest,969.0,1,1,2,-11.58680589071416,True,39.83481005597281,False,2-10 DE genes,on-target KD,ENSG00000130066,ENSG00000130066_Rest,SAT1
