,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
0,ENSG00000012963,UBR7,Stim8hr,491.0,0,2,2,-12.952741924258245,True,43.1691957283989,True,2-10 DE genes,on-target KD,ENSG00000012963,ENSG00000012963_Stim8hr,UBR7
1,ENSG00000017260,ATP2C1,Stim8hr,469.0,0,1,1,-16.307246387967343,True,102.39902522532932,False,1 DE gene,on-target KD,ENSG00000017260,ENSG00000017260_Stim8hr,ATP2C1
2,ENSG00000067606,PRKCZ,Stim8hr,427.0,1,1,2,-1.658755366919608,False,0.9658972575281288,False,2-10 DE genes,no on-target KD,ENSG00000067606,ENSG00000067606_Stim8hr,PRKCZ
3,ENSG00000092929,UNC13D,Stim8hr,830.0,0,2,2,-19.259466040631825,True,60.90448280130588,False,2-10 DE genes,on-target KD,ENSG00000092929,ENSG00000092929_Stim8hr,UNC13D
4,ENSG00000100504,PYGL,Stim8hr,414.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,ENSG00000100504,ENSG00000100504_Stim8hr,PYGL
5,ENSG00000102901,CENPT,Stim8hr,23.0,33,7,40,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000102901,ENSG00000102901_Stim8hr,CENPT
6,ENSG00000103479,RBL2,Stim8hr,433.0,4,5,9,-14.150025106298644,True,61.80762869039572,False,2-10 DE genes,on-target KD,ENSG00000103479,ENSG00000103479_Stim8hr,RBL2
7,ENSG00000104368,PLAT,Stim8hr,411.0,1051,260,1311,-1.683048434140694,False,3.810755262235027,False,>10 DE genes,no on-target KD,ENSG00000104368,ENSG00000104368_Stim8hr,PLAT
8,ENSG00000105374,NKG7,Stim8hr,504.0,0,5,5,-15.886471503499855,True,175.23270603677037,True,2-10 DE genes,on-target KD,ENSG00000105374,ENSG00000105374_Stim8hr,NKG7
9,ENSG00000107863,ARHGAP21,Stim8hr,352.0,0,2,2,-9.56054914734816,True,27.00085554403696,False,2-10 DE genes,on-target KD,ENSG00000107863,ENSG00000107863_Stim8hr,ARHGAP21
10,ENSG00000109971,HSPA8,Stim8hr,210.0,47,13,60,-19.75476047963793,True,2034.834971027488,False,>10 DE genes,on-target KD,ENSG00000109971,ENSG00000109971_Stim8hr,HSPA8
11,ENSG00000116157,GPX7,Stim8hr,260.0,0,1,1,-7.551227166922288,True,27.29962213155573,False,1 DE gene,on-target KD,ENSG00000116157,ENSG00000116157_Stim8hr,GPX7
12,ENSG00000123159,GIPC1,Stim8hr,529.0,2,5,7,-6.973559970368184,True,18.760194272146503,False,2-10 DE genes,on-target KD,ENSG00000123159,ENSG00000123159_Stim8hr,GIPC1
13,ENSG00000124253,PCK1,Stim8hr,419.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000124253,ENSG00000124253_Stim8hr,PCK1
14,ENSG00000124571,XPO5,Stim8hr,331.0,0,7,7,-13.212390905038264,True,211.1694039258708,False,2-10 DE genes,on-target KD,ENSG00000124571,ENSG00000124571_Stim8hr,XPO5
15,ENSG00000127084,FGD3,Stim8hr,572.0,6,6,12,-17.93661257108916,True,72.57973874750071,False,>10 DE genes,on-target KD,ENSG00000127084,ENSG00000127084_Stim8hr,FGD3
16,ENSG00000128607,KLHDC10,Stim8hr,1257.0,68,8,76,-17.154518348800938,True,29.83198350590344,False,>10 DE genes,on-target KD,ENSG00000128607,ENSG00000128607_Stim8hr,KLHDC10
17,ENSG00000128645,HOXD1,Stim8hr,365.0,4,1,5,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000128645,ENSG00000128645_Stim8hr,HOXD1
18,ENSG00000129116,PALLD,Stim8hr,509.0,0,0,0,-0.9272221328629284,False,24.09411994247982,False,no effect,no on-target KD,ENSG00000129116,ENSG00000129116_Stim8hr,PALLD
19,ENSG00000129422,MTUS1,Stim8hr,676.0,2,1,3,-4.615348280077297,True,3.312157421187581,False,2-10 DE genes,on-target KD,ENSG00000129422,ENSG00000129422_Stim8hr,MTUS1
20,ENSG00000132612,VPS4A,Stim8hr,342.0,2,3,5,-20.484652283188304,True,140.7384076316321,False,2-10 DE genes,on-target KD,ENSG00000132612,ENSG00000132612_Stim8hr,VPS4A
21,ENSG00000133106,EPSTI1,Stim8hr,802.0,2,2,4,-14.97736252998399,True,67.50962079775744,False,2-10 DE genes,on-target KD,ENSG00000133106,ENSG00000133106_Stim8hr,EPSTI1
22,ENSG00000138101,DTNB,Stim8hr,193.0,10,6,16,-5.192742236539447,True,18.674330294583413,False,>10 DE genes,on-target KD,ENSG00000138101,ENSG00000138101_Stim8hr,DTNB
23,ENSG00000145911,N4BP3,Stim8hr,737.0,0,1,1,-4.7993191490309375,True,4.274859932594897,False,1 DE gene,on-target KD,ENSG00000145911,ENSG00000145911_Stim8hr,N4BP3
24,ENSG00000147804,SLC39A4,Stim8hr,1044.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000147804,ENSG00000147804_Stim8hr,SLC39A4
25,ENSG00000154124,OTULIN,Stim8hr,613.0,0,1,1,-18.873019654445468,True,66.97731523772141,False,1 DE gene,on-target KD,ENSG00000154124,ENSG00000154124_Stim8hr,OTULIN
26,ENSG00000158710,TAGLN2,Stim8hr,631.0,0,1,1,-18.131267714950265,True,70.82176957943186,False,1 DE gene,on-target KD,ENSG00000158710,ENSG00000158710_Stim8hr,TAGLN2
27,ENSG00000162073,PAQR4,Stim8hr,585.0,0,7,7,-5.753778470791329,True,6.960793802257214,False,2-10 DE genes,on-target KD,ENSG00000162073,ENSG00000162073_Stim8hr,PAQR4
28,ENSG00000162591,MEGF6,Stim8hr,742.0,0,0,0,-0.4298353948950882,False,0.2390323371672996,False,no effect,no on-target KD,ENSG00000162591,ENSG00000162591_Stim8hr,MEGF6
29,ENSG00000163600,ICOS,Stim8hr,658.0,175,36,211,-16.50948463561438,True,632.2104680264275,False,>10 DE genes,on-target KD,ENSG00000163600,ENSG00000163600_Stim8hr,ICOS
30,ENSG00000164256,PRDM9,Stim8hr,1178.0,1,2,3,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000164256,ENSG00000164256_Stim8hr,PRDM9
31,ENSG00000164828,SUN1,Stim8hr,45.0,35,3,38,-3.4882571675623315,False,58.70714156470958,False,>10 DE genes,no on-target KD,ENSG00000164828,ENSG00000164828_Stim8hr,SUN1
32,ENSG00000164953,TMEM67,Stim8hr,794.0,1,0,1,-3.8523713034764846,False,2.188696535134571,False,1 DE gene,no on-target KD,ENSG00000164953,ENSG00000164953_Stim8hr,TMEM67
33,ENSG00000166676,TVP23A,Stim8hr,567.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000166676,ENSG00000166676_Stim8hr,TVP23A
34,ENSG00000166965,RCCD1,Stim8hr,558.0,2,13,15,-11.328114181342226,True,25.702260913008743,False,>10 DE genes,on-target KD,ENSG00000166965,ENSG00000166965_Stim8hr,RCCD1
35,ENSG00000167769,ACER1,Stim8hr,469.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000167769,ENSG00000167769_Stim8hr,ACER1
36,ENSG00000168876,ANKRD49,Stim8hr,228.0,50,7,57,-5.611561326837524,True,25.143570250975703,True,>10 DE genes,on-target KD,ENSG00000168876,ENSG00000168876_Stim8hr,ANKRD49
37,ENSG00000172869,DMXL1,Stim8hr,282.0,8,6,14,-9.442049033224032,True,37.14546752749875,False,>10 DE genes,on-target KD,ENSG00000172869,ENSG00000172869_Stim8hr,DMXL1
38,ENSG00000173137,ADCK5,Stim8hr,1062.0,1,1,2,-6.670362160535378,True,4.750881280012417,False,2-10 DE genes,on-target KD,ENSG00000173137,ENSG00000173137_Stim8hr,ADCK5
39,ENSG00000173253,DMRT2,Stim8hr,437.0,1,1,2,-1.249956647865477,False,0.9981227210897357,False,2-10 DE genes,no on-target KD,ENSG00000173253,ENSG00000173253_Stim8hr,DMRT2
40,ENSG00000174177,CTU2,Stim8hr,500.0,357,405,762,-19.185719668196835,True,94.55227187249604,True,>10 DE genes,on-target KD,ENSG00000174177,ENSG00000174177_Stim8hr,CTU2
41,ENSG00000178150,ZNF114,Stim8hr,366.0,2,1,3,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000178150,ENSG00000178150_Stim8hr,ZNF114
42,ENSG00000185245,GP1BA,Stim8hr,891.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000185245,ENSG00000185245_Stim8hr,GP1BA
43,ENSG00000196670,ZFP62,Stim8hr,510.0,0,1,1,-10.80763225286423,True,24.687334773870933,False,1 DE gene,on-target KD,ENSG00000196670,ENSG00000196670_Stim8hr,ZFP62
44,ENSG00000203780,FANK1,Stim8hr,800.0,0,1,1,0.0,False,,False,1 DE gene,no on-target KD,ENSG00000203780,ENSG00000203780_Stim8hr,FANK1
45,ENSG00000204673,AKT1S1,Stim8hr,901.0,2,2,4,-11.536228878480072,True,17.842334196816832,True,2-10 DE genes,on-target KD,ENSG00000204673,ENSG00000204673_Stim8hr,AKT1S1
46,ENSG00000216937,CCDC7,Stim8hr,358.0,2,4,6,-7.359825753197298,True,16.03679958735276,False,2-10 DE genes,on-target KD,ENSG00000216937,ENSG00000216937_Stim8hr,CCDC7
47,ENSG00000256229,ZNF486,Stim8hr,1408.0,0,3,3,-7.257379364313192,True,3.9794138545826607,False,2-10 DE genes,on-target KD,ENSG00000256229,ENSG00000256229_Stim8hr,ZNF486
48,ENSG00000265354,TIMM23,Stim8hr,273.0,0,1,1,-5.468109309543739,True,225.9376057027364,False,1 DE gene,on-target KD,ENSG00000265354,ENSG00000265354_Stim8hr,TIMM23
49,ENSG00000272398,CD24,Stim8hr,395.0,2,2,4,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000272398,ENSG00000272398_Stim8hr,CD24
50,ENSG00000072110,ACTN1,Stim48hr,322.0,0,1,1,-11.23351296017751,True,76.34756655707406,False,1 DE gene,on-target KD,ENSG00000072110,ENSG00000072110_Stim48hr,ACTN1
51,ENSG00000089723,OTUB2,Stim48hr,956.0,0,1,1,-5.065495911798157,True,3.535186381536519,False,1 DE gene,on-target KD,ENSG00000089723,ENSG00000089723_Stim48hr,OTUB2
52,ENSG00000100461,RBM23,Stim48hr,590.0,0,1,1,-18.16224443359591,True,66.89208650167129,False,1 DE gene,on-target KD,ENSG00000100461,ENSG00000100461_Stim48hr,RBM23
53,ENSG00000107331,ABCA2,Stim48hr,292.0,1,0,1,-3.938909178091957,False,28.815446206007053,False,1 DE gene,no on-target KD,ENSG00000107331,ENSG00000107331_Stim48hr,ABCA2
54,ENSG00000107669,ATE1,Stim48hr,903.0,0,1,1,-11.150778851526477,True,22.07095399709056,False,1 DE gene,on-target KD,ENSG00000107669,ENSG00000107669_Stim48hr,ATE1
55,ENSG00000108064,TFAM,Stim48hr,414.0,1532,1429,2961,-13.697047653998643,True,79.95102883120853,False,>10 DE genes,on-target KD,ENSG00000108064,ENSG00000108064_Stim48hr,TFAM
56,ENSG00000112667,DNPH1,Stim48hr,778.0,0,1,1,-23.53057709537088,True,93.98192193712404,False,1 DE gene,on-target KD,ENSG00000112667,ENSG00000112667_Stim48hr,DNPH1
57,ENSG00000119321,FKBP15,Stim48hr,201.0,0,1,1,-6.784867683239794,True,43.03847845742377,False,1 DE gene,on-target KD,ENSG00000119321,ENSG00000119321_Stim48hr,FKBP15
58,ENSG00000121022,COPS5,Stim48hr,332.0,0,0,0,-1.610278048619744,False,141.87536628697245,False,no effect,no on-target KD,ENSG00000121022,ENSG00000121022_Stim48hr,COPS5
59,ENSG00000121210,TMEM131L,Stim48hr,1407.0,245,17,262,-2.8218652940738376,False,36.4004031473829,False,>10 DE genes,no on-target KD,ENSG00000121210,ENSG00000121210_Stim48hr,TMEM131L
60,ENSG00000121552,CSTA,Stim48hr,1159.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000121552,ENSG00000121552_Stim48hr,CSTA
61,ENSG00000122986,HVCN1,Stim48hr,741.0,0,1,1,-7.213527526046657,True,14.534701853060714,False,1 DE gene,on-target KD,ENSG00000122986,ENSG00000122986_Stim48hr,HVCN1
62,ENSG00000125817,CENPB,Stim48hr,284.0,3,1,4,-12.124951861592118,True,56.35162659932302,False,2-10 DE genes,on-target KD,ENSG00000125817,ENSG00000125817_Stim48hr,CENPB
63,ENSG00000130303,BST2,Stim48hr,839.0,2,1,3,-29.982106190095767,True,443.8296386642008,False,2-10 DE genes,on-target KD,ENSG00000130303,ENSG00000130303_Stim48hr,BST2
64,ENSG00000132294,EFR3A,Stim48hr,59.0,11,2,13,-5.273748178807234,True,68.54280349738741,False,>10 DE genes,on-target KD,ENSG00000132294,ENSG00000132294_Stim48hr,EFR3A
65,ENSG00000133028,SCO1,Stim48hr,229.0,685,534,1219,-2.9564535014829434,False,7.39838194873548,True,>10 DE genes,putative off-target,ENSG00000133028,ENSG00000133028_Stim48hr,SCO1
66,ENSG00000133805,AMPD3,Stim48hr,1490.0,1,1,2,-13.842159611861591,True,37.45910930461198,False,2-10 DE genes,on-target KD,ENSG00000133805,ENSG00000133805_Stim48hr,AMPD3
67,ENSG00000134809,TIMM10,Stim48hr,319.0,85,40,125,-3.322142629437212,True,179.8809691811514,False,>10 DE genes,on-target KD,ENSG00000134809,ENSG00000134809_Stim48hr,TIMM10
68,ENSG00000136689,IL1RN,Stim48hr,896.0,1,0,1,-3.643450134085896,False,10.306836676207451,False,1 DE gene,no on-target KD,ENSG00000136689,ENSG00000136689_Stim48hr,IL1RN
69,ENSG00000136908,DPM2,Stim48hr,528.0,1,1,2,-9.980574995798104,True,23.367564363075203,False,2-10 DE genes,on-target KD,ENSG00000136908,ENSG00000136908_Stim48hr,DPM2
70,ENSG00000137449,CPEB2,Stim48hr,410.0,0,1,1,-8.05109273012734,True,24.729043638788376,False,1 DE gene,on-target KD,ENSG00000137449,ENSG00000137449_Stim48hr,CPEB2
71,ENSG00000137692,DCUN1D5,Stim48hr,290.0,0,1,1,-16.935193117857438,True,241.56218591524723,False,1 DE gene,on-target KD,ENSG00000137692,ENSG00000137692_Stim48hr,DCUN1D5
72,ENSG00000152558,TMEM123,Stim48hr,2433.0,17,18,35,-29.458389848500083,True,132.13517890925613,False,>10 DE genes,on-target KD,ENSG00000152558,ENSG00000152558_Stim48hr,TMEM123
73,ENSG00000154096,THY1,Stim48hr,971.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000154096,ENSG00000154096_Stim48hr,THY1
74,ENSG00000158122,PRXL2C,Stim48hr,390.0,0,2,2,-8.188295650870504,True,23.08046138566339,False,2-10 DE genes,on-target KD,ENSG00000158122,ENSG00000158122_Stim48hr,PRXL2C
75,ENSG00000158435,CNOT11,Stim48hr,120.0,282,105,387,-12.795577296464051,True,181.5575729281204,False,>10 DE genes,on-target KD,ENSG00000158435,ENSG00000158435_Stim48hr,CNOT11
76,ENSG00000160209,PDXK,Stim48hr,564.0,0,1,1,-29.208403044001205,True,197.63882430202628,False,1 DE gene,on-target KD,ENSG00000160209,ENSG00000160209_Stim48hr,PDXK
77,ENSG00000160307,S100B,Stim48hr,471.0,1,1,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000160307,ENSG00000160307_Stim48hr,S100B
78,ENSG00000162664,ZNF326,Stim48hr,703.0,1,1,2,-15.408548391121922,True,51.77765325092392,False,2-10 DE genes,on-target KD,ENSG00000162664,ENSG00000162664_Stim48hr,ZNF326
79,ENSG00000162869,PPP1R21,Stim48hr,707.0,0,2,2,-7.486605884693588,True,30.87946217757199,False,2-10 DE genes,on-target KD,ENSG00000162869,ENSG00000162869_Stim48hr,PPP1R21
80,ENSG00000165861,ZFYVE1,Stim48hr,358.0,4,5,9,-7.431672243821514,True,21.894438224912577,False,2-10 DE genes,on-target KD,ENSG00000165861,ENSG00000165861_Stim48hr,ZFYVE1
81,ENSG00000166965,RCCD1,Stim48hr,707.0,3,13,16,-12.887852831393674,True,31.09412087817755,False,>10 DE genes,on-target KD,ENSG00000166965,ENSG00000166965_Stim48hr,RCCD1
82,ENSG00000169045,HNRNPH1,Stim48hr,110.0,22,14,36,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000169045,ENSG00000169045_Stim48hr,HNRNPH1
83,ENSG00000169093,ASMTL,Stim48hr,769.0,1,1,2,-25.819670381312143,True,107.0329473147494,False,2-10 DE genes,on-target KD,ENSG00000169093,ENSG00000169093_Stim48hr,ASMTL
84,ENSG00000169621,APLF,Stim48hr,274.0,4,2,6,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000169621,ENSG00000169621_Stim48hr,APLF
85,ENSG00000170190,SLC16A5,Stim48hr,448.0,5,5,10,-3.7568808726648713,False,3.9369151635099295,False,2-10 DE genes,no on-target KD,ENSG00000170190,ENSG00000170190_Stim48hr,SLC16A5
86,ENSG00000170270,GON7,Stim48hr,1208.0,0,4,4,-15.946837671981216,True,33.25196444841505,True,2-10 DE genes,on-target KD,ENSG00000170270,ENSG00000170270_Stim48hr,GON7
87,ENSG00000171421,MRPL36,Stim48hr,153.0,5,5,10,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000171421,ENSG00000171421_Stim48hr,MRPL36
88,ENSG00000172795,DCP2,Stim48hr,122.0,548,142,690,-11.182098417336128,True,120.3606508810293,False,>10 DE genes,on-target KD,ENSG00000172795,ENSG00000172795_Stim48hr,DCP2
89,ENSG00000175634,RPS6KB2,Stim48hr,486.0,1,0,1,0.0,False,,False,1 DE gene,no on-target KD,ENSG00000175634,ENSG00000175634_Stim48hr,RPS6KB2
90,ENSG00000177105,RHOG,Stim48hr,786.0,0,1,1,-33.792803222072926,True,221.8631550702524,False,1 DE gene,on-target KD,ENSG00000177105,ENSG00000177105_Stim48hr,RHOG
91,ENSG00000178385,PLEKHM3,Stim48hr,944.0,0,1,1,-6.397286344227566,True,5.78756062144495,False,1 DE gene,on-target KD,ENSG00000178385,ENSG00000178385_Stim48hr,PLEKHM3
92,ENSG00000180182,MED14,Stim48hr,140.0,85,50,135,-6.244229802166856,True,61.55782867898886,False,>10 DE genes,on-target KD,ENSG00000180182,ENSG00000180182_Stim48hr,MED14
93,ENSG00000183340,JRKL,Stim48hr,726.0,1,3,4,-13.853484522177336,True,34.098545550184824,True,2-10 DE genes,on-target KD,ENSG00000183340,ENSG00000183340_Stim48hr,JRKL
94,ENSG00000183401,CCDC159,Stim48hr,515.0,0,2,2,-6.025145507003481,True,9.846238225166603,True,2-10 DE genes,on-target KD,ENSG00000183401,ENSG00000183401_Stim48hr,CCDC159
95,ENSG00000184489,PTP4A3,Stim48hr,865.0,0,1,1,-6.548702820077374,True,15.782703533117788,False,1 DE gene,on-target KD,ENSG00000184489,ENSG00000184489_Stim48hr,PTP4A3
96,ENSG00000184786,TCTE3,Stim48hr,870.0,0,3,3,-6.806135546080691,True,6.562793186567195,True,2-10 DE genes,on-target KD,ENSG00000184786,ENSG00000184786_Stim48hr,DYNLT2
97,ENSG00000186063,AIDA,Stim48hr,445.0,0,2,2,-14.209287932761807,True,65.41078750077085,True,2-10 DE genes,on-target KD,ENSG00000186063,ENSG00000186063_Stim48hr,AIDA
98,ENSG00000189369,GSPT2,Stim48hr,649.0,2,2,4,-8.136776302573523,True,11.78665904518922,False,2-10 DE genes,on-target KD,ENSG00000189369,ENSG00000189369_Stim48hr,GSPT2
99,ENSG00000275713,HIST1H2BH,Stim48hr,815.0,0,1,1,-28.654812769128604,True,796.0456916605866,False,1 DE gene,on-target KD,ENSG00000275713,ENSG00000275713_Stim48hr,H2BC9
100,ENSG00000011198,ABHD5,Rest,771.0,3,1,4,-8.551359686282508,True,15.39639286189164,False,2-10 DE genes,on-target KD,ENSG00000011198,ENSG00000011198_Rest,ABHD5
101,ENSG00000038382,TRIO,Rest,362.0,5,1,6,-2.392954082600946,False,3.091296237118375,False,2-10 DE genes,no on-target KD,ENSG00000038382,ENSG00000038382_Rest,TRIO
102,ENSG00000064309,CDON,Rest,411.0,2,2,4,-0.8697250814556764,False,0.3384515670025368,False,2-10 DE genes,no on-target KD,ENSG00000064309,ENSG00000064309_Rest,CDON
103,ENSG00000078747,ITCH,Rest,870.0,0,1,1,-19.709937141384017,True,48.91422795632893,False,1 DE gene,on-target KD,ENSG00000078747,ENSG00000078747_Rest,ITCH
104,ENSG00000084636,COL16A1,Rest,386.0,1,1,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000084636,ENSG00000084636_Rest,COL16A1
105,ENSG00000099834,CDHR5,Rest,1226.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000099834,ENSG00000099834_Rest,CDHR5
106,ENSG00000100068,LRP5L,Rest,669.0,2,0,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000100068,ENSG00000100068_Rest,LRP5L
107,ENSG00000102098,SCML2,Rest,667.0,0,1,1,-2.776262566934566,False,1.126462516815673,False,1 DE gene,no on-target KD,ENSG00000102098,ENSG00000102098_Rest,SCML2
108,ENSG00000104365,IKBKB,Rest,785.0,0,1,1,-15.411144945667562,True,113.09816599573584,False,1 DE gene,on-target KD,ENSG00000104365,ENSG00000104365_Rest,IKBKB
109,ENSG00000104774,MAN2B1,Rest,690.0,2,2,4,-18.435977132937506,True,69.6654538394047,False,2-10 DE genes,on-target KD,ENSG00000104774,ENSG00000104774_Rest,MAN2B1
110,ENSG00000114745,GORASP1,Rest,522.0,0,3,3,-6.100042318764587,True,8.98689624877707,False,2-10 DE genes,on-target KD,ENSG00000114745,ENSG00000114745_Rest,GORASP1
111,ENSG00000115520,COQ10B,Rest,526.0,1,4,5,-14.258806676457777,True,51.58200325569206,False,2-10 DE genes,on-target KD,ENSG00000115520,ENSG00000115520_Rest,COQ10B
112,ENSG00000119013,NDUFB3,Rest,437.0,7,1,8,-15.938385709556403,True,89.51218567461827,False,2-10 DE genes,on-target KD,ENSG00000119013,ENSG00000119013_Rest,NDUFB3
113,ENSG00000123104,ITPR2,Rest,487.0,0,1,1,-12.014785739754496,True,49.71095986143358,False,1 DE gene,on-target KD,ENSG00000123104,ENSG00000123104_Rest,ITPR2
114,ENSG00000133884,DPF2,Rest,90.0,0,0,0,-2.3278826397604027,False,36.43720750218538,False,no effect,no on-target KD,ENSG00000133884,ENSG00000133884_Rest,DPF2
115,ENSG00000135218,CD36,Rest,695.0,2,0,2,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000135218,ENSG00000135218_Rest,CD36
116,ENSG00000135837,CEP350,Rest,102.0,36,3,39,-6.210485977401381,True,64.39894556161138,False,>10 DE genes,on-target KD,ENSG00000135837,ENSG00000135837_Rest,CEP350
117,ENSG00000137312,FLOT1,Rest,644.0,2,2,4,-15.208330875692964,True,81.16992156116837,False,2-10 DE genes,on-target KD,ENSG00000137312,ENSG00000137312_Rest,FLOT1
118,ENSG00000139946,PELI2,Rest,218.0,16,0,16,-2.6761318116267576,False,4.496257688210141,False,>10 DE genes,no on-target KD,ENSG00000139946,ENSG00000139946_Rest,PELI2
119,ENSG00000140416,TPM1,Rest,866.0,0,1,1,1.0656320224741818,False,6.3015861257814025,False,1 DE gene,no on-target KD,ENSG00000140416,ENSG00000140416_Rest,TPM1
120,ENSG00000142444,TIMM29,Rest,206.0,1,1,2,-3.0890336842011803,False,7.9834134254536995,False,2-10 DE genes,no on-target KD,ENSG00000142444,ENSG00000142444_Rest,TIMM29
121,ENSG00000146457,WTAP,Rest,728.0,34,10,44,-4.197067578293214,True,32.706263303221746,False,>10 DE genes,on-target KD,ENSG00000146457,ENSG00000146457_Rest,WTAP
122,ENSG00000151413,NUBPL,Rest,771.0,0,1,1,-5.624840466642173,True,4.77975256874822,False,1 DE gene,on-target KD,ENSG00000151413,ENSG00000151413_Rest,NUBPL
123,ENSG00000155755,TMEM237,Rest,559.0,1,1,2,-8.076320669817322,True,14.67633793435676,False,2-10 DE genes,on-target KD,ENSG00000155755,ENSG00000155755_Rest,TMEM237
124,ENSG00000158161,EYA3,Rest,215.0,1,1,2,-8.494106625273485,True,34.30398707682114,False,2-10 DE genes,on-target KD,ENSG00000158161,ENSG00000158161_Rest,EYA3
125,ENSG00000158796,DEDD,Rest,329.0,2,1,3,-12.547204318344338,True,51.40790516542729,False,2-10 DE genes,on-target KD,ENSG00000158796,ENSG00000158796_Rest,DEDD
126,ENSG00000161055,SCGB3A1,Rest,1153.0,0,3,3,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000161055,ENSG00000161055_Rest,SCGB3A1
127,ENSG00000163521,GLB1L,Rest,1093.0,0,1,1,-2.9149453265558942,False,1.3607378894595257,False,1 DE gene,no on-target KD,ENSG00000163521,ENSG00000163521_Rest,GLB1L
128,ENSG00000163596,ICA1L,Rest,451.0,0,1,1,-3.856671609521912,False,3.597277845592581,False,1 DE gene,no on-target KD,ENSG00000163596,ENSG00000163596_Rest,ICA1L
129,ENSG00000165474,GJB2,Rest,396.0,0,0,0,-1.178877867122597,False,1.334802918826018,False,no effect,no on-target KD,ENSG00000165474,ENSG00000165474_Rest,GJB2
130,ENSG00000165949,IFI27,Rest,376.0,0,1,1,-4.728396153452623,True,44.08937845947247,False,1 DE gene,on-target KD,ENSG00000165949,ENSG00000165949_Rest,IFI27
131,ENSG00000167705,RILP,Rest,223.0,8,0,8,-1.7223606472764128,False,3.369524075318423,False,2-10 DE genes,no on-target KD,ENSG00000167705,ENSG00000167705_Rest,RILP
132,ENSG00000167900,TK1,Rest,586.0,0,1,1,-10.876694095165758,True,77.59611329633725,False,1 DE gene,on-target KD,ENSG00000167900,ENSG00000167900_Rest,TK1
133,ENSG00000170310,STX8,Rest,626.0,3,1,4,-12.82210457964344,True,29.06070524102041,False,2-10 DE genes,on-target KD,ENSG00000170310,ENSG00000170310_Rest,STX8
134,ENSG00000171962,DRC3,Rest,2297.0,0,1,1,0.0,False,,False,1 DE gene,no on-target KD,ENSG00000171962,ENSG00000171962_Rest,DRC3
135,ENSG00000173480,ZNF417,Rest,456.0,2,1,3,0.0,False,,False,2-10 DE genes,no on-target KD,ENSG00000173480,ENSG00000173480_Rest,ZNF417
136,ENSG00000180611,MB21D2,Rest,528.0,1,2,3,-7.934975664341269,True,76.20626265437453,False,2-10 DE genes,on-target KD,ENSG00000180611,ENSG00000180611_Rest,MB21D2
137,ENSG00000182372,CLN8,Rest,407.0,4,4,8,-8.249991955531604,True,18.54894161969155,False,2-10 DE genes,on-target KD,ENSG00000182372,ENSG00000182372_Rest,CLN8
138,ENSG00000189339,SLC35E2B,Rest,521.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000189339,ENSG00000189339_Rest,SLC35E2B
139,ENSG00000196636,SDHAF3,Rest,217.0,0,1,1,-6.252453432461135,True,20.58961435526688,False,1 DE gene,on-target KD,ENSG00000196636,ENSG00000196636_Rest,SDHAF3
140,ENSG00000198429,ZNF69,Rest,938.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000198429,ENSG00000198429_Rest,ZNF69
141,ENSG00000198860,TSEN15,Rest,371.0,13,1,14,-8.881383901471915,True,28.53591995212322,False,>10 DE genes,on-target KD,ENSG00000198860,ENSG00000198860_Rest,TSEN15
142,ENSG00000205269,TMEM170B,Rest,846.0,0,0,0,-2.320097274884416,False,0.6514662888176329,False,no effect,no on-target KD,ENSG00000205269,ENSG00000205269_Rest,TMEM170B
143,ENSG00000240303,ACAD11,Rest,501.0,331,279,610,-6.992464519773006,True,10.356604135626702,True,>10 DE genes,on-target KD,ENSG00000240303,ENSG00000240303_Rest,ACAD11
