,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
18477,RNF207,,,0.09104464166581355,1.238474778677452e-22,1,0.0,0,1,RNF207-1,RNF207-2,Stim48hr,2
18478,RNF187,0.9285288377789058,0.07147116222109418,0.041492369421189806,8.409805264211317e-06,4,0.75,3,1,RNF187-1,RNF187-2,Stim48hr,1
18479,RNF185,-1.0,1.0,-0.02978110115641217,0.0013909243038452688,2,1.0,2,1,RNF185-1,RNF185-2,Stim48hr,2
18480,RNF181,0.6482867860795123,0.0820957990043638,0.13142535028519253,1.5136030749943484e-45,8,0.5,6,3,RNF181-1,RNF181-2,Stim48hr,2
18481,RNF126,,,0.11366371821795315,1.9728096864573344e-34,1,1.0,1,1,RNF126-1,RNF126-2,Stim48hr,2
18482,RNF130,,,0.11472213345517782,4.7714015644692543e-35,0,,0,0,RNF130-1,RNF130-2,Stim48hr,2
18483,RNF135,,,0.0618757660959574,3.0060227131039025e-11,0,,0,0,RNF135-1,RNF135-2,Stim48hr,2
18484,RNF138,0.6097189375857759,0.14604529175899672,0.074247306718293,1.4810534893225549e-15,7,0.7142857142857143,7,1,RNF138-1,RNF138-2,Stim48hr,2
18485,RNF139,1.0,1.0,0.038370472034463685,3.8041521414961294e-05,2,0.5,2,1,RNF139-1,RNF139-2,Stim48hr,2
18486,RNF141,,,0.10444141474523676,2.6417168469035646e-29,1,1.0,1,1,RNF141-1,RNF141-2,Stim48hr,2
18487,RNF144B,,,0.09726919421769833,1.280117426465827e-25,0,,0,0,RNF144B-1,RNF144B-2,Stim48hr,2
18488,RNF145,0.21481556822959563,0.6827330580844522,0.10660067927217215,1.8228728508567635e-30,6,0.6666666666666666,2,5,RNF145-1,RNF145-2,Stim48hr,2
18489,RNF146,,,0.09119398453484587,1.0557509127419448e-22,1,1.0,1,1,RNF146-1,RNF146-2,Stim48hr,2
18490,RNF157,0.22672900140131624,0.5574431199632287,0.07311972139375932,3.933880665223669e-15,9,0.5555555555555556,8,2,RNF157-1,RNF157-2,Stim48hr,2
18491,RNF166,,,0.09180589603866551,5.474268562927126e-23,1,1.0,1,1,RNF166-1,RNF166-2,Stim48hr,2
18492,RNF167,0.8938385582314341,0.04085494043894877,0.09722477439253652,1.3466514289853682e-25,5,0.6,3,4,RNF167-1,RNF167-2,Stim48hr,2
18493,RNF168,0.918526408691607,0.2587600567694173,0.07073299387656881,2.9636313969355734e-14,3,0.3333333333333333,0,3,RNF168-1,RNF168-2,Stim48hr,2
18494,RNF169,1.0,1.0,0.06213930765975684,2.4784297840337692e-11,2,1.0,1,2,RNF169-1,RNF169-2,Stim48hr,2
18495,RNF175,-0.06152511389195697,0.9608071430489635,0.023712979088808345,0.010927627486631435,3,0.6666666666666666,0,3,RNF175-1,RNF175-2,Stim48hr,0
18496,ROPN1L,1.0,1.0,0.10519372096636308,1.0472627874288586e-29,2,1.0,2,0,ROPN1L-1,ROPN1L-2,Stim48hr,2
18497,RORC,,,0.02671409611357907,0.004141090990243345,0,,0,0,RORC-1,RORC-2,Stim48hr,1
18498,RSF1,0.8087905182337316,0.40024522728625833,0.11279202850762253,6.286737733231288e-34,3,1.0,2,2,RSF1-1,RSF1-2,Stim48hr,2
18499,RRAGC,0.6874802371849542,2.209449039465701e-33,0.17051312531458881,7.147343761917168e-76,229,0.8427947598253275,213,25,RRAGC-1,RRAGC-2,Stim48hr,2
18500,RPS6KC1,1.0,1.0,0.026941596501182375,0.003832421922329901,2,1.0,0,2,RPS6KC1-1,RPS6KC1-2,Stim48hr,0
18501,RPS6KL1,,,0.05174791847955103,2.7475340501022204e-08,0,,0,0,RPS6KL1-1,RPS6KL1-2,Stim48hr,0
18502,RPS27L,,,0.03782319969151196,4.90156672880447e-05,0,,0,0,RPS27L-1,RPS27L-2,Stim48hr,0
18503,RPTOR,0.13627603601661137,0.008143849091087878,0.052925816942467174,1.3199003443212968e-08,376,0.5638297872340425,1,375,RPTOR-1,RPTOR-2,Stim48hr,2
18504,RPUSD2,,,0.06211383803892853,2.5251774699518985e-11,1,1.0,1,1,RPUSD2-1,RPUSD2-2,Stim48hr,2
18505,RPUSD3,0.8215180076917271,2.6503462284454336e-12,0.14372667993409824,3.264156908925487e-54,46,0.9347826086956522,14,32,RPUSD3-1,RPUSD3-2,Stim48hr,2
18506,RRAD,,,0.10393239587184891,4.921782852117413e-29,0,,0,0,RRAD-1,RRAD-2,Stim48hr,2
18507,RRAGD,0.8626011385837518,0.3376677200224852,-0.022971667784729546,0.013685203930194036,3,0.6666666666666666,0,3,RRAGD-1,RRAGD-2,Stim48hr,2
18508,RP2,0.7005189553898759,0.5059038365941466,0.11498965105186044,3.32599912613222e-35,3,0.3333333333333333,2,2,RP2-1,RP2-2,Stim48hr,2
18509,RRAS,1.0,1.0,0.03101851515022746,0.0008703106935553641,2,0.5,1,1,RRAS-1,RRAS-2,Stim48hr,2
18510,RRAS2,0.7700358654947179,0.22996413450528208,-0.05307502333186704,1.2014965993528213e-08,4,1.0,4,1,RRAS2-1,RRAS2-2,Stim48hr,2
18511,RRBP1,0.7952669035998262,0.20473309640017368,0.03462510813339517,0.00020180589188758142,4,0.5,4,1,RRBP1-1,RRBP1-2,Stim48hr,2
18512,RREB1,0.7281581564217672,3.687018865159112e-05,0.12776655725221034,4.019063578932804e-43,25,0.48,21,8,RREB1-1,RREB1-2,Stim48hr,2
18513,RRP8,-0.31687851155128083,0.7947304985308695,0.07036095349712342,4.0361193396847343e-14,3,0.3333333333333333,2,2,RRP8-1,RRP8-2,Stim48hr,2
18514,RSAD2,,,0.002084904941468523,0.8229658343280258,1,1.0,0,1,RSAD2-1,RSAD2-2,Stim48hr,2
18515,RSBN1L,,,0.10236911758772395,3.264050951220832e-28,1,1.0,1,1,RSBN1L-1,RSBN1L-2,Stim48hr,2
18516,RPS6KB2,,,0.0490405365684379,1.3963884341958347e-07,0,,0,0,RPS6KB2-1,RPS6KB2-2,Stim48hr,0
18517,RPS6KB1,0.42193495624482824,0.3457212009244496,0.07613344068541406,2.7968505373700344e-16,7,0.8571428571428571,0,7,RPS6KB1-1,RPS6KB1-2,Stim48hr,0
18518,RPS6KA4,,,0.0673838792445042,4.512968384647503e-13,1,1.0,0,1,RPS6KA4-1,RPS6KA4-2,Stim48hr,0
18519,RPS6KA3,-0.5423373242428629,0.45766267575713715,0.05591530551079833,1.9134831347672275e-09,4,0.5,0,4,RPS6KA3-1,RPS6KA3-2,Stim48hr,0
18520,RP9,0.5494702260018122,9.574538629695959e-06,0.06516523742330457,2.5533832247073287e-12,57,0.7192982456140351,1,56,RP9-1,RP9-2,Stim48hr,1
18521,RPGR,0.896877261070347,0.29166016128475325,-0.021849046970511612,0.01903179386520795,3,0.3333333333333333,2,2,RPGR-1,RPGR-2,Stim48hr,2
18522,RPGRIP1L,-1.0,1.0,0.0703427505148858,4.097409476032518e-14,2,1.0,2,0,RPGRIP1L-1,RPGRIP1L-2,Stim48hr,2
18523,RPH3AL,-0.5191366266008033,0.6525071564562853,0.0577516036820967,5.55666149431728e-10,3,0.6666666666666666,1,2,RPH3AL-1,RPH3AL-2,Stim48hr,1
18524,RPL22L1,,,0.20238456716265585,9.579322997094166e-107,1,1.0,0,1,RPL22L1-1,RPL22L1-2,Stim48hr,0
18525,RPL26L1,,,0.0824389000737277,7.885344473095135e-19,0,,0,0,RPL26L1-1,RPL26L1-2,Stim48hr,0
18526,RPL36A-HNRNPH2,0.7657969861986973,2.625282126401671e-26,0.176090120379419,7.190063575293599e-81,130,0.8461538461538461,45,99,RPL36A-HNRNPH2-1,RPL36A-HNRNPH2-2,Stim48hr,0
18527,RPL36AL,1.0,1.0,0.08211425961829424,1.0789232675327866e-18,2,1.0,2,1,RPL36AL-1,RPL36AL-2,Stim48hr,0
18528,RPL41,,,0.10010325915351675,4.813280520043415e-27,1,0.0,1,0,RPL41-1,RPL41-2,Stim48hr,0
18529,RPP14,-0.6911534328000202,0.0392195663849271,0.1324241416034333,3.206866785215697e-46,9,0.3333333333333333,0,9,RPP14-1,RPP14-2,Stim48hr,1
18530,RPP25L,,,0.11025366546488985,1.745080890885501e-32,1,1.0,1,1,RPP25L-1,RPP25L-2,Stim48hr,2
18531,RPRD2,0.756366457129876,9.647423050161959e-189,0.38660202034758895,0.0,1014,0.9171597633136095,844,310,RPRD2-1,RPRD2-2,Stim48hr,2
18532,RPS4Y1,,,0.07534052366433053,5.664563836971954e-16,0,,0,0,RPS4Y1-1,RPS4Y1-2,Stim48hr,0
18533,RPS6KA1,0.20815623645887094,0.14270556484014066,0.02518017935979114,0.0068815836130652385,51,0.6666666666666666,51,0,RPS6KA1-1,RPS6KA1-2,Stim48hr,0
