,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
0,A1BG,-1.0,1.0,-0.01674732621479313,0.07229013289002474,2,0.0,1,1,A1BG-1,A1BG-2,Rest,0
1,PIK3R2,0.7453136777841423,0.4645994605410273,0.10746522267694711,6.153746732524617e-31,3,0.6666666666666666,2,2,PIK3R2-1,PIK3R2-2,Rest,2
2,PIK3C2A,0.7762846705397903,0.4342038794617344,0.032724240728304176,0.0004437638443774905,3,0.3333333333333333,1,2,PIK3C2A-1,PIK3C2A-2,Rest,1
3,PIK3CA,0.7185405892341247,0.28145941076587544,-0.03605220292327523,0.00010882167263861315,4,0.75,1,4,PIK3CA-1,PIK3CA-2,Rest,2
4,PIK3CB,0.9690887788378741,0.1587005057539502,0.04222311895673294,5.815267378407426e-06,3,1.0,2,2,PIK3CB-1,PIK3CB-2,Rest,2
5,PIK3CD,0.3734882333293084,0.10478871553357091,0.16555619292509685,1.4247659374808646e-71,20,0.5,1,19,PIK3CD-1,PIK3CD-2,Rest,2
6,PIK3CG,1.0,1.0,0.0882962495431169,2.2309838829583854e-21,2,1.0,2,1,PIK3CG-1,PIK3CG-2,Rest,2
7,PIK3IP1,,,-0.15350907880576642,1.1216126639710819e-61,1,1.0,1,1,PIK3IP1-1,PIK3IP1-2,Rest,2
8,PIK3R1,,,0.09603427394108476,5.191282803070697e-25,0,,0,0,PIK3R1-1,PIK3R1-2,Rest,2
9,PIK3R4,0.47546876369191315,1.0871174823224075e-05,0.1568506278650892,2.416346779188851e-64,78,0.8974358974358975,3,75,PIK3R4-1,PIK3R4-2,Rest,2
10,PEX7,,,0.00608217299813732,0.5139588382684369,0,,0,0,PEX7-1,PEX7-2,Rest,2
11,PIK3R5,,,0.12572557603605364,8.432310934955816e-42,1,1.0,1,1,PIK3R5-1,PIK3R5-2,Rest,2
12,PIK3R6,,,0.08475924661877733,8.092189108223713e-20,0,,0,0,PIK3R6-1,PIK3R6-2,Rest,2
13,PILRA,-1.0,1.0,-0.05893526006783724,2.453799121671611e-10,2,1.0,1,1,PILRA-1,PILRA-2,Rest,1
14,PILRB,,,0.15115714070686115,7.77927491369171e-60,1,1.0,1,1,PILRB-1,PILRB-2,Rest,2
15,PIM2,1.0,1.0,0.07268197422764805,5.725402876257559e-15,2,0.0,1,1,PIM2-1,PIM2-2,Rest,1
16,PIN4,0.5557565954399397,0.4442434045600603,0.08111122302358291,2.82068599120627e-18,4,0.5,2,2,PIN4-1,PIN4-2,Rest,2
17,PINK1,0.7972638618511848,0.41255989935791815,0.027461435718965133,0.0032040587757081666,3,0.6666666666666666,3,0,PINK1-1,PINK1-2,Rest,2
18,PIK3AP1,,,-0.05804543889971685,4.54296689988041e-10,1,0.0,1,0,PIK3AP1-1,PIK3AP1-2,Rest,0
19,PIH1D1,0.9972520546992005,0.04720615893122315,0.056017941993423956,1.787508905904001e-09,3,1.0,1,2,PIH1D1-1,PIH1D1-2,Rest,2
20,PIGW,0.9828051697758933,0.11822745463614677,0.1414205400532272,1.5822381744956713e-52,3,1.0,2,3,PIGW-1,PIGW-2,Rest,2
21,PIGV,0.25126926472188654,0.5142909718665741,-0.013735171117976085,0.14048298418849997,9,0.6666666666666666,9,1,PIGV-1,PIGV-2,Rest,2
22,PIGA,1.0,1.0,0.023617326769824847,0.011253213537446781,2,0.0,1,1,PIGA-1,PIGA-2,Rest,2
23,PIGB,0.012477695580505039,0.9165555615487048,-0.05019595392234313,7.048103285867161e-08,73,0.3972602739726027,70,4,PIGB-1,PIGB-2,Rest,2
24,PIGBOS1,,,-0.07856168389224522,3.0789647669009017e-17,1,1.0,0,1,PIGBOS1-1,PIGBOS1-2,Rest,2
25,PIGC,0.6308552205383641,0.12872984420796788,-0.013964501991419624,0.13397537384350122,7,0.7142857142857143,1,7,PIGC-1,PIGC-2,Rest,2
26,PIGG,,,0.11518563257665561,2.551951488099947e-35,1,1.0,1,1,PIGG-1,PIGG-2,Rest,2
27,PIGH,0.5361284433543366,7.560023057128898e-09,0.20533095619512992,6.931043025989544e-110,101,0.8712871287128713,67,34,PIGH-1,PIGH-2,Rest,2
28,PIGK,,,0.06370515081455771,7.745964807207371e-12,1,1.0,1,1,PIGK-1,PIGK-2,Rest,2
29,PIGL,0.6942735099222226,0.5114516269256512,0.08729808146962369,6.237809059050738e-21,3,0.3333333333333333,1,3,PIGL-1,PIGL-2,Rest,2
30,PIGM,,,0.11929581298165877,8.875377588585987e-38,1,1.0,1,1,PIGM-1,PIGM-2,Rest,2
31,PIGO,0.5724005008070516,0.4275994991929484,0.17181600304677574,5.033441324174329e-77,4,0.75,4,1,PIGO-1,PIGO-2,Rest,2
32,PIGP,0.6050865823477984,0.04856091995810455,0.13024975750077356,9.258436204318257e-45,11,0.8181818181818182,2,11,PIGP-1,PIGP-2,Rest,2
33,PIGQ,-1.0,1.0,0.10833873621608321,2.0357583460067237e-31,2,0.5,1,1,PIGQ-1,PIGQ-2,Rest,1
34,PIGR,,,0.063908548762023,6.646165147416302e-12,0,,0,0,PIGR-1,PIGR-2,Rest,0
35,PIGT,1.0,1.0,0.027784379623967737,0.0028625442807485896,2,0.5,1,2,PIGT-1,PIGT-2,Rest,2
36,PIGU,,,0.06201605851568208,2.712795957465135e-11,0,,0,0,PIGU-1,PIGU-2,Rest,1
37,PIP,0.14280038664068784,0.787255409241473,0.06117438040902423,5.004724781218625e-11,6,0.5,2,4,PIP-1,PIP-2,Rest,0
38,PIP4K2A,,,0.06082994399268614,6.415149020325954e-11,0,,0,0,PIP4K2A-1,PIP4K2A-2,Rest,2
39,PIP5K1A,0.8835520154675858,0.11644798453241423,-0.0870011604537936,8.45059822357897e-21,4,0.75,4,1,PIP5K1A-1,PIP5K1A-2,Rest,2
40,PKIG,-1.0,1.0,0.0386293054349598,3.370513526316215e-05,2,0.5,1,1,PKIG-1,PKIG-2,Rest,1
41,PKN2,1.0,1.0,0.1285737069024717,1.1895313118141144e-43,2,0.5,1,1,PKN2-1,PKN2-2,Rest,2
42,PKNOX1,0.8095738863739561,6.396129439703156e-13,0.15052554954500963,2.400574933708667e-59,51,0.8823529411764706,35,37,PKNOX1-1,PKNOX1-2,Rest,2
43,PKNOX2,0.03940525024259167,0.85832171062799,0.04231366584654064,5.553126923448136e-06,23,0.5652173913043478,23,0,PKNOX2-1,PKNOX2-2,Rest,0
44,PKP4,,,-0.012530371603204943,0.1787251412947377,1,0.0,1,0,PKP4-1,PKP4-2,Rest,1
45,PLA2G2A,,,0.051009022426718516,4.3172068809838916e-08,0,,0,0,PLA2G2A-1,PLA2G2A-2,Rest,0
46,PLA2G4A,0.42131165677234095,0.15163620041337383,0.06495391702174946,3.0028016508023283e-12,13,0.5384615384615384,13,0,PLA2G4A-1,PLA2G4A-2,Rest,2
47,PLA2G4C,,,-0.007952801947505122,0.39342031443373676,0,,0,0,PLA2G4C-1,PLA2G4C-2,Rest,2
48,PLA2G6,0.16378572324499766,0.7565182536411542,0.1356462952220929,1.978020566966587e-48,6,0.5,0,6,PLA2G6-1,PLA2G6-2,Rest,1
49,PLA2G10,-1.0,1.0,0.07194922409046357,1.0677796423240512e-14,2,0.5,1,1,PLA2G10-1,PLA2G10-2,Rest,0
50,PLA2G12A,0.01635985238923248,0.950308700303447,0.02689710884539194,0.0038910855994670184,17,0.5882352941176471,4,14,PLA2G12A-1,PLA2G12A-2,Rest,2
51,PLA2G16,,,0.10939741852630247,5.262729263295399e-32,0,,0,0,PLA2G16-1,PLA2G16-2,Rest,2
52,PLAA,1.0,1.0,0.09001868132420066,3.6819858147760363e-22,2,1.0,2,2,PLAA-1,PLAA-2,Rest,2
53,PLAC8,,,-0.0005880069404478033,0.9496875070916748,0,,0,0,PLAC8-1,PLAC8-2,Rest,2
54,PLAG1,1.0,1.0,0.14958396472489321,1.2762403142099732e-58,2,1.0,1,1,PLAG1-1,PLAG1-2,Rest,1
55,PLAGL1,,,-0.018683856031030295,0.044947530173726574,1,0.0,1,0,PLAGL1-1,PLAGL1-2,Rest,1
56,PKM,0.9460975565595597,1.0611881291552456e-05,0.2947413144444656,1.385257955550124e-229,11,0.9090909090909091,1,11,PKM-1,PKM-2,Rest,2
57,PKIA,,,0.07734296386162223,9.398430236849626e-17,1,1.0,1,1,PKIA-1,PKIA-2,Rest,2
58,PIP5K1B,0.21349809051032415,0.645757991424537,0.039786976731909444,1.9438605049831136e-05,7,0.5714285714285714,7,0,PIP5K1B-1,PIP5K1B-2,Rest,0
59,PKD2,0.47684324753533625,0.1634777980991294,-0.03072167254610133,0.0009753921281298685,10,0.3,1,10,PKD2-1,PKD2-2,Rest,2
60,PIP5K1C,0.44397828518329546,0.5560217148167046,-0.006755654425346758,0.46847684009068974,4,0.75,4,0,PIP5K1C-1,PIP5K1C-2,Rest,2
61,PIR,,,0.054252042675775325,5.673982345714545e-09,1,1.0,1,1,PIR-1,PIR-2,Rest,2
62,PISD,-0.9536402876809053,0.04635971231909464,0.1289658406273226,6.565478608593005e-44,4,0.25,1,3,PISD-1,PISD-2,Rest,0
63,PITHD1,,,0.06903962322716006,1.1933930319698254e-13,1,1.0,1,0,PITHD1-1,PITHD1-2,Rest,2
64,PITPNA,0.7776501063243607,0.43282308841015066,0.1777340783639993,2.2446756046832393e-82,3,0.3333333333333333,3,1,PITPNA-1,PITPNA-2,Rest,2
65,PITPNB,,,0.15153460676460662,3.9577665618388167e-60,1,1.0,1,0,PITPNB-1,PITPNB-2,Rest,2
66,PITPNC1,1.0,1.0,0.14026709139938187,1.0758197637011242e-51,2,1.0,2,0,PITPNC1-1,PITPNC1-2,Rest,2
67,PITPNM1,0.21757526503514998,0.7251760417161003,0.07893178175899139,2.1864962268851206e-17,5,0.8,2,4,PITPNM1-1,PITPNM1-2,Rest,2
68,PITPNM2,,,0.09510830120025349,1.4658389814863403e-24,0,,0,0,PITPNM2-1,PITPNM2-2,Rest,0
69,PITX1,1.0,1.0,0.04874545356654478,1.6588002944449724e-07,2,0.5,2,0,PITX1-1,PITX1-2,Rest,1
70,PITX3,,,0.148047964854445,1.9031989731883841e-57,0,,0,0,PITX3-1,PITX3-2,Rest,0
71,PIWIL4,0.5225709248379439,0.6499459712499059,0.04395531031545401,2.3684591889861624e-06,3,0.6666666666666666,3,0,PIWIL4-1,PIWIL4-2,Rest,1
72,PJA2,0.3327492978929059,0.38159998157733277,0.1527274932394162,4.623260900902916e-61,9,0.5555555555555556,1,9,PJA2-1,PJA2-2,Rest,2
73,PJVK,0.6548026232491724,0.07804958510102664,0.039187397825570444,2.589811038466192e-05,8,0.5,8,0,PJVK-1,PJVK-2,Rest,1
74,PKD1,,,0.13743410379114193,1.1131074554930456e-49,1,1.0,0,1,PKD1-1,PKD1-2,Rest,2
75,PIF1,0.2394542565762493,0.5348991266027553,0.08201053108820311,1.1923046880431193e-18,9,0.4444444444444444,9,1,PIF1-1,PIF1-2,Rest,2
76,PIDD1,,,0.014597186245291615,0.11722883521945192,0,,0,0,PIDD1-1,PIDD1-2,Rest,2
77,PICALM,0.6656619689096319,0.3343380310903681,0.06540474676884021,2.123461693029026e-12,4,0.5,2,3,PICALM-1,PICALM-2,Rest,2
78,PFN2,-1.0,1.0,0.06629709815695252,1.062196854798493e-12,2,0.5,1,1,PFN2-1,PFN2-2,Rest,2
79,PGAP3,,,0.04567779509966709,9.378139588411931e-07,1,1.0,1,0,PGAP3-1,PGAP3-2,Rest,2
80,PGBD1,,,0.0836957741075623,2.315323339119207e-19,1,1.0,0,1,PGBD1-1,PGBD1-2,Rest,1
81,PGBD2,,,0.0644126833818657,4.537844951367458e-12,1,1.0,0,1,PGBD2-1,PGBD2-2,Rest,2
82,PGC,,,-0.13374948768680978,4.015357764616839e-47,1,0.0,1,0,PGC-1,PGC-2,Rest,0
83,PGLYRP1,-0.1278251900670977,0.5008534106834104,0.06191949089213711,2.911454734380479e-11,30,0.5,0,30,PGLYRP1-1,PGLYRP1-2,Rest,0
84,PGM1,0.31502024105142473,0.3453835982239635,0.05138187787378022,3.439556576181134e-08,11,0.45454545454545453,9,3,PGM1-1,PGM1-2,Rest,2
85,PGM2L1,-0.7266016186211471,0.48219725340468456,0.01734127212194362,0.06273895163038609,3,0.3333333333333333,3,0,PGM2L1-1,PGM2L1-2,Rest,2
86,PGP,,,0.17525695267035932,4.1125831198565495e-80,1,1.0,1,1,PGP-1,PGP-2,Rest,2
87,PGR,,,-0.07042199357082951,3.8371018352682644e-14,1,1.0,0,1,PGR-1,PGR-2,Rest,0
88,PGRMC1,-1.0,1.0,-0.0016124073242556256,0.8626294009885205,2,1.0,2,1,PGRMC1-1,PGRMC1-2,Rest,2
89,PGS1,0.31848824675675835,6.2826215043674524e-09,0.2190149333228647,4.0445475131514297e-125,318,0.6477987421383647,312,7,PGS1-1,PGS1-2,Rest,2
90,PHACTR1,,,0.04800164293724979,2.5493142034533267e-07,1,0.0,1,0,PHACTR1-1,PHACTR1-2,Rest,1
91,PHACTR2,,,0.168228352420975,7.12057729898919e-74,1,1.0,1,0,PHACTR2-1,PHACTR2-2,Rest,0
92,PHC1,-1.0,1.0,0.12703669365809273,1.2003644094212236e-42,2,0.5,1,1,PHC1-1,PHC1-2,Rest,2
93,PHC2,0.45433946880112774,0.6997506384344815,0.02411782376868472,0.009640409261043726,3,0.3333333333333333,2,2,PHC2-1,PHC2-2,Rest,2
94,PGAM1,,,0.05243869811640341,1.7907781428684053e-08,1,1.0,0,1,PGAM1-1,PGAM1-2,Rest,2
95,PFKP,1.0,1.0,0.08600077462761524,2.3326513907756444e-20,2,1.0,2,1,PFKP-1,PFKP-2,Rest,2
96,PHEX,,,0.09968502326989943,7.857558155254515e-27,1,0.0,1,0,PHEX-1,PHEX-2,Rest,2
97,PFKM,0.08175269764871973,0.8005938273782892,0.05009158394420392,7.501755935038945e-08,12,0.4166666666666667,0,12,PFKM-1,PFKM-2,Rest,2
98,PEX11A,,,0.10603506580442087,3.6916922178591916e-30,0,,0,0,PEX11A-1,PEX11A-2,Rest,2
99,PEX11B,,,-0.031524106009308425,0.0007151555031044393,1,1.0,1,0,PEX11B-1,PEX11B-2,Rest,2
100,PEX11G,,,-0.004239935260212617,0.6491158861591977,0,,0,0,PEX11G-1,PEX11G-2,Rest,2
101,PEX12,-0.7131263307414719,3.2032226298938996e-06,-0.09597078312434532,5.5760266334038535e-25,33,0.21212121212121213,33,0,PEX12-1,PEX12-2,Rest,2
102,PEX13,,,0.13237040263756522,3.4871797577123437e-46,1,1.0,1,1,PEX13-1,PEX13-2,Rest,2
103,PEX16,0.6937521493315241,0.30624785066847604,0.11013188525602018,2.0428113282994013e-32,4,0.5,4,0,PEX16-1,PEX16-2,Rest,2
104,PEX19,0.5975489164807714,0.21035843984501326,-0.12341282701675124,2.4975052893985094e-40,6,0.3333333333333333,5,2,PEX19-1,PEX19-2,Rest,2
105,PF4,,,0.05721127699338186,8.02704522316142e-10,0,,0,0,PF4-1,PF4-2,Rest,0
106,PF4V1,,,0.07356315206253065,2.6837482031529072e-15,1,1.0,0,1,PF4V1-1,PF4V1-2,Rest,0
107,PFDN1,0.9881494441018781,0.011850555898121895,0.07507307164129469,7.175247804524664e-16,4,1.0,4,3,PFDN1-1,PFDN1-2,Rest,2
108,PFDN5,0.054595186160108194,0.7345932386512144,-0.038590687962552966,3.432089603763999e-05,41,0.5609756097560976,10,34,PFDN5-1,PFDN5-2,Rest,2
109,PFKFB1,,,0.01332956540680582,0.15258412704288485,0,,0,0,PFKFB1-1,PFKFB1-2,Rest,1
110,PFKFB2,1.0,1.0,0.15214486683689898,1.3223562303468206e-60,2,0.5,0,2,PFKFB2-1,PFKFB2-2,Rest,2
111,PFKFB3,,,0.04983973563339686,8.715937661919537e-08,0,,0,0,PFKFB3-1,PFKFB3-2,Rest,0
112,PFKFB4,,,0.12032831030686614,2.0738819772258633e-38,1,1.0,1,0,PFKFB4-1,PFKFB4-2,Rest,2
113,PHETA1,-1.0,1.0,0.006620450252865716,0.4774249572130144,2,0.0,0,2,PHETA1-1,PHETA1-2,Rest,2
114,PHF2,0.9995466566499251,0.019170134237846186,-0.012979994364709667,0.1636362009121558,3,0.6666666666666666,2,2,PHF2-1,PHF2-2,Rest,2
115,PIAS2,0.9236383644294137,0.25040089470428656,0.059075090508682385,2.225599108257421e-10,3,0.3333333333333333,3,1,PIAS2-1,PIAS2-2,Rest,2
116,PHLDB2,-1.0,1.0,0.015162303845232112,0.10370208722007475,2,0.5,2,0,PHLDB2-1,PHLDB2-2,Rest,2
117,PHLPP2,0.8431268014952074,0.03498353862327374,0.0942805568558766,3.6760211804938504e-24,6,0.6666666666666666,6,0,PHLPP2-1,PHLPP2-2,Rest,2
118,PHOSPHO1,0.591631346062967,0.05520248849578378,-0.012138448130474468,0.19270163357507697,11,0.6363636363636364,1,10,PHOSPHO1-1,PHOSPHO1-2,Rest,0
119,PHOSPHO2,0.5360727969692362,0.005741744550315521,0.08652214907978695,1.376144145185452e-20,25,0.68,16,10,PHOSPHO2-1,PHOSPHO2-2,Rest,2
120,PHOX2A,-0.9581043530147947,0.18493010152297204,0.11406117266372667,1.159524308085196e-34,3,0.6666666666666666,3,0,PHOX2A-1,PHOX2A-2,Rest,0
121,PHOX2B,-1.0,1.0,0.09732738886286532,1.197857631663397e-25,2,0.0,2,0,PHOX2B-1,PHOX2B-2,Rest,0
122,PHPT1,0.8027883476678084,0.40669776658917833,0.04547081981601709,1.0500872397473648e-06,3,0.3333333333333333,1,3,PHPT1-1,PHPT1-2,Rest,2
123,PHRF1,0.655052984054362,1.8185021667173796e-10,0.055494068623403475,2.5273615667009498e-09,75,0.37333333333333335,74,1,PHRF1-1,PHRF1-2,Rest,2
124,PHTF1,0.28750069769551007,0.017441584407360766,-0.0020681112900363123,0.824368472959956,68,0.5147058823529411,68,1,PHTF1-1,PHTF1-2,Rest,2
125,PHTF2,0.9700883832612021,0.15610024615574172,0.17577323938213252,1.3971332612522e-80,3,0.6666666666666666,2,3,PHTF2-1,PHTF2-2,Rest,2
126,PHYH,,,0.0014092745013887884,0.8797944897785474,1,1.0,1,1,PHYH-1,PHYH-2,Rest,2
127,PHYHD1,,,0.05274964776530124,1.4743317409240779e-08,1,1.0,0,1,PHYHD1-1,PHYHD1-2,Rest,0
128,PI4K2A,,,0.01277763096503146,0.1703040928896034,1,0.0,0,1,PI4K2A-1,PI4K2A-2,Rest,2
129,PI4K2B,,,0.05744562074811157,6.846230216419076e-10,1,1.0,1,1,PI4K2B-1,PI4K2B-2,Rest,2
130,PIANP,,,0.0020966041672083446,0.821989025952038,1,1.0,0,1,PIANP-1,PIANP-2,Rest,0
131,PIAS1,0.3877040837879951,1.9098834438991806e-07,0.032595093135212125,0.00046749944542771345,169,0.5266272189349113,1,168,PIAS1-1,PIAS1-2,Rest,1
132,PHLPP1,,,0.09829543492762022,3.9450366127109605e-26,1,0.0,1,0,PHLPP1-1,PHLPP1-2,Rest,2
133,PHLDB1,,,-0.05273972415799853,1.4835342127112984e-08,1,1.0,0,1,PHLDB1-1,PHLDB1-2,Rest,1
134,PHF3,0.8112831221513348,9.372328665678942e-08,0.05615111840647214,1.636039546047561e-09,29,0.896551724137931,29,2,PHF3-1,PHF3-2,Rest,2
135,PHLDA2,,,0.06348527090194972,9.135615478183293e-12,0,,0,0,PHLDA2-1,PHLDA2-2,Rest,2
136,PHF7,,,0.049693281831917985,9.507314454748098e-08,1,0.0,0,1,PHF7-1,PHF7-2,Rest,0
137,PHF8,0.3283167625242052,0.38836187134925654,0.044358307521438996,1.9125918279532494e-06,9,0.6666666666666666,9,1,PHF8-1,PHF8-2,Rest,2
138,PHF11,0.8120482972151298,0.04966898773701285,0.04526326399877348,1.17560829712124e-06,6,0.6666666666666666,3,4,PHF11-1,PHF11-2,Rest,2
139,PHF12,0.3143511844337859,0.06589746943232598,0.1718619849454191,4.581725734659729e-77,35,0.7714285714285715,8,29,PHF12-1,PHF12-2,Rest,2
140,PHF13,0.4938360973552882,0.2135855951711673,-0.04251445384797331,5.011582717650128e-06,8,0.125,8,0,PHF13-1,PHF13-2,Rest,2
141,PHF20L1,0.2832827071067326,0.06907666973705504,0.08307270981827597,4.260276322355083e-19,42,0.5,42,1,PHF20L1-1,PHF20L1-2,Rest,2
142,PHF23,0.7166325354611193,4.185204677983763e-07,0.17244855708035944,1.3774957332477377e-77,38,0.9210526315789473,33,9,PHF23-1,PHF23-2,Rest,2
143,PHGDH,,,0.1446792032238955,6.447189514668287e-55,1,1.0,1,1,PHGDH-1,PHGDH-2,Rest,2
144,PHGR1,0.506260976320495,5.870239122556031e-14,0.1976509746637241,8.39878640795715e-102,193,0.8393782383419689,8,185,PHGR1-1,PHGR1-2,Rest,0
145,PHIP,1.0,1.0,0.04489098234791422,1.437783694545349e-06,2,1.0,1,2,PHIP-1,PHIP-2,Rest,2
146,PHKA1,,,-0.07858522935436837,3.0127827395206305e-17,0,,0,0,PHKA1-1,PHKA1-2,Rest,0
147,PHKA2,-0.34208375988821904,1.162143181819807e-13,0.013889777892282133,0.13606967060059888,445,0.3303370786516854,444,1,PHKA2-1,PHKA2-2,Rest,2
148,PHKB,-1.0,1.0,0.001746770339079229,0.851310497748917,2,1.0,2,2,PHKB-1,PHKB-2,Rest,2
149,PHKG2,0.0560819622378291,0.869907429990194,-0.011322477713922991,0.22434420009708747,11,0.45454545454545453,9,3,PHKG2-1,PHKG2-2,Rest,2
150,PHLDA1,,,-0.049675105515255134,9.610254711514583e-08,0,,0,0,PHLDA1-1,PHLDA1-2,Rest,1
151,PLAUR,,,0.1340740880863895,2.4061057194927396e-47,0,,0,0,PLAUR-1,PLAUR-2,Rest,2
152,PLB1,,,0.12267148936817267,7.299740568179832e-40,0,,0,0,PLB1-1,PLB1-2,Rest,1
153,PLBD1,,,-0.029822496759982577,0.0013696440398747376,1,0.0,1,0,PLBD1-1,PLBD1-2,Rest,0
154,POLRMT,0.41043593489901947,0.09068166784581265,0.07531675714543551,5.785016180039326e-16,18,0.8333333333333334,1,17,POLRMT-1,POLRMT-2,Rest,0
155,POMK,-1.0,1.0,0.12425187350544735,7.35968664246969e-41,2,1.0,0,2,POMK-1,POMK-2,Rest,0
156,POMT1,,,0.07886173827774344,2.3331127718626287e-17,1,1.0,0,1,POMT1-1,POMT1-2,Rest,2
157,POMT2,0.5322984245141893,0.4677015754858107,0.10275646413237897,2.0480508738715094e-28,4,0.5,3,2,POMT2-1,POMT2-2,Rest,2
158,POMZP3,-0.4504017539190024,0.3700820108560089,0.03749053232283556,5.708801839986534e-05,6,0.3333333333333333,4,2,POMZP3-1,POMZP3-2,Rest,0
159,POPDC2,,,0.11128731982403489,4.550505140831889e-33,0,,0,0,POPDC2-1,POPDC2-2,Rest,1
160,POR,-1.0,1.0,0.09104619720018356,1.2364189811955048e-22,2,0.5,1,1,POR-1,POR-2,Rest,2
161,POU1F1,-1.0,1.0,-0.05767260856360608,5.864864198764718e-10,2,0.0,2,0,POU1F1-1,POU1F1-2,Rest,0
162,POU2AF1,,,0.13390921281951806,3.121426082077178e-47,1,1.0,1,0,POU2AF1-1,POU2AF1-2,Rest,2
163,POU2F2,,,0.024026418459098045,0.00991859835165549,1,1.0,1,1,POU2F2-1,POU2F2-2,Rest,2
164,POU2F3,,,0.10135446934248005,1.0973383991643454e-27,0,,0,0,POU2F3-1,POU2F3-2,Rest,0
165,POU3F1,0.06799276833423964,0.8729059290543201,-0.020690707692708213,0.026380527131218197,8,0.375,3,5,POU3F1-1,POU3F1-2,Rest,1
166,POU3F2,-0.8460373926790412,0.1539626073209588,0.09869803399633273,2.477632989898001e-26,4,0.25,4,0,POU3F2-1,POU3F2-2,Rest,0
167,POU3F3,,,-0.026280598878709253,0.004792406659761971,0,,0,0,POU3F3-1,POU3F3-2,Rest,0
168,POU3F4,,,0.10215985787904137,4.195563647770332e-28,0,,0,0,POU3F4-1,POU3F4-2,Rest,0
169,POU4F1,,,0.06464522963554545,3.801720987712027e-12,0,,0,0,POU4F1-1,POU4F1-2,Rest,1
170,POM121C,0.9987583490089379,0.03172779111621917,-0.004043846566081284,0.6643260910739642,3,1.0,0,3,POM121C-1,POM121C-2,Rest,1
171,POLR3G,-0.059932440828356276,0.9400675591716436,0.08714277493713289,7.31232686587278e-21,4,0.75,1,3,POLR3G-1,POLR3G-2,Rest,2
172,POU4F3,,,0.03666511915827306,8.289647447822109e-05,0,,0,0,POU4F3-1,POU4F3-2,Rest,0
173,POLR2M,-0.019401042465864854,0.9670699656208824,0.12726639915287144,8.512560379516976e-43,7,0.5714285714285714,0,7,POLR2M-1,POLR2M-2,Rest,0
174,POFUT2,0.9199678476067912,0.25642908969742356,0.10166328519113346,7.596767515859708e-28,3,1.0,1,2,POFUT2-1,POFUT2-2,Rest,2
175,POGK,0.18077799300894998,0.055346182154502474,0.0630239403615808,1.289176317677946e-11,113,0.7079646017699115,112,1,POGK-1,POGK-2,Rest,2
176,POGLUT1,,,-0.019204777096102958,0.03929727692143795,1,1.0,1,1,POGLUT1-1,POGLUT1-2,Rest,2
177,POLB,,,0.015654382336026305,0.09296133121292069,1,1.0,1,1,POLB-1,POLB-2,Rest,2
178,POLD4,0.32629731305525284,0.5279244575188321,0.04148148021864521,8.455783940256824e-06,6,1.0,1,6,POLD4-1,POLD4-2,Rest,2
179,POLDIP2,0.9990995001957846,0.02701901595221738,0.11605026540659445,7.887196237978148e-36,3,1.0,3,2,POLDIP2-1,POLDIP2-2,Rest,2
180,POLE3,1.0,1.0,-0.023780036597555048,0.010704392014701043,2,1.0,1,2,POLE3-1,POLE3-2,Rest,2
181,POLE4,0.9991854342068884,0.025697311528750877,-0.005386683387655829,0.5632298281610059,3,0.6666666666666666,1,2,POLE4-1,POLE4-2,Rest,2
182,POLG,0.8848944042507146,0.0015196554410899946,0.21393806337532456,2.4204040919419267e-119,9,0.6666666666666666,1,9,POLG-1,POLG-2,Rest,2
183,POLG2,0.3222678979993618,0.5333329767794097,0.04372342168277384,2.676282564731836e-06,6,0.5,6,0,POLG2-1,POLG2-2,Rest,2
184,POLH,,,0.23953440039411378,5.37531421440165e-150,1,1.0,1,0,POLH-1,POLH-2,Rest,1
185,POLK,0.635755752786648,0.364244247213352,-0.02389971549370669,0.01031603620405424,4,0.5,3,2,POLK-1,POLK-2,Rest,2
186,POLL,,,0.14141716115662703,1.5911852840000045e-52,1,1.0,1,1,POLL-1,POLL-2,Rest,2
187,POLM,,,0.06607184809193424,1.2662451101546877e-12,1,1.0,0,1,POLM-1,POLM-2,Rest,1
188,POLR2J2,-0.9745147167905215,0.1440345022074609,0.04526540614997867,1.1742419894298157e-06,3,0.3333333333333333,0,3,POLR2J2-1,POLR2J2-2,Rest,0
189,POU4F2,,,0.04997239099202676,8.054450193965792e-08,0,,0,0,POU4F2-1,POU4F2-2,Rest,0
190,POU5F1,,,0.01876677019906845,0.04400480384739444,0,,0,0,POU5F1-1,POU5F1-2,Rest,0
191,PODXL2,-0.7293969897901353,0.47960149580623174,0.04742182447035434,3.548399387398951e-07,3,0.0,0,3,PODXL2-1,PODXL2-2,Rest,2
192,PPIL3,-1.0,1.0,0.1468764322182764,1.4659801491924558e-56,2,1.0,2,2,PPIL3-1,PPIL3-2,Rest,2
193,PPIP5K2,0.8994663832774009,0.1005336167225992,-0.038942673424588715,2.9082330798461713e-05,4,0.75,3,2,PPIP5K2-1,PPIP5K2-2,Rest,2
194,PPM1A,,,0.05151457098293317,3.171116478013737e-08,1,1.0,1,1,PPM1A-1,PPM1A-2,Rest,2
195,PPM1B,,,-0.024445742119929424,0.008698753401625738,1,1.0,1,1,PPM1B-1,PPM1B-2,Rest,2
