,target,correlation,correlation_ceiling,n_signif,pvalue,culture_condition
98,CTU2,0.8645163452923031,0.8957396813724612,39,0.0029005131925305106,Rest
99,CUL3,0.5542226371197373,0.7852163058264473,274,0.0029005131925305106,Rest
100,CUL4B,0.534773725910155,0.6512308532402313,250,0.0029005131925305106,Rest
101,CWC27,0.7951638283744483,0.957693969950239,10,0.0029005131925305106,Rest
102,CYB561D2,0.9002622138819818,0.9567512437242801,45,0.0029005131925305106,Rest
103,CYB5D1,-0.27693570581508764,,10,0.0029005131925305106,Rest
104,CYB5R4,0.8612939367439649,0.8979277006781528,67,0.0029005131925305106,Rest
105,CYC1,0.35939409447538023,0.7861451530506207,46,0.0029005131925305106,Rest
106,CYP4V2,0.8449895583714654,0.8525157088426178,22,0.0029005131925305106,Rest
107,DCAF5,0.44241786816291373,0.956582733792255,11,0.0029005131925305106,Rest
108,DCAKD,-0.32463782667524,,227,0.0029005131925305106,Rest
109,DCTPP1,-0.16050032851897353,,880,0.0029005131925305106,Rest
110,DDA1,0.6843024096756389,0.8818784880698254,35,0.0029005131925305106,Rest
111,DEF8,-0.13235214614643995,0.43872675634963887,249,0.0029005131925305106,Rest
112,DEFA6,0.3652653592806478,0.2908430537039729,16,0.0029005131925305106,Rest
113,DHPS,0.6325995226898325,0.8765176220501908,182,0.0029005131925305106,Rest
114,DIS3L2,-0.20422348851863778,,465,0.0029005131925305106,Rest
115,DLG4,0.3437245934342461,0.3281703145620797,359,0.0029005131925305106,Rest
116,DMRTA2,0.08709167569851613,0.8116231624614313,73,0.0029005131925305106,Rest
117,DNAH3,-0.3357686108339473,,1705,0.0029005131925305106,Rest
118,DNAJC24,0.8321789926415314,0.9470793603008784,13,0.0029005131925305106,Rest
119,DNAJC4,-0.5849388022952738,,8,0.0029005131925305106,Rest
120,DOCK2,0.6581235589328711,0.08427356016981188,795,0.0029005131925305106,Rest
121,DOLPP1,0.9309568780631762,0.944048065006086,18,0.0029005131925305106,Rest
122,DPH2,0.5243549841687929,0.9403259682734081,4,0.0029005131925305106,Rest
123,DPH5,0.886394080627091,0.9552712749889053,31,0.0029005131925305106,Rest
124,DPM1,0.7408472304753354,0.8843217622698865,53,0.0029005131925305106,Rest
125,DRAP1,0.10400564769232801,0.8974248843462647,95,0.0029005131925305106,Rest
126,EBF3,-0.29320759958124987,0.4916740313103862,265,0.0029005131925305106,Rest
127,EDC3,-0.20325538984255254,,350,0.0029005131925305106,Rest
128,EHMT1,0.7266148870983757,0.6246294687653561,105,0.0029005131925305106,Rest
129,EHMT2,0.8631485210733868,0.8793822417866061,297,0.0029005131925305106,Rest
130,EID2,-0.15837583949582557,0.7808893331516265,36,0.0029005131925305106,Rest
131,EIF1,0.6145841318403243,0.9119990150609091,41,0.0029005131925305106,Rest
132,EIF3L,0.5415845028874824,0.9122370260732983,19,0.0029005131925305106,Rest
133,EIF4B,0.2975339429961049,0.3983534185538024,13,0.0029005131925305106,Rest
134,EIF4G2,0.5072828887866411,0.8124108829524127,1311,0.0029005131925305106,Rest
135,EIPR1,0.04956442221514614,0.7936006541917948,111,0.0029005131925305106,Rest
136,ELAVL1,0.8766296727081997,0.890780006792765,277,0.0029005131925305106,Rest
137,ELOB,0.5311454123066401,,688,0.0029005131925305106,Rest
138,ELOC,0.6935915909590183,0.8263143829979368,29,0.0029005131925305106,Rest
139,ELP1,0.5439007803515852,0.867623888325718,122,0.0029005131925305106,Rest
140,ELP2,0.7559284242302777,0.8499319266371104,277,0.0029005131925305106,Rest
141,ELP3,0.884708537588248,0.8898195581979088,115,0.0029005131925305106,Rest
142,ELP4,0.5084094700358283,0.8156290811113529,17,0.0029005131925305106,Rest
143,ELP5,0.7608314154663743,0.9005340268204538,129,0.0029005131925305106,Rest
144,EML2,-0.038699663211967474,0.866558038020572,76,0.0029005131925305106,Rest
145,ENDOG,-0.030598967829657923,0.11385266962557804,259,0.0029005131925305106,Rest
146,EPB41L3,0.5561286399074268,0.49591355849986263,2433,0.0029005131925305106,Rest
147,EPC1,0.6011208855619958,0.575673649477835,26,0.0029005131925305106,Rest
148,ERCC1,0.5067986593038304,0.545568142928317,219,0.0029005131925305106,Rest
149,ERCC4,-0.03739831005322391,0.7194450456711524,49,0.0029005131925305106,Rest
150,ERGIC3,0.22842955225283035,0.7787445682138805,16,0.0029005131925305106,Rest
151,ETNK1,0.7814943881341149,0.8025263945719275,36,0.0029005131925305106,Rest
152,EXT2,0.41328743664405543,,10,0.0029005131925305106,Rest
153,FAM3C,0.4372759477593611,0.7950407858139279,27,0.0029005131925305106,Rest
154,FAM83F,0.10955541028747544,,1133,0.0029005131925305106,Rest
155,FAM89B,0.5919424644900858,0.8227421752675601,1126,0.0029005131925305106,Rest
156,FAM98B,0.8017235200815468,0.9471919046512737,38,0.0029005131925305106,Rest
157,FANCB,0.2538511792101321,0.9387038857369878,20,0.0029005131925305106,Rest
158,FANCD2,0.3289672081923602,0.6149669513482509,30,0.0029005131925305106,Rest
159,FANCF,0.8724738227804909,0.9081208176028879,9,0.0029005131925305106,Rest
160,FBXL15,-0.18108978555541716,,1030,0.0029005131925305106,Rest
161,FBXL3,0.25426713629633824,0.926904150738304,39,0.0029005131925305106,Rest
162,FBXO28,0.31554305840689545,0.7059719018743346,258,0.0029005131925305106,Rest
163,FBXO38,0.1148429096041037,0.3584980469535495,482,0.0029005131925305106,Rest
164,FBXO42,0.996890616291321,0.9674707719170292,5,0.0029005131925305106,Rest
165,FGFR1OP2,0.7595828547969551,0.9311433553317433,28,0.0029005131925305106,Rest
166,FLAD1,-0.19375154535172684,0.7475037362453889,46,0.0029005131925305106,Rest
167,FLT1,0.45740904594286974,,818,0.0029005131925305106,Rest
168,FOXS1,0.8737232657532388,0.2546538031451035,49,0.0029005131925305106,Rest
169,GALNT6,-0.9129632145728203,0.4003435331377605,6,0.0029005131925305106,Rest
170,GAREM1,0.3147652449191978,0.5049339696172193,55,0.0029005131925305106,Rest
171,GDAP2,0.6344771213996663,0.8194710137231652,138,0.0029005131925305106,Rest
172,GEN1,0.6752379194746955,0.782727894291826,622,0.0029005131925305106,Rest
173,GGA3,0.8569395761742136,0.8529931385560222,239,0.0029005131925305106,Rest
174,GID8,0.6641572487487717,0.9158164331058906,15,0.0029005131925305106,Rest
175,GLIPR2,0.2640231981239543,0.4823350967456788,160,0.0029005131925305106,Rest
176,GNA13,0.10934751465846312,0.7845944481184676,1434,0.0029005131925305106,Rest
177,GNAS,0.5644701666021127,0.7654648469415863,5,0.0029005131925305106,Rest
178,GNB1L,0.3230286222058123,0.5219004560973787,56,0.0029005131925305106,Rest
179,GNLY,0.7003449340171584,0.7152059403216259,31,0.0029005131925305106,Rest
180,GNS,0.3367109602427167,0.6427045003771478,255,0.0029005131925305106,Rest
181,GP9,-0.602481904533956,0.650122259251437,27,0.0029005131925305106,Rest
182,GPATCH3,-0.16000775710495457,,33,0.0029005131925305106,Rest
183,GPR15,0.4121643643645938,0.7249899388796297,28,0.0029005131925305106,Rest
184,GPR82,-0.20515797819469286,,13,0.0029005131925305106,Rest
185,GPS2,0.4196147738704688,0.2802833851613009,212,0.0029005131925305106,Rest
186,GRAP,0.4218849301971538,0.9387961568141449,4,0.0029005131925305106,Rest
187,GSS,0.3891991967062435,0.8272785930213655,61,0.0029005131925305106,Rest
188,GZF1,-0.1291706760675733,0.8255044162635934,149,0.0029005131925305106,Rest
189,HCCS,0.5999961548959495,0.7971234572198788,299,0.0029005131925305106,Rest
190,HDHD3,-0.03381195755633144,0.44868951623291614,29,0.0029005131925305106,Rest
191,HEXIM1,0.40690179488075695,0.8903997507459407,17,0.0029005131925305106,Rest
192,HIBADH,-0.1940874178881085,0.08303196605833026,147,0.0029005131925305106,Rest
193,HIP1R,0.47011783610243824,0.8306031399980379,29,0.0029005131925305106,Rest
194,HMBS,-0.18341187438716178,,275,0.0029005131925305106,Rest
195,HNRNPH1,0.8746486531107549,0.6755402025044068,5,0.0029005131925305106,Rest
196,HOXB2,-0.0028455877113680397,,417,0.0029005131925305106,Rest
197,HP1BP3,0.17937969047596786,0.913552748150978,15,0.0029005131925305106,Rest
198,HPRT1,-0.006335157333284447,0.5027761512159639,37,0.0029005131925305106,Rest
199,HSD11B2,0.5610994915024912,0.854935445324619,256,0.0029005131925305106,Rest
200,HSD17B10,0.016287570603770115,0.8878725422993771,32,0.0029005131925305106,Rest
201,HSD17B13,0.48596072823281367,0.8589084714520857,29,0.0029005131925305106,Rest
202,HUWE1,0.8310406599648268,0.7407268137518374,104,0.0029005131925305106,Rest
203,HYKK,0.3215753106684512,0.7722024129546144,87,0.0029005131925305106,Rest
204,IFFO2,-0.19913067203574103,0.61668452117533,25,0.0029005131925305106,Rest
205,IFNLR1,0.3707576466673489,0.7141642759719511,40,0.0029005131925305106,Rest
206,IL12RB2,0.10614701010849271,0.4463047880498904,66,0.0029005131925305106,Rest
207,IL23R,0.3585706334366742,,864,0.0029005131925305106,Rest
208,IL9,-0.2700453252156234,,1377,0.0029005131925305106,Rest
209,IMPA2,0.7293408107774281,0.7281887300747912,430,0.0029005131925305106,Rest
210,INIP,-0.030256119123119846,0.6012346087526723,277,0.0029005131925305106,Rest
211,INO80B,0.2788092382771857,0.752290672511725,65,0.0029005131925305106,Rest
212,INO80C,0.8860093630765776,0.9521512174691269,30,0.0029005131925305106,Rest
213,INSR,0.41474237278741133,0.5210112291465926,756,0.0029005131925305106,Rest
214,INTS10,0.7582059200512946,0.8724848312048564,168,0.0029005131925305106,Rest
215,INTS13,0.5308485682659431,0.857097419590464,189,0.0029005131925305106,Rest
216,INTS14,0.3732770464730917,0.7446582356827417,310,0.0029005131925305106,Rest
217,INTS6,0.2763019070311173,0.8766285191831362,11,0.0029005131925305106,Rest
218,ITGB2,0.8757439880449186,0.9729440460975449,3,0.0029005131925305106,Rest
219,ITM2B,0.8357029181045219,0.9120814714070615,32,0.0029005131925305106,Rest
220,ITPK1,0.2779976832758256,0.8683743046833055,20,0.0029005131925305106,Rest
221,JOSD2,0.5795429963500123,0.46429503741620987,42,0.0029005131925305106,Rest
222,KAT14,0.7608239112726973,0.8059076527149696,194,0.0029005131925305106,Rest
223,KBTBD2,0.16943959734522304,,80,0.0029005131925305106,Rest
224,KCTD21,-0.17829490587570754,0.6619304401786571,60,0.0029005131925305106,Rest
225,KDM1A,0.7980737788512972,0.8545471122171424,798,0.0029005131925305106,Rest
226,KDM6A,0.43124099227399837,0.8319877450793994,21,0.0029005131925305106,Rest
227,KIFAP3,-0.06438346401466624,0.5300934453526857,1467,0.0029005131925305106,Rest
228,KMT2C,0.4630863586722725,0.40077748582509565,92,0.0029005131925305106,Rest
229,KRBA2,0.46854055009846896,0.6943451995449068,274,0.0029005131925305106,Rest
230,KRCC1,-0.2932203174375632,,162,0.0029005131925305106,Rest
231,KTI12,0.810641447725505,0.8556961758752802,129,0.0029005131925305106,Rest
232,L3MBTL2,0.8938157382635196,0.8885076421487326,44,0.0029005131925305106,Rest
233,LAMP1,0.2474051859423261,0.6690308842558071,146,0.0029005131925305106,Rest
234,LAMTOR3,0.2821485047408393,0.8706272369780417,38,0.0029005131925305106,Rest
235,LARS2,0.7558299086061923,0.8005055309237358,50,0.0029005131925305106,Rest
236,LIN37,0.7683355765133316,0.8812952319329381,23,0.0029005131925305106,Rest
237,LMNA,0.6769233659799015,0.8774048380914306,4,0.0029005131925305106,Rest
238,LMTK2,0.5452324047778256,0.8612173487478034,10,0.0029005131925305106,Rest
239,LOXL4,-0.05688741557034444,,314,0.0029005131925305106,Rest
240,LPCAT3,0.39579067486500635,,298,0.0029005131925305106,Rest
241,LRP2BP,0.08975814363366444,,780,0.0029005131925305106,Rest
242,LRP6,0.12287109904866483,,1279,0.0029005131925305106,Rest
243,LRPPRC,0.9227964393787668,0.9648309827695718,41,0.0029005131925305106,Rest
244,LTB4R,0.1308390116174784,,89,0.0029005131925305106,Rest
245,LYRM2,0.2567419132086465,0.8201507686877604,19,0.0029005131925305106,Rest
246,MAEA,0.5597526438323296,0.7754597008400399,413,0.0029005131925305106,Rest
247,MAGEH1,0.7913806282774729,0.9380460813943108,3,0.0029005131925305106,Rest
248,MAN2A1,0.7451889046651357,0.9236195095250379,7,0.0029005131925305106,Rest
249,MAU2,0.5202705088517467,0.5707949676584534,48,0.0029005131925305106,Rest
250,MBD3,0.5798118320128772,0.8876538522413623,15,0.0029005131925305106,Rest
251,MED12,0.7805505167049139,0.855025569251665,1615,0.0029005131925305106,Rest
252,MED15,0.838384272954613,0.8033158625125106,877,0.0029005131925305106,Rest
253,MED19,0.31106180965414404,0.7690113385997003,1940,0.0029005131925305106,Rest
254,METRN,-0.8700966223896003,0.11898380889878911,9,0.0029005131925305106,Rest
255,METTL1,0.3410106534537045,0.7897594303210071,81,0.0029005131925305106,Rest
256,MIEN1,0.47403792200462574,0.9613501877042774,20,0.0029005131925305106,Rest
257,MMAB,0.12588992090406392,,280,0.0029005131925305106,Rest
258,MMP9,-0.4258778711801905,,153,0.0029005131925305106,Rest
259,MPI,0.5663692634132482,0.7236865978082738,91,0.0029005131925305106,Rest
260,MRPL10,0.0891949525532178,0.7561118698331507,53,0.0029005131925305106,Rest
261,MRPL16,-0.5670317183040949,0.3955360516183905,32,0.0029005131925305106,Rest
262,MRPL2,0.38263245601676105,,50,0.0029005131925305106,Rest
263,MRPL37,-0.031083692721936854,0.8304101266140168,5,0.0029005131925305106,Rest
264,MRPL45,-0.0010102131362027104,0.8274669336291762,35,0.0029005131925305106,Rest
265,MRPS15,-0.7574157943676284,,5,0.0029005131925305106,Rest
266,MRPS16,0.4229781822367623,0.622898888662585,26,0.0029005131925305106,Rest
267,MRPS17,0.33037698189271625,0.8791227098173753,16,0.0029005131925305106,Rest
268,MRPS21,0.9643714593489418,0.8970142113372389,7,0.0029005131925305106,Rest
269,MRPS23,-0.5963453919072031,0.47644372873169716,4,0.0029005131925305106,Rest
270,MRPS26,0.856368710293632,0.6664193575070513,14,0.0029005131925305106,Rest
271,MRPS35,0.4989640389104985,0.7007536325521738,22,0.0029005131925305106,Rest
272,MSL2,0.07249061922761721,0.9196586816409134,28,0.0029005131925305106,Rest
273,MTA2,0.810432185283681,0.8743657115548706,644,0.0029005131925305106,Rest
274,MTERF2,0.23085490166340186,0.8787151117009683,56,0.0029005131925305106,Rest
275,MTG2,0.33000538859072387,0.5272481380575074,8,0.0029005131925305106,Rest
276,MTMR10,0.31630783629885545,0.6493376883229331,484,0.0029005131925305106,Rest
277,MYCN,-0.35728437533620255,,164,0.0029005131925305106,Rest
278,MYH9,0.05923357476285776,,221,0.0029005131925305106,Rest
279,MYT1L,-0.802148101232553,,3,0.0029005131925305106,Rest
280,NABP1,0.299475288756591,0.9096617992476336,15,0.0029005131925305106,Rest
281,NCAM1,-0.40317116936891206,,39,0.0029005131925305106,Rest
282,NCBP3,0.66193160822491,0.8661117046585634,88,0.0029005131925305106,Rest
283,NCKAP1L,0.8349104443597363,0.9299991618441833,123,0.0029005131925305106,Rest
284,NDRG1,0.47860486189641505,0.1759592256995394,25,0.0029005131925305106,Rest
285,NDUFA10,0.6012396399177549,,398,0.0029005131925305106,Rest
286,NEB,0.11623746152320415,,59,0.0029005131925305106,Rest
287,NEMP2,-0.019027638427691337,0.7708564385450375,34,0.0029005131925305106,Rest
288,NEUROD2,-0.22622098139300603,,30,0.0029005131925305106,Rest
289,NFAT5,0.6481023307262282,0.5638275698696693,1793,0.0029005131925305106,Rest
290,NFE2L1,0.8793960309982022,0.9437300231673731,8,0.0029005131925305106,Rest
291,NFKBIL1,-0.03224833326964938,,34,0.0029005131925305106,Rest
292,NFRKB,0.8024604755107789,0.8507543028956049,1253,0.0029005131925305106,Rest
293,NIPAL4,-0.01443437674432349,0.8860144998205157,8,0.0029005131925305106,Rest
294,NKX2-8,-0.2555578294013941,0.4323174777212787,158,0.0029005131925305106,Rest
295,NKX6-3,-0.1141153516221658,,111,0.0029005131925305106,Rest
296,NLRX1,0.49800995297407985,0.8937108874383562,17,0.0029005131925305106,Rest
297,NPC2,0.9905482942521906,0.9729508940899907,4,0.0029005131925305106,Rest
298,NPHP4,-0.2385492508005651,,83,0.0029005131925305106,Rest
299,NR2E1,-0.006078728904480181,0.743680653982963,14,0.0029005131925305106,Rest
300,NRAS,-0.3954162678246055,,116,0.0029005131925305106,Rest
301,NSD2,0.7381573568133296,0.7903520989232908,19,0.0029005131925305106,Rest
302,NUDCD1,0.8907454879951312,0.9770531970590586,5,0.0029005131925305106,Rest
303,NUDT19,0.3730262106229984,0.9267241887591982,45,0.0029005131925305106,Rest
304,NUP188,0.682617157730087,0.8905703666261372,108,0.0029005131925305106,Rest
305,OTUB1,0.6980437306305267,0.9489910656907009,17,0.0029005131925305106,Rest
306,OTUD1,0.6743989166880222,0.8427249578384717,121,0.0029005131925305106,Rest
307,OXA1L,0.6767247047936408,0.9107970937233006,61,0.0029005131925305106,Rest
308,PAGR1,0.7828158765511098,0.8203161001032381,226,0.0029005131925305106,Rest
309,PAIP1,0.6151529255621846,0.7895298235929441,25,0.0029005131925305106,Rest
310,PAPSS1,0.7418186730524164,0.9249234883717118,38,0.0029005131925305106,Rest
311,PARD6A,0.5165790111394544,0.8670348517986544,62,0.0029005131925305106,Rest
312,PARP14,-0.09572104937179839,0.6376991629313223,120,0.0029005131925305106,Rest
313,PARS2,-0.13259993383430835,,4,0.0029005131925305106,Rest
314,PATL1,0.16785991431345526,0.5034683455771564,161,0.0029005131925305106,Rest
315,PAXIP1,0.8944724450751063,0.9142007224524572,163,0.0029005131925305106,Rest
316,PCNX3,-0.0417867562750294,0.5087706594675366,76,0.0029005131925305106,Rest
317,PCNX4,0.44292471578587683,0.8935692476216036,7,0.0029005131925305106,Rest
318,PDAP1,0.5827454305523091,0.3081561512341051,19,0.0029005131925305106,Rest
319,PDLIM2,-0.12916637629672836,0.37101513994479,103,0.0029005131925305106,Rest
320,PEX6,0.43518304599689095,0.40582214946085826,63,0.0029005131925305106,Rest
321,PGS1,0.28656536260331833,0.3213153638459133,312,0.0029005131925305106,Rest
322,PHF12,0.30474059476874577,0.9158735336252959,44,0.0029005131925305106,Rest
323,PHF23,0.7267382193791202,0.887154828300022,44,0.0029005131925305106,Rest
324,PHF3,0.8106198819501839,0.9116145536869725,30,0.0029005131925305106,Rest
325,PHGR1,0.502956493153358,0.7671493425338737,186,0.0029005131925305106,Rest
326,PIAS1,0.3483146518797998,0.27683116705477817,153,0.0029005131925305106,Rest
327,PIGB,0.0176996332103711,0.4742997289938922,70,0.0029005131925305106,Rest
328,PIGH,0.48904162417834196,0.7982003488476183,96,0.0029005131925305106,Rest
329,PIK3R4,0.45861284814476816,0.8462369105528899,71,0.0029005131925305106,Rest
330,PKM,0.9460465338346169,0.9520458315897956,11,0.0029005131925305106,Rest
331,PNPT1,-0.28315154917794094,0.5552610235666557,19,0.0029005131925305106,Rest
332,POGK,0.18830282044025584,0.7776654205948313,115,0.0029005131925305106,Rest
333,POLRMT,0.41065176125364466,0.4342239690100881,18,0.0029005131925305106,Rest
334,PPCDC,0.515070715449095,0.6875740322878381,187,0.0029005131925305106,Rest
335,PPCS,0.3952716669342818,0.7627435189437811,359,0.0029005131925305106,Rest
336,PPDPF,-0.25302123194559173,,540,0.0029005131925305106,Rest
337,PPHLN1,0.741301077869117,0.8970302710363988,90,0.0029005131925305106,Rest
338,PPIF,0.2829489487357511,0.6239265173313462,591,0.0029005131925305106,Rest
339,PPIL1,0.7010552042555095,0.8982109989389319,126,0.0029005131925305106,Rest
340,PPM1D,0.7217287560626711,0.4944750114540686,615,0.0029005131925305106,Rest
341,PPP1R12C,0.48340162376303814,0.5791100373839029,668,0.0029005131925305106,Rest
