old_name,gene_id
CCDC58,ENSG00000160124
TAZ,ENSG00000102125
C12orf49,ENSG00000111412
ADPRHL2,ENSG00000116863
LRP5L,ENSG00000100068
C19orf66,ENSG00000130813
C7orf43,ENSG00000146826
SEPT6,ENSG00000125354
HIST1H4H,ENSG00000158406
TMEM189,ENSG00000240849
TCTEX1D4,ENSG00000188396
PHB,ENSG00000167085
C22orf46,ENSG00000293428
HIST2H2AA3,ENSG00000288825
SEPT1,ENSG00000180096
MTRNR2L1,MTRNR2L1
KIAA2026,ENSG00000183354
HIST2H2BE,ENSG00000184678
KIAA0895L,ENSG00000196123
C3orf14,ENSG00000114405
TEX45,ENSG00000198723
AES,ENSG00000104964
H3F3A,ENSG00000163041
FAM49B,ENSG00000153310
FAM102B,ENSG00000162636
DARS,ENSG00000115866
C20orf27,ENSG00000101220
C11orf80,ENSG00000173715
CBWD2,ENSG00000136682
FAM208A,ENSG00000163946
PQLC1,ENSG00000122490
GARS,ENSG00000106105
FAM19A1,ENSG00000183662
AKAP2,ENSG00000157654
ZBED6CL,ENSG00000188707
SEPT7,ENSG00000122545
SLC9A3R2,ENSG00000065054
MARCH8,ENSG00000165406
QARS,ENSG00000172053
C6orf201,ENSG00000185689
C16orf70,ENSG00000125149
HIST2H2AC,ENSG00000184260
YARS,ENSG00000134684
HIST1H4B,ENSG00000278705
HIST1H2BE,ENSG00000274290
HIST1H2AK,ENSG00000275221
HIST1H4L,ENSG00000275126
KIAA1324L,ENSG00000164659
COL4A3BP,ENSG00000113163
KIF1BP,ENSG00000198954
ZNRD1,ENSG00000066379
HIST1H2BH,ENSG00000275713
HIST1H2BG,ENSG00000273802
SMIM4,ENSG00000168273
PRR34,ENSG00000182257
TTC37,ENSG00000198677
C8orf44,ENSG00000288596
MINOS1,ENSG00000173436
C12orf65,ENSG00000130921
SLC9A3R1,ENSG00000109062
HIST1H2BM,ENSG00000273703
C3orf58,ENSG00000181744
TROVE2,ENSG00000116747
MTRNR2L8,MTRNR2L8
ZNF781,ENSG00000196381
HIST1H3C,ENSG00000287080
WRB,ENSG00000182093
C8orf37,ENSG00000156172
MARCH9,ENSG00000139266
C12orf45,ENSG00000151131
C4orf48,ENSG00000243449
C1orf109,ENSG00000116922
MARCH6,ENSG00000145495
ELMSAN1,ENSG00000156030
C19orf57,ENSG00000132016
WDR60,ENSG00000126870
HIST1H3H,ENSG00000278828
HIST1H2AJ,ENSG00000276368
TCTE3,ENSG00000184786
HIST1H3D,ENSG00000197409
C7orf61,ENSG00000185955
FAM160B2,ENSG00000158863
H2AFZ,ENSG00000164032
FAM92A,ENSG00000188343
MUM1,ENSG00000137265
FAM84B,ENSG00000168672
TCTEX1D2,ENSG00000213123
C15orf41,ENSG00000186073
CCL3L1,ENSG00000276085
HIST1H2BL,ENSG00000185130
FAM206A,ENSG00000119328
ZNF720,ENSG00000197302
USP41,ENSG00000161133
HIST1H2BB,ENSG00000276410
HIST1H2BI,ENSG00000278588
KIAA1109,ENSG00000138688
C8orf59,ENSG00000176731
ST20,ENSG00000180953
FAM69A,ENSG00000154511
CASC4,ENSG00000166734
C9orf3,ENSG00000148120
HIST2H2AB,ENSG00000184270
FAM129B,ENSG00000136830
KIAA0100,ENSG00000007202
PQLC2,ENSG00000040487
SEPT8,ENSG00000164402
HIST1H3A,ENSG00000275714
C19orf54,ENSG00000188493
HIST1H4D,ENSG00000277157
FAM214A,ENSG00000047346
HIST1H3B,ENSG00000286522
C12orf73,ENSG00000204954
C16orf45,ENSG00000166780
TMEM8A,ENSG00000129925
HIST1H2BJ,ENSG00000124635
SLC35E2A,ENSG00000215790
HIST2H3C,ENSG00000203811
HIST1H1A,ENSG00000124610
CENPBD1,ENSG00000177946
TMEM110-MUSTN1,ENSG00000248592
WARS,ENSG00000140105
FAM189B,ENSG00000160767
SPATA5L1,ENSG00000171763
NARS,ENSG00000134440
CYHR1,ENSG00000187954
H2AFY,ENSG00000113648
HIST2H4B,ENSG00000270276
MPP6,ENSG00000105926
U2AF1L5,ENSG00000275895
ZBED9,ENSG00000232040
HIST1H2AG,ENSG00000196787
WDR34,ENSG00000119333
H2AFY2,ENSG00000099284
METTL7A,ENSG00000185432
HIST2H3D,ENSG00000183598
FAM122A,ENSG00000187866
RRNAD1,ENSG00000143303
ODF3B,ENSG00000177989
FAM71F2,ENSG00000205085
MARS,ENSG00000166986
TARS,ENSG00000113407
PQLC3,ENSG00000162976
MARCH1,ENSG00000145416
HHLA3,ENSG00000197568
MARCH3,ENSG00000173926
TMEM173,ENSG00000184584
FAM173B,ENSG00000150756
C20orf194,ENSG00000088854
MUT,ENSG00000146085
MRPS36,ENSG00000134056
C12orf4,ENSG00000047621
C2orf50,ENSG00000150873
CCDC96,ENSG00000173013
ADAL,ENSG00000168803
PRPF4B,ENSG00000112739
TSTD3,ENSG00000279170
C17orf80,ENSG00000141219
BMT2,ENSG00000164603
