target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
LSM14B,LSM14B,Stim8hr,LSM14B-1,POGK,11,9,-1.3287779662328336,0.0253389900966552,0.082,1.2554747312769205e-18,-0.0002,0.9991835084831412,32,,0.0
PATJ,PATJ,Stim8hr,PATJ-1,PPDPF,11,8,-1.326528020264637,0.0026988513690992,0.009,0.3324039095487729,0.0083,0.7772386649102923,1172,0.7772386649102923,0.0
PRKCA,PRKCA,Stim48hr,PRKCA-1,PATJ,11,5,-1.3251739935702294,0.0060240801606222,-0.1107,9.530177450385823e-33,-0.2465,0.3759047146860371,15,,0.0
TBC1D1,TBC1D1,Stim8hr,TBC1D1-2,ETFA,11,7,-1.3248715130470068,7.921223980914612e-42,0.0702,4.5287460857943145e-14,-0.9821,0.1205063806765415,3,,0.0
BEGAIN,BEGAIN,Rest,BEGAIN-2,TCP11L1,11,6,-1.324409004095525,4.131353899478615e-06,0.057,9.5438095027291e-10,0.5841,0.4158700071316539,4,0.4158700071316539,0.0
SKIV2L,SKIC2,Rest,SKIV2L-1,CD247,11,5,-1.3238791112411257,1.3047807309379633e-05,0.0271,0.0036213752968793,-0.0163,0.9441345834179716,21,,0.0
PPARA,PPARA,Rest,PPARA-1,HAGH,11,7,-1.3238725479612945,1.8365229674567227e-12,0.0589,2.4886965060488604e-10,-0.0729,0.7961626539499999,15,,0.0
STAT5B,STAT5B,Stim8hr,STAT5B-1,ADAM19,11,6,-1.3234146333912078,0.0001413953579381,0.1238,1.3948581843745923e-40,0.2797,4.146708602009993e-15,759,4.146708602009993e-15,0.0
NEURL1,NEURL1,Stim8hr,NEURL1-2,LEO1,11,7,-1.3232637235382478,2.96140819368035e-05,0.2413,3.023603486334729e-152,0.3773,2.0606209246117527e-91,2680,2.0606209246117527e-91,0.0
ZFAND3,ZFAND3,Stim48hr,ZFAND3-1,ZMYND19,11,6,-1.3225729072363204,0.0561112496747024,-0.0835,2.865935671134496e-19,-0.0962,0.0128305307972903,669,,0.0
TP53INP2,TP53INP2,Rest,TP53INP2-2,SLCO4A1,11,7,-1.3212037869696194,7.613825517027442e-07,,,,,0,,0.0
GDI1,GDI1,Stim8hr,GDI1-1,ITPR2,11,8,-1.3210188092384023,0.0407885053316909,-0.1059,4.5480070423769825e-30,-0.4335,6.571914612643341e-05,79,,0.0
EIF2AK4,EIF2AK4,Stim8hr,EIF2AK4-2,MCRIP1,11,6,-1.3158319552107862,0.0007304170466254,-0.0527,1.5489246011362715e-08,0.8427,0.0001544084925595,14,0.0001544084925595,0.0
SETD2,SETD2,Stim48hr,SETD2-2,APOBEC3F,11,6,-1.3147370697313263,0.0010557349164689,0.0434,3.256459692714839e-06,0.0955,0.3395689501625121,102,0.3395689501625121,0.0
HIRIP3,HIRIP3,Stim48hr,HIRIP3-1,ATP8A1,11,5,-1.3134252796529846,1.8698356670192028e-10,-0.0514,3.467098753688096e-08,-0.1334,0.1363764748735536,126,,0.0
HOXB2,HOXB2,Stim8hr,HOXB2-1,ERC1,11,5,-1.3127252974047725,0.000797656496835,-0.0056,0.5514659903959759,-0.1368,0.1346091379906573,121,,0.0
LRBA,LRBA,Stim8hr,LRBA-2,CD3G,11,8,-1.3119023615154592,3.577171382293999e-09,0.8978,0.0,0.9083,0.0,5960,0.0,1.0
ATP13A3,ATP13A3,Stim48hr,ATP13A3-2,BATF3,11,7,-1.3113912299945163,0.0144250959971095,0.0856,3.412003036898446e-20,0.6995,0.0165921669634799,11,0.0165921669634799,0.0
ZFPM1,ZFPM1,Stim8hr,ZFPM1-1,ALDH18A1,11,8,-1.311343540382467,2.5129129925757066e-18,0.0123,0.1881018182341218,-0.0033,0.8479590729362002,3286,,0.0
ACOT9,ACOT9,Stim48hr,ACOT9-1,TSPO,11,7,-1.311017984638212,0.0005934482383675,-0.0154,0.0985485024327511,-0.0019,0.9898186083199468,46,,0.0
HSFX1,HSFX1,Stim8hr,HSFX1-2,SHKBP1,11,5,-1.3109573827743015,8.922148539420283e-14,0.035,0.0001717417193075,-0.4899,0.0459005544193797,17,,0.0
TBC1D1,TBC1D1,Stim48hr,TBC1D1-1,UBR7,11,6,-1.310634047560172,0.0030079156837655,0.1015,9.731759767272648e-28,0.1905,0.479710498757932,16,0.479710498757932,0.0
ITPK1,ITPK1,Rest,ITPK1-1,SIVA1,11,7,-1.3104484868084267,0.0043954658495811,-0.0332,0.0003666184420109,-0.073,0.6913414481334361,32,,0.0
EME2,EME2,Rest,EME2-1,DERL1,11,6,-1.3101511788420348,2.7393441175740467e-10,0.0324,0.0005131646262152,,,2,,0.0
WDR89,WDR89,Stim8hr,WDR89-2,ATRX,11,8,-1.3087469719053488,5.952023079278835e-09,0.1595,1.8057466043672677e-66,0.4021,6.52295841525888e-34,838,6.52295841525888e-34,0.0
YES1,YES1,Stim8hr,YES1-1,PCGF6,11,6,-1.3082939652237278,1.819145802595195e-07,0.0698,6.463462893964172e-14,0.4017,0.0007533886539842,67,0.0007533886539842,0.0
CHMP1A,CHMP1A,Stim8hr,CHMP1A-2,MARCHF6,11,8,-1.3068962041194727,1.3263584331348786e-17,0.1169,2.654880906521739e-36,0.1398,0.1719920567725495,97,0.1719920567725495,0.0
ASXL2,ASXL2,Stim8hr,ASXL2-2,LRRC8B,11,5,-1.30631689467167,1.2652691322885136e-13,-0.0539,7.165776286965287e-09,0.3536,0.0435400757488109,33,0.0435400757488109,0.0
MOV10,MOV10,Rest,MOV10-1,PLGRKT,11,5,-1.3055735534897102,7.53570635361748e-08,0.0541,6.474561202184745e-09,0.0382,0.9061601634096472,12,0.9061601634096472,0.0
RALY,RALY,Rest,RALY-2,UBE2Q2,11,8,-1.304781630886627,0.0013522934460814,-0.1443,1.3407753291819507e-54,-0.1339,0.2055705092630186,91,,0.0
TLK1,TLK1,Stim8hr,TLK1-2,CD37,11,7,-1.3045402018169894,0.0284666603685987,0.0469,4.789093538232698e-07,0.2074,0.4245222570613806,17,0.4245222570613806,0.0
H3F3C,H3-5,Stim8hr,H3F3C-2,PAPSS1,11,7,-1.30434922569057,0.0006186576043028,-0.0127,0.1729541510471423,0.6469,0.0229852549153592,12,0.0229852549153592,0.0
C19orf47,C19orf47,Stim8hr,C19orf47-1,ARRB2,11,6,-1.302944489201744,1.525474055409482e-07,,,,,0,,0.0
ZFAND3,ZFAND3,Stim48hr,ZFAND3-1,GSK3B,11,8,-1.3027591768312912,0.0010842868748219,0.0684,2.0169543268869499e-13,0.1215,0.0020174249278622,643,0.0020174249278622,0.0
