target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
ABCD3,ABCD3,Rest,ABCD3-1,CSTB,16,2,-3.742569133523298,3.7277047349626205e-09,-0.1094,5.294179008277646e-32,-0.0722,0.3965786978257495,140,,0.0
ABCD3,ABCD3,Stim8hr,ABCD3-1,CSTB,16,2,-3.7063568165424807,0.003245313024123,-0.0274,0.0032402601855028,-0.2433,0.0656958388282824,58,,0.0
CGGBP1,CGGBP1,Rest,CGGBP1-2,CD81,16,2,-3.32857379662199,0.0872577747615544,0.1504,3.25283147972948e-59,0.0036,0.9921457122405362,10,0.9921457122405362,0.0
C2orf15,C2orf15,Stim48hr,C2orf15-1,CDKN2AIP,16,3,-3.045604340933556,0.0005669401427954,0.1566,3.602014573873431e-64,0.5816,6.046783695530646e-13,128,6.046783695530646e-13,1.0
CGGBP1,CGGBP1,Stim8hr,CGGBP1-2,CD81,16,2,-2.8873946711552767,1.317917861094024e-05,0.0215,0.0211615751348958,-0.4291,0.5708878524897185,4,,0.0
MORN1,MORN1,Rest,MORN1-1,UBE2O,16,3,-2.7915986684605745,1.859275715545808e-22,0.1433,6.883982861354996e-54,-0.7613,0.238672643928486,4,,0.0
KLF10,KLF10,Rest,KLF10-1,ARHGAP5,16,3,-2.634951004633165,0.0962835405440808,0.0187,0.0442891644526921,-0.1954,0.239698131130244,38,,0.0
LTBP3,LTBP3,Stim8hr,LTBP3-1,MCOLN1,16,4,-2.2276963952145468,1.374263878380661e-07,0.0221,0.0178468444617795,0.9355,0.2298861528836093,3,0.2298861528836093,0.0
PRR7,PRR7,Stim8hr,PRR7-1,SH2B3,16,4,-2.171148953008517,0.0119181415935387,0.0386,3.467185863708484e-05,-0.2061,0.1743897916177498,45,,0.0
C2orf15,C2orf15,Rest,C2orf15-1,CDKN2AIP,16,3,-1.9790333769118773,0.0650670426104294,0.1502,4.754787431657537e-59,0.6458,2.2067937018424216e-15,119,2.2067937018424216e-15,1.0
C2orf15,C2orf15,Stim8hr,C2orf15-1,CDKN2AIP,16,3,-1.9169142484616053,0.0273327285449603,0.1199,3.823974695500377e-38,0.4788,1.826849941839902e-07,107,1.826849941839902e-07,0.0
GPR27,GPR27,Stim8hr,GPR27-2,FASTK,16,2,-1.87668000938624,2.6024713210165524e-18,-0.0165,0.0766612172279345,0.436,0.4630509487250611,5,0.4630509487250611,0.0
SRSF8,SRSF8,Stim48hr,SRSF8-1,YDJC,16,4,-1.8457817256006253,4.829175636477623e-09,0.1348,7.368317894334883e-48,-0.7656,0.0759500963350304,6,,0.0
RXRA,RXRA,Rest,RXRA-1,E2F2,16,4,-1.8197548819566227,1.3836325973592426e-08,-0.1253,1.7189112927092723e-41,-0.3599,0.3070015389787948,10,,0.0
GPR27,GPR27,Rest,GPR27-2,FASTK,16,2,-1.7765938094681848,3.4663439421480373e-13,-0.0743,1.4003041289051198e-15,0.4397,0.4587912859045936,5,0.4587912859045936,0.0
PPIF,PPIF,Rest,PPIF-1,NRBP1,16,4,-1.7072849318356231,9.70748221505768e-06,0.3936,0.0,0.5813,8.546518524005758e-80,870,8.546518524005758e-80,1.0
SRSF8,SRSF8,Stim8hr,SRSF8-1,YDJC,16,4,-1.6953193620294738,3.8160761368192236e-17,-0.0067,0.4750267197082485,0.4222,0.2974272509901724,8,0.2974272509901724,0.0
ZFAND3,ZFAND3,Stim48hr,ZFAND3-1,RABGAP1L,16,4,-1.5627969921230775,0.0023292181810349,0.2248,7.59939414480446e-132,0.465,6.350078452220672e-36,645,6.350078452220672e-36,0.0
PRR7,PRR7,Stim48hr,PRR7-1,SH2B3,16,4,-1.4253139019372487,0.0443004758965475,0.1529,3.6672076239799505e-61,0.3392,0.0027222580484905,76,0.0027222580484905,0.0
SETD3,SETD3,Stim8hr,SETD3-2,RBM15B,16,4,-1.277750092730174,0.0271485846523124,-0.0074,0.4283834459240814,0.0538,0.7857605373255433,28,0.7857605373255433,0.0
ZFAND3,ZFAND3,Rest,ZFAND3-1,RABGAP1L,16,4,-1.2103517862437043,7.482281582651413e-06,-0.0219,0.0187756965558753,-0.1024,0.7932123612958475,9,,0.0
GPR27,GPR27,Stim48hr,GPR27-2,FASTK,16,2,-1.1642327594481714,8.513172883418177e-07,0.0225,0.0158596779824257,0.1101,0.8601556342997523,5,0.8601556342997523,0.0
KLF10,KLF10,Rest,KLF10-1,RPRD2,16,3,-1.101037323139736,0.0029307001531522,0.2373,3.935053229660432e-147,0.3757,7.1619909191939285e-53,1542,7.1619909191939285e-53,0.0
PPIF,PPIF,Stim8hr,PPIF-1,NRBP1,16,4,-1.0161418785809886,1.4358009319161882e-10,0.278,2.2924489512137896e-203,0.4701,6.900570832298836e-37,647,6.900570832298836e-37,0.0
PRR7,PRR7,Stim8hr,PRR7-1,ZBTB44,16,2,-0.8514692489234332,0.0426659016421335,0.06,1.1398414828062253e-10,0.1165,0.0638033253856169,254,0.0638033253856169,0.0
PMEL,PMEL,Stim48hr,PMEL-1,PEMT,15,2,-5.459364845503888,1.1413880487430418e-12,0.0296,0.0014894456948006,0.5492,0.6298913784827971,3,0.6298913784827971,0.0
SCO2,SCO2,Stim8hr,SCO2-1,USP13,15,4,-4.542315626335674,1.5187615220047232e-22,-0.0509,4.68887992809233e-08,0.003,0.9725667450086158,130,0.9725667450086158,0.0
XPO5,XPO5,Rest,XPO5-1,QSER1,15,4,-4.529115683857212,2.990845247052232e-08,-0.1243,7.301115571719078e-41,0.4955,0.1453479986262607,10,0.1453479986262607,0.0
ZFPM1,ZFPM1,Stim8hr,ZFPM1-1,FGFR1,15,3,-4.342149230340407,0.0005967256327133,,,,,0,,0.0
PMEL,PMEL,Stim8hr,PMEL-1,PEMT,15,2,-4.232732849281431,6.4406636906071875e-28,0.094,5.091339044442842e-24,0.1653,0.8942860475001084,3,0.8942860475001084,0.0
SCO2,SCO2,Rest,SCO2-1,USP13,15,4,-4.194870776349785,1.9438368973819825e-13,-0.0014,0.8847174700109011,0.0342,0.3345281128351572,799,0.3345281128351572,0.0
FBXL20,FBXL20,Rest,FBXL20-1,SPN,15,5,-4.089402973462085,5.617585303167703e-87,0.1182,4.039730419579565e-37,0.864,0.0002899995998071,12,0.0002899995998071,1.0
HOXB2,HOXB2,Stim48hr,HOXB2-1,NECTIN3,15,3,-3.8614315382827504,3.135257509912816e-08,0.0446,1.685446352709468e-06,0.0226,0.7509169922310556,200,0.7509169922310556,0.0
SCO2,SCO2,Stim48hr,SCO2-1,USP13,15,4,-3.748042993165688,4.851139946012796e-15,-0.0634,9.52254799888918e-12,-0.1152,0.6287246025790065,20,,0.0
SETD3,SETD3,Stim8hr,SETD3-2,B4GALT5,15,3,-3.705091499471688,3.690706336021668e-05,0.0459,8.381915355447073e-07,0.0057,0.977036372508338,28,0.977036372508338,0.0
MATK,MATK,Stim8hr,MATK-1,LAMTOR1,15,2,-3.696377917289717,2.951001014535872e-56,0.1312,2.2020497025911645e-45,0.2559,0.0728047033645653,50,0.0728047033645653,0.0
GDPD5,GDPD5,Stim8hr,GDPD5-2,ZDHHC18,15,5,-3.5648362692579654,6.460186778766876e-19,0.0689,1.375499405469862e-13,0.0498,0.8346777694992371,20,0.8346777694992371,0.0
XPO5,XPO5,Stim8hr,XPO5-1,QSER1,15,4,-3.453026747517892,8.210481248232337e-18,-0.0745,1.1788476570370588e-15,-0.3725,0.2592291414524614,11,,0.0
ZFPM1,ZFPM1,Stim48hr,ZFPM1-1,TADA2B,15,4,-3.127651930981816,4.3134239841130135e-08,0.7228,0.0,0.7724,0.0,5533,0.0,1.0
XPO5,XPO5,Stim48hr,XPO5-1,QSER1,15,4,-3.060066842407238,5.305084589251371e-19,-0.1116,3.131931853158767e-33,0.3394,0.235225049732341,14,0.235225049732341,0.0
PANK4,PANK4,Stim8hr,PANK4-1,AMFR,15,2,-3.029095737504345,0.0043338622434621,0.019,0.0414590807408839,0.0263,0.9125202419276124,20,0.9125202419276124,0.0
IL3,IL3,Stim48hr,IL3-2,WBP1L,15,3,-2.978117274307764,0.0001162980633941,0.0425,5.175722703215783e-06,0.087,0.7398252353765522,17,0.7398252353765522,0.0
SYNGR3,SYNGR3,Stim8hr,SYNGR3-1,ZDHHC18,15,1,-2.9200881341293496,2.0122188168836123e-08,-0.0178,0.0562653120844612,0.081,0.6760780972997419,29,0.6760780972997419,0.0
HOXB2,HOXB2,Stim8hr,HOXB2-1,NECTIN3,15,3,-2.765313199807173,1.2634478762816592e-05,0.0297,0.0014324227839116,-0.0513,0.5744256067654907,122,,0.0
IL3,IL3,Stim8hr,IL3-2,SLC30A1,15,3,-2.7292113281177874,3.23335701100437e-59,0.2871,2.156373571565305e-217,0.7823,2.0072732311098075e-07,31,2.0072732311098075e-07,1.0
RXRA,RXRA,Rest,RXRA-1,ANKRD52,15,3,-2.6873415616106144,3.3607311321055904e-18,,,,,0,,0.0
HOXB2,HOXB2,Rest,HOXB2-1,NECTIN3,15,3,-2.660944053552202,0.0268232502111636,0.1404,8.192025225084079e-52,0.2219,3.962369516120737e-06,424,3.962369516120737e-06,0.0
AP4M1,AP4M1,Stim8hr,AP4M1-1,NOTCH1,15,5,-2.6405498420510995,8.121773280425415e-19,-0.0189,0.042079832186182,,,1,,0.0
ZFPM1,ZFPM1,Rest,ZFPM1-1,TADA2B,15,4,-2.608248048312587,1.6537249768736134e-24,0.7302,0.0,0.7713,0.0,5020,0.0,1.0
SERGEF,SERGEF,Stim8hr,SERGEF-2,C15orf61,15,3,-2.486359623410588,9.212255751297908e-11,0.0519,2.4622963161534682e-08,-0.8267,0.0424357219416653,6,,0.0
IL3,IL3,Stim48hr,IL3-2,SLC30A1,15,3,-2.479855524713497,5.549571458205301e-18,0.2733,1.9667963360549722e-196,0.8088,9.91937106892989e-07,25,9.91937106892989e-07,1.0
RXRA,RXRA,Stim48hr,RXRA-1,ANKRD52,15,3,-2.4519086296870274,3.081361201663133e-14,-0.0944,3.150087303492121e-24,-0.3661,0.1350771165750245,18,,0.0
MATK,MATK,Stim48hr,MATK-1,LAMTOR1,15,2,-2.4447184080923425,4.443003826059011e-23,0.159,4.4123999798210384e-66,0.3747,7.07007032440941e-17,463,7.07007032440941e-17,0.0
ATG14,ATG14,Stim48hr,ATG14-2,WDR6,15,5,-2.378239371790269,0.0120917877129193,-0.1049,1.5437596470299405e-29,-0.2302,0.5222045805678472,10,,0.0
PLGRKT,PLGRKT,Stim48hr,PLGRKT-2,ECPAS,15,5,-2.245355324002252,5.99968649232368e-31,0.0331,0.0003872066688056,0.7516,0.1429712608106232,5,0.1429712608106232,0.0
NFKBIB,NFKBIB,Rest,NFKBIB-2,CCNG2,15,4,-2.2334820951855336,0.0575337334119769,-0.0031,0.736534303488901,0.148,0.6294095000364051,13,0.6294095000364051,0.0
IL3,IL3,Stim8hr,IL3-2,WBP1L,15,3,-2.197679218418732,3.7315685944314286e-05,0.0836,2.622630564371176e-19,0.2193,0.3529466516682326,20,0.3529466516682326,0.0
ZC3H12C,ZC3H12C,Stim48hr,ZC3H12C-1,CNP,15,3,-2.1273105637029963,0.072889339456821,0.1166,3.898163361198968e-36,0.4686,0.013685193591166,27,0.013685193591166,0.0
ZFPM1,ZFPM1,Stim8hr,ZFPM1-1,TADA2B,15,4,-2.0667638205615004,1.3153300902713227e-16,0.7771,0.0,0.7963,0.0,6432,0.0,1.0
SYNGR3,SYNGR3,Stim8hr,SYNGR3-1,FAM50A,15,2,-1.9576384406579208,2.3482345090911463e-08,-0.0525,1.7617226638505513e-08,-0.327,0.1029787381156261,26,,0.0
IL3,IL3,Rest,IL3-2,SLC30A1,15,3,-1.8609896884155976,2.4417471506411304e-24,0.2486,8.360252063643614e-162,0.8711,1.323718525083462e-07,22,1.323718525083462e-07,1.0
CD2BP2,CD2BP2,Rest,CD2BP2-2,ACP1,15,5,-1.8503738280199808,0.0346835640964581,0.0184,0.0488823865370381,,,1,,0.0
ATG14,ATG14,Stim8hr,ATG14-2,WDR6,15,5,-1.8020242571267169,0.0130770949096648,-0.0431,3.7110437948473247e-06,-0.2989,0.0682977717104193,38,,0.0
ZFPM1,ZFPM1,Stim48hr,ZFPM1-1,FGFR1,15,3,-1.76243012480855,0.0580882536981221,,,,,0,,0.0
PANK4,PANK4,Stim48hr,PANK4-1,AMFR,15,2,-1.7006107758458957,0.0415455776713274,0.0773,1.0036252240611581e-16,0.3244,0.3304528822918134,11,0.3304528822918134,0.0
JAKMIP2,JAKMIP2,Stim8hr,JAKMIP2-2,NANS,15,4,-1.6963484669296935,3.478318426078568e-07,0.1132,3.502112875769461e-34,0.2067,0.0026135856744758,210,0.0026135856744758,0.0
CPNE5,CPNE5,Rest,CPNE5-2,LSM14B,15,5,-1.566207777535782,3.246175660037852e-11,0.0491,1.3712944344196877e-07,0.1634,0.3969030435702826,29,0.3969030435702826,0.0
PEA15,PEA15,Rest,PEA15-1,SPN,15,1,-1.5591363082743914,1.118110395715651e-09,0.0238,0.0106222506896819,0.279,0.1768097403602933,25,0.1768097403602933,0.0
AP2B1,AP2B1,Stim48hr,AP2B1-2,MPC2,15,5,-1.361371436394564,0.0195312058441309,0.0447,1.5925633463402688e-06,-0.3156,0.4463984222735287,8,,0.0
CD2BP2,CD2BP2,Stim8hr,CD2BP2-2,ACP1,15,5,-1.280264230811232,6.061244712739576e-05,0.0004,0.9617092437766476,0.1772,0.1134580536907083,81,0.1134580536907083,0.0
SERGEF,SERGEF,Stim48hr,SERGEF-2,C15orf61,15,3,-1.271128547123229,0.0121522004416541,0.0465,6.121116063081304e-07,0.4342,0.1208350581360551,14,0.1208350581360551,0.0
SAV1,SAV1,Stim48hr,SAV1-1,MKRN2,15,4,-1.2423666049881037,0.0043823962359518,0.1137,1.9538142930337877e-34,-0.264,0.0833659336735877,44,,0.0
IL3,IL3,Rest,IL3-2,WBP1L,15,3,-1.236958766015736,0.0007328703658559,0.0553,2.823886714263963e-09,-0.0722,0.7903997301743448,16,,0.0
ELP5,ELP5,Stim8hr,ELP5-1,OXLD1,15,3,-1.1950599279138794,0.0242028021991924,0.0406,1.3237381829413863e-05,0.1361,0.2954866377037924,61,0.2954866377037924,0.0
CD2BP2,CD2BP2,Stim48hr,CD2BP2-2,ACP1,15,5,-1.0237744487468203,0.0126061613596119,0.0522,2.1266276002429163e-08,0.2204,0.4911847151216406,12,0.4911847151216406,0.0
CORO2A,CORO2A,Stim48hr,CORO2A-2,CCNE1,15,4,-0.8588260535205527,0.035603954018909,0.1753,3.923183896479367e-80,-0.1809,0.3665615206280984,27,,0.0
UBTF,UBTF,Stim8hr,UBTF-1,TPGS1,15,4,-0.7326793544303046,4.901556844888928e-05,0.0021,0.8204843771067781,,,2,,0.0
IKZF1,IKZF1,Stim8hr,IKZF1-1,PCGF5,15,2,-0.6290652687388955,0.0091629131854318,-0.0987,2.4811445817870856e-26,-0.583,0.0364972586338516,13,,0.0
TMEM131,TMEM131,Rest,TMEM131-1,RNF10,15,5,-0.6046311603923407,5.155508356661914e-05,0.1152,2.5514914305915525e-35,-0.171,0.7139481182716115,7,,0.0
SLC37A3,SLC37A3,Stim8hr,SLC37A3-2,RHOG,15,3,-0.517127709863916,0.0493001985390194,0.1648,5.936022011421815e-71,-0.2498,0.6330861361355616,6,,0.0
BEGAIN,BEGAIN,Stim8hr,BEGAIN-1,UBE3C,15,5,-0.4832311028920133,0.0891194679640975,-0.0089,0.3398669392113302,-0.0314,0.8716710680454469,29,,0.0
TMEM131,TMEM131,Stim48hr,TMEM131-1,RNF10,15,5,-0.4582179799182161,4.510285499849313e-07,0.0599,1.2204009660872558e-10,-0.7877,0.020271344344106,8,,0.0
MYL12B,MYL12B,Stim48hr,MYL12B-2,TTYH3,14,6,-5.288954196518144,0.099064302737636,-0.0078,0.4019452281453675,0.0635,0.8086718279579042,17,0.8086718279579042,0.0
CEACAM1,CEACAM1,Stim8hr,CEACAM1-1,CEP135,14,6,-4.617685389196543,2.1227920133458152e-11,0.1865,1.1101091265443522e-90,0.2207,0.1359860557363002,47,0.1359860557363002,0.0
TSC22D2,TSC22D2,Rest,TSC22D2-2,ABHD12,14,4,-4.429118986104661,4.04963134444261e-06,0.3597,0.0,0.6552,7.103354928796232e-58,461,7.103354928796232e-58,1.0
PPARA,PPARA,Rest,PPARA-1,GABBR1,14,6,-4.263755648203029,1.2648037948386236e-07,-0.0299,0.0013463043253998,0.4852,0.0567931297598905,16,0.0567931297598905,0.0
JAKMIP2,JAKMIP2,Stim8hr,JAKMIP2-2,PEA15,14,4,-4.173258121239531,2.2284723847849293e-18,-0.0009,0.9211386224495955,-0.0544,0.4326726504152748,210,,0.0
IL3,IL3,Stim8hr,IL3-2,IRS2,14,3,-4.146878915514281,0.0016412894892382,0.0852,5.0218787491853766e-20,-0.2585,0.2578904172088094,21,,0.0
PLEK2,PLEK2,Stim8hr,PLEK2-2,GAMT,14,3,-3.984374738607482,0.0525285403490293,-0.2054,5.51398056938598e-110,-0.335,1.8881676485379852e-70,2648,,0.0
MYL12B,MYL12B,Stim8hr,MYL12B-2,TTYH3,14,6,-3.959114431615964,0.0140938869843604,-0.0657,1.6472405410058385e-12,-0.1608,0.1490024314299443,82,,0.0
CLUH,CLUH,Rest,CLUH-2,ACP5,14,6,-3.931983761992748,4.32313546123678e-06,0.0556,2.4185587043342126e-09,0.9753,0.0046368489711565,5,0.0046368489711565,0.0
SYK,SYK,Rest,SYK-1,CD99L2,14,2,-3.8288807874028215,3.1992512813549334e-19,,,,,0,,0.0
RXRA,RXRA,Stim48hr,RXRA-1,ZNF445,14,3,-3.824843098225276,0.0490412815134529,0.0101,0.2801081225536808,-0.2262,0.3995160035124958,16,,0.0
ZBTB39,ZBTB39,Stim48hr,ZBTB39-1,TFDP1,14,6,-3.774077419058016,2.3051901066377763e-10,0.3036,4.49319562737101e-244,0.5691,9.929515786123152e-58,658,9.929515786123152e-58,1.0
SP100,SP100,Stim48hr,SP100-1,SP140L,14,2,-3.6616915367957343,2.850756194936309e-56,-0.1053,9.133422160131304e-30,-0.0976,0.5385968330577839,42,,0.0
UBR1,UBR1,Stim48hr,UBR1-1,MFGE8,14,4,-3.635389261311434,0.0885300994843582,0.1431,8.808367880342323e-54,0.0835,0.6183611885620299,38,0.6183611885620299,0.0
UBR1,UBR1,Rest,UBR1-1,MFGE8,14,4,-3.6246083962505287,5.99390427623696e-05,0.1907,9.957151660563394e-95,0.1245,0.4627908355799572,37,0.4627908355799572,0.0
FBXL3,FBXL3,Stim8hr,FBXL3-1,TRAM1,14,4,-3.5867958064330066,5.950464350904365e-116,-0.0369,7.499088917375696e-05,0.2426,0.0347222637761706,76,0.0347222637761706,0.0
FAM118A,FAM118A,Rest,FAM118A-2,PRNP,14,4,-3.566473193413563,4.410909399847586e-12,-0.2173,4.218569331090047e-123,-0.337,0.0513018652905074,34,,0.0
ZBTB39,ZBTB39,Rest,ZBTB39-1,TFDP1,14,6,-3.5213713017251806,2.383737416326364e-21,0.5122,0.0,0.7094,4.746776655630352e-144,936,4.746776655630352e-144,1.0
ZC3H12A,ZC3H12A,Stim48hr,ZC3H12A-1,INPPL1,14,2,-3.520552292241071,1.6028397091154636e-36,0.0162,0.0819471668112052,0.0937,0.7840695620315045,11,0.7840695620315045,0.0
SYK,SYK,Stim8hr,SYK-1,CD99L2,14,2,-3.508344739732574,1.235321165450391e-13,-0.0421,6.305812940022727e-06,-0.0484,0.2540848103746073,558,,0.0
FBXL3,FBXL3,Rest,FBXL3-1,TRAM1,14,4,-3.498309762378495,8.696897658774815e-72,-0.0037,0.6923252529469511,0.0816,0.6362719728121192,36,0.6362719728121192,0.0
FBXL3,FBXL3,Stim48hr,FBXL3-1,TRAM1,14,4,-3.40045421931698,7.832348234654553e-72,0.0533,1.0330031886850038e-08,-0.5401,0.0567434218241674,13,,0.0
ADGRG5,ADGRG5,Rest,ADGRG5-2,XPO6,14,5,-3.348328359047422,2.180652332169924e-22,0.2649,3.7931943480163847e-184,0.3916,0.0044890818172082,51,0.0044890818172082,0.0
LRRC8A,LRRC8A,Stim8hr,LRRC8A-2,ZNF264,14,5,-3.314397364977052,1.969265969644628e-48,-0.0859,2.5459649772608342e-20,-0.0941,0.8245370641749519,8,,0.0
SP100,SP100,Rest,SP100-1,SP140L,14,2,-3.271011033644813,6.245865016533345e-108,0.3527,0.0,0.4793,7.885009789669416e-70,1198,7.885009789669416e-70,0.0
ASAP1,ASAP1,Stim8hr,ASAP1-1,ALDH3A2,14,4,-3.248646894084396,4.4857902209861976e-10,-0.1039,5.202269555635312e-29,0.9137,0.2664389361329579,3,0.2664389361329579,0.0
NUDT19,NUDT19,Rest,NUDT19-1,GIPC1,14,5,-3.232257986867244,2.351647009187278e-10,-0.0644,4.731768918950552e-12,0.2163,0.4211460135953082,16,0.4211460135953082,0.0
FAM118A,FAM118A,Stim48hr,FAM118A-2,PRNP,14,4,-3.224611210285305,4.299360004919047e-08,-0.1537,7.683528312910714e-62,-0.2941,0.0002850695535835,148,,0.0
LRRC8A,LRRC8A,Rest,LRRC8A-2,ZNF264,14,5,-3.2195239098288626,3.684675486867594e-59,-0.1096,4.146140335841471e-32,-0.2194,0.6762092884065543,6,,0.0
MAP3K13,MAP3K13,Stim8hr,MAP3K13-1,ACAD11,14,6,-3.211867179652369,1.2185560042001736e-08,0.3515,0.0,0.7031,1.5871641580737301e-65,431,1.5871641580737301e-65,1.0
SP100,SP100,Stim8hr,SP100-1,SP140L,14,2,-3.2091770746646424,1.2391720261602061e-44,0.0088,0.3424095050341879,-0.1252,0.4017405512996125,47,,0.0
TENT5C,TENT5C,Stim8hr,TENT5C-1,L3MBTL2,14,5,-3.179575692183311,4.652190204197405e-40,0.3676,0.0,0.6828,1.1263995966020155e-55,396,1.1263995966020155e-55,1.0
ZBTB39,ZBTB39,Stim8hr,ZBTB39-1,TFDP1,14,6,-3.171846740284445,1.6450428964219438e-26,0.4608,0.0,0.6098,1.8688851937295258e-142,1391,1.8688851937295258e-142,1.0
GNB1,GNB1,Stim8hr,GNB1-2,ARMCX3,14,5,-3.169303457436783,3.2322847470815024e-12,-0.0315,0.0007119792453689,0.2172,0.3443598939340185,21,0.3443598939340185,0.0
PPARA,PPARA,Stim48hr,PPARA-1,GABBR1,14,6,-3.159684082568501,0.0273379465339324,-0.0092,0.3233153498863694,-0.6329,0.0151183244999632,14,,0.0
IL3,IL3,Rest,IL3-2,IRS2,14,3,-3.139618133868189,6.622440240148492e-06,0.0784,3.7475753805210083e-17,0.1049,0.6989595444982885,16,0.6989595444982885,0.0
TENT5C,TENT5C,Stim48hr,TENT5C-1,L3MBTL2,14,5,-3.1339775399297403,2.197347931042092e-10,0.4137,0.0,0.7451,1.852445784437836e-95,533,1.852445784437836e-95,1.0
KLHL28,KLHL28,Rest,KLHL28-2,MMD,14,6,-3.106160133099185,0.0666180672417317,-0.0166,0.0755588634843649,0.696,0.0082313015512669,13,0.0082313015512669,0.0
TENT5C,TENT5C,Rest,TENT5C-1,L3MBTL2,14,5,-3.083802239675231,6.193411267214496e-17,0.2664,2.505146657697601e-186,0.6057,6.414258574389195e-39,375,6.414258574389195e-39,1.0
NUDT19,NUDT19,Stim8hr,NUDT19-1,GIPC1,14,5,-3.0771896219346178,5.496147571655129e-05,-0.0353,0.0001505805636815,0.0068,0.984163453867598,11,0.984163453867598,0.0
SH3YL1,SH3YL1,Rest,SH3YL1-2,NETO2,14,5,-3.0760192194866818,0.0047403719812895,0.0391,2.6583079028427045e-05,0.0261,0.9131745092472272,20,0.9131745092472272,0.0
SSH1,SSH1,Stim8hr,SSH1-1,DEF6,14,5,-3.063478116402325,0.0001158827995728,0.1697,3.6372191944838253e-75,0.1883,0.0072825983375673,202,0.0072825983375673,0.0
RXRA,RXRA,Rest,RXRA-1,ZNF445,14,3,-3.006445897739687,0.0446711260657681,0.0818,1.504843516989872e-18,0.5028,0.114968939812462,11,0.114968939812462,0.0
RHEB,RHEB,Stim8hr,RHEB-2,SUSD3,14,4,-2.973632954668865,9.738310813088264e-08,0.0397,2.00323321160159e-05,0.275,0.0034921055338375,111,0.0034921055338375,0.0
GIGYF1,GIGYF1,Stim48hr,GIGYF1-1,NKG7,14,5,-2.9728031683343192,9.298136993026508e-18,0.0884,2.036622367492736e-21,0.2193,0.2056503485756059,35,0.2056503485756059,0.0
JAKMIP2,JAKMIP2,Stim8hr,JAKMIP2-2,ZHX3,14,5,-2.956607214724811,0.0079495904678848,0.0893,7.724591207926929e-22,0.2282,0.0008386179952145,211,0.0008386179952145,0.0
ADGRG5,ADGRG5,Stim8hr,ADGRG5-2,XPO6,14,5,-2.948094502797718,7.1757654176670006e-37,0.2284,3.456619597048128e-136,0.5118,2.9494226965718125e-07,89,2.9494226965718125e-07,1.0
BCAT2,BCAT2,Stim8hr,BCAT2-1,CA11,14,5,-2.922263455101012,0.0660117038107302,0.0026,0.7766306124566817,0.0172,0.2570715776504079,4336,0.2570715776504079,0.0
GNB1,GNB1,Stim48hr,GNB1-2,ARMCX3,14,5,-2.8967727549092634,5.011041503602527e-12,-0.0291,0.0017624702521029,0.129,0.6745323382569138,13,0.6745323382569138,0.0
SAV1,SAV1,Stim48hr,SAV1-1,NCKAP1,14,5,-2.892662846850905,0.0405685370674572,0.0009,0.9267176882409964,-0.7091,0.1145900408731748,6,,0.0
SENP5,SENP5,Rest,SENP5-1,TTLL4,14,4,-2.853569157827083,7.388856731219568e-08,0.0971,1.5597430988163902e-25,-0.5132,0.1576292463200889,9,,0.0
PLEK2,PLEK2,Stim8hr,PLEK2-2,PLCB2,14,5,-2.83515458032882,4.466751859889175e-05,-0.1049,1.6144475049820678e-29,-0.1697,1.4463358001032008e-18,2649,,0.0
RHEB,RHEB,Stim48hr,RHEB-2,SUSD3,14,4,-2.817331641277513,1.870587338360603e-32,0.118,5.420136389506697e-37,0.079,0.9496704147701164,3,0.9496704147701164,0.0
SYK,SYK,Stim48hr,SYK-1,CD99L2,14,2,-2.7203687469037923,2.2206049042010545e-13,-0.0268,0.0040384650168798,-0.0912,0.1213251120877957,290,,0.0
SRM,SRM,Stim48hr,SRM-1,SORL1,14,6,-2.6746178245303494,0.0172644051543072,0.0559,1.947004260275669e-09,0.0137,0.9428302428619406,30,0.9428302428619406,0.0
IL3,IL3,Stim48hr,IL3-2,IRS2,14,3,-2.664054126762306,0.0625194377614351,0.0229,0.0138293325586825,-0.1539,0.5553946079702857,17,,0.0
FNDC10,FNDC10,Stim48hr,FNDC10-1,CTDSP2,14,3,-2.652696577869129,1.5809808101072255e-20,-0.1576,6.202796669344009e-65,-0.5934,9.230299007281844e-13,120,,0.0
LRRC8A,LRRC8A,Stim48hr,LRRC8A-2,ZNF264,14,5,-2.6338359308510624,1.974672241818608e-37,0.0458,8.587977643926216e-07,-0.2532,0.0700693952248559,52,,0.0
TNIP2,TNIP2,Stim8hr,TNIP2-2,CHURC1,14,4,-2.602875416516393,2.113887233714068e-139,-0.0456,9.79711687159153e-07,-0.0418,0.627536866784676,137,,0.0
RHEB,RHEB,Rest,RHEB-2,SUSD3,14,4,-2.528639094262912,1.8415367680451806e-30,-0.1562,8.893953642124579e-64,,,1,,0.0
NUDT19,NUDT19,Stim48hr,NUDT19-1,GIPC1,14,5,-2.4703466360056443,7.121090096505707e-08,-0.0164,0.078215940516196,0.196,0.8040024865269537,4,0.8040024865269537,0.0
PLEK2,PLEK2,Stim48hr,PLEK2-2,PLCB2,14,5,-2.468594582865709,7.102534339828763e-07,-0.029,0.0018592751038267,-0.0857,0.158836398771067,272,,0.0
