index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,neighboring_gene_KD,n_total_genes_category,distal_offtarget_flag,low_target_gex,n_guides,single_guide_estimate,n_downstream,guide_correlation_signif,guide_correlation_signif_pval,guide_correlation_all,guide_correlation_all_pval,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_all_min,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000161929_Stim48hr,SCIMP,Stim48hr,ENSG00000161929,432,944.0,0,0,0,0.0,False,,False,no effect,False,True,2.0,False,0,,,0.0186261257269525,0.0456139271925403,0.0,,,,
ENSG00000161929_Stim8hr,SCIMP,Stim8hr,ENSG00000161929,385,987.0,1,0,1,0.0,False,,False,1 DE gene,False,True,2.0,False,1,,,-0.0108125522514368,0.2459136129862679,0.0,,,,
ENSG00000151466_Rest,SCLT1,Rest,ENSG00000151466,17,1007.0,1,2,3,-19.504796507469525,True,46.48208696042175,True,2-10 DE genes,False,False,2.0,False,2,-1.0,1.0,0.110649620104433,1.0443622091070812e-32,2.0,,,,
ENSG00000151466_Stim48hr,SCLT1,Stim48hr,ENSG00000151466,588,923.0,0,2,2,-24.387569668662984,True,85.27705933505445,True,2-10 DE genes,False,False,2.0,False,1,1.0,1.0,0.0641772368519318,5.425052173649242e-12,2.0,,,,
ENSG00000151466_Stim8hr,SCLT1,Stim8hr,ENSG00000151466,582,1018.0,0,2,2,-17.4070117427468,True,35.817769023338386,True,2-10 DE genes,False,False,2.0,False,1,1.0,1.0,0.0907589675421664,1.6795115277843304e-22,2.0,,,,
ENSG00000132330_Rest,SCLY,Rest,ENSG00000132330,56,519.0,3,2,5,-9.430892591763582,True,16.786831918754036,False,2-10 DE genes,False,False,2.0,False,4,,,,,,,,,
ENSG00000132330_Stim48hr,SCLY,Stim48hr,ENSG00000132330,255,487.0,1,2,3,-11.837825247224634,True,40.92385328864573,False,2-10 DE genes,False,False,2.0,False,2,,,,,,,,,
ENSG00000132330_Stim8hr,SCLY,Stim8hr,ENSG00000132330,533,488.0,0,2,2,-19.178754840990948,True,109.7920110364012,False,2-10 DE genes,False,False,2.0,False,1,,,,,,,,,
ENSG00000010803_Rest,SCMH1,Rest,ENSG00000010803,349,652.0,0,0,0,-3.579834568512941,False,11.702928091935238,False,no effect,False,False,2.0,False,0,,,0.101555152889295,8.641868681797711e-28,1.0,,,,
ENSG00000010803_Stim48hr,SCMH1,Stim48hr,ENSG00000010803,147,642.0,0,1,1,-6.8061617695746754,True,18.232185408967087,False,1 DE gene,False,False,2.0,False,0,,,0.0891633556076149,9.046781148934657e-22,1.0,,,,
