ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000238009,0.02114784479008666,0.034224525472288214,0.03674318063735858,0.9314524458312808,0.351619572488975,
ENSG00000239945,0.0,,,,,
ENSG00000241860,0.01510542772311185,0.03011538819800501,0.029650408030417012,1.0156820832654645,0.30978080264446173,
ENSG00000237491,0.3863796342574811,0.0008518196088446124,0.0056407712982590045,0.15101119400240925,0.8799668856294771,0.9451478256925738
ENSG00000177757,0.002842374244206153,0.04257961195378171,0.16978639524831457,0.25078341460461856,0.8019815651208264,
ENSG00000225880,0.0966981433853429,0.014161751811811818,0.00876207639599015,1.6162552312706107,0.1060391418070211,0.37895432523411854
ENSG00000230699,0.0022944687669884957,0.040767349376325805,0.15103512328486401,0.26991966166330333,0.7872220605909868,
ENSG00000187634,0.0009367056411290728,0.04295564471281519,0.20151497490359055,0.21316353652311035,0.8311994082653547,
ENSG00000187642,0.0005422672396453282,0.04238543475253298,0.2480237363533483,0.17089265477457508,0.8643081723447732,
ENSG00000272512,0.0007635832016663539,0.04213443809600226,0.25572486314645687,0.16476473025570193,0.8691291657462249,
ENSG00000188290,0.30458691181536096,0.013483832039291021,0.009030807254726797,1.4930926614820037,0.1354129332335533,0.41237288983859005
ENSG00000187608,5.724932932456843,0.00943181896704272,0.0028837122695616183,3.2707212389384965,0.001072735961002053,0.041545198141851244
ENSG00000273443,0.00015853466989033664,0.042747930033228285,0.25572661564660276,0.167162615925372,0.8672420986514305,
ENSG00000237330,7.030508109789717e-05,0.04310706875478672,0.25572751898111495,0.16856640586252317,0.8661377066069771,
ENSG00000223823,0.00019464572987627982,0.04323921038724274,0.2557279327313569,0.16908286054408334,0.8657314661261872,
ENSG00000272141,0.0006738324259866664,0.04257906983609252,0.2557253615594821,0.16650311715832128,0.8677610302758821,
ENSG00000186891,4.358906839292183,0.0024501413296013942,0.0037240899746944075,0.6579167920889045,0.510591599855321,0.7187123771375528
ENSG00000186827,1.007077985863459,0.004956366047952982,0.005046402559888255,0.9821582779283334,0.32602187842066765,0.5901056183507547
ENSG00000176022,0.31762348736627866,0.010036186419471002,0.006558332693661582,1.5302954101689068,0.12594362387807187,0.4022265931921851
ENSG00000184163,0.03297539789091812,0.018952598712894505,0.01421586893558159,1.3332001581315316,0.18246612747985147,
ENSG00000230415,0.018550221775220508,0.03796962015608605,0.05820758709440852,0.6523139345134176,0.5141986726384915,
ENSG00000162572,0.019734211168695344,0.03248600499476526,0.019708827999694655,1.6482971486314943,0.09929170957819468,
ENSG00000240731,7.682516519519557e-05,0.043111007532889434,0.25572656592959164,0.16858243638542836,0.8661250965512894,
ENSG00000169962,0.004959777764207178,0.036738090325749186,0.05560614002997079,0.6606840594572463,0.5088149486182121,
ENSG00000107404,0.0993432608104995,0.01673222727181632,0.009005857643042764,1.8579271330967968,0.06317936267641612,0.32128332747547195
ENSG00000272455,0.010573257588918809,0.03762440285809775,0.040633715743895016,0.925940494717139,0.35447690519956965,
ENSG00000215915,0.12841454693673038,0.015952167299451068,0.008343498184074752,1.911927940476933,0.05588543734437222,0.3051010491284133
ENSG00000205090,0.005869629535207919,0.04014656822551875,0.04485002695500681,0.8951291883457164,0.3707180325328564,
ENSG00000215014,0.34476168024180315,0.009552537297761442,0.005708627014849801,1.6733511005207575,0.09425819823009178,0.36745670571915634
ENSG00000228594,0.07830271496334837,0.022433110610959237,0.014173850122640684,1.5827111488307313,0.11348731602983277,0.3888031798214367
ENSG00000197530,5.0467929772835625,0.0038572545373123184,0.0018156881642456043,2.124403635640242,0.03363640625552579,0.24710621750193482
ENSG00000272004,0.02518312610194415,0.024924022092295894,0.020926612555196327,1.1910203826135712,0.23364558330660912,
ENSG00000189339,1.0054688605996602,0.0059712561484050785,0.003266301682052834,1.8281398136660207,0.06752857102035902,0.32970788647162086
ENSG00000169885,0.0016757848806446668,0.041645601853279104,0.0934330462972119,0.44572668347774763,0.6557946873853402,
ENSG00000142609,0.012443188868021432,0.03488361786924096,0.03925421787257789,0.8886590985579124,0.37418631912671396,
ENSG00000187730,0.011627145488687289,0.031835178582599356,0.027860007323560036,1.1426837837073245,0.2531699050459677,
ENSG00000226969,0.00011966883897246877,0.043047191621711445,0.2557278521943482,0.16833204225637657,0.8663220674344796,
ENSG00000271806,0.06884250458880947,0.024905124627865746,0.009532561907868374,2.6126370716049103,0.008984665553530008,0.1382117358337762
ENSG00000116151,0.11308435554382328,0.007678866063329388,0.009899835415311664,0.7756559317595124,0.43795216624298927,0.6708613793309419
ENSG00000272420,0.02449791999758066,0.032066872207157336,0.022990761007054248,1.3947721085577927,0.1630845722225961,
ENSG00000224387,0.0011881598232312202,0.04032180273910251,0.11980226051107576,0.33656963205109763,0.736441351962579,
ENSG00000272449,1.3798278436311004,0.007702798733630959,0.0028023829493070223,2.7486602912481035,0.00598393685209485,0.11266557372977866
ENSG00000142611,0.09911853987019931,0.044326072517840494,0.029042361939012527,1.5262557711705054,0.12694617888268453,0.4031276607477763
ENSG00000238260,0.01995887629792343,0.02757528697504789,0.02565915896338024,1.0746761814914618,0.2825197311788059,
ENSG00000162592,0.0004852984988542215,0.04322102703787376,0.25572495422707553,0.16901372479861654,0.8657858458783717,
ENSG00000235169,0.062567721401768,0.020680859210455867,0.01017257553104613,2.0330012932653134,0.04205239234362319,
ENSG00000198912,1.6330202818428696,0.0023120080527274083,0.0028410383705821866,0.8137898018792441,0.4157653783200417,0.6581018873425167
ENSG00000287586,0.0007683286774923645,0.039686747381540516,0.16291779348353488,0.2435998335906226,0.8075407571892081,
