ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000230699,0.015122898833022641,0.04962519571286288,0.2952556812807405,0.1680753288051969,0.8665240179897736,
ENSG00000241180,0.0,,,,,
ENSG00000188290,0.38549173995847874,-0.02767690646989239,0.03806456742305467,-0.7271041901589888,0.4671621320864089,0.6577151070163915
ENSG00000187608,24.49110199843156,-0.021585354475229565,0.010950049541366606,-1.9712563302737016,0.04869456366099878,0.14205346906363422
ENSG00000285812,0.018730383170618932,0.03776427775902568,0.23970235104722296,0.15754654718253416,0.8748141265482059,
ENSG00000223823,0.0011001982094653257,0.045056015238259826,1.3784204272750549,0.03268670018720579,0.9739244299380613,
ENSG00000186891,3.0201851062777787,-0.03123696090674193,0.021317564334737582,-1.465315662532816,0.14283481523903968,0.3005148219495526
ENSG00000186827,7.490461243812706,0.004079528293269452,0.013210307995924637,0.3088140181537009,0.7574630050638718,0.8618854851757646
ENSG00000184163,0.12006296417280869,0.019404102225041266,0.05542466758267923,0.35009866673706935,0.7262646514461273,
ENSG00000230415,0.039331652703616105,0.053550949604035156,0.10577952246590361,0.5062506273016734,0.6126807182545513,
ENSG00000240731,0.0017045088018113163,0.04784569365139739,1.3784238982206853,0.03471043538432421,0.9723106397093677,
ENSG00000169962,0.026244280541803004,0.05277990740326261,0.14656664034868894,0.36010859823010694,0.7187659230917405,
ENSG00000272455,0.07928885760633629,0.05168500658491003,0.06955062444383586,0.7431278582789312,0.45740427483348656,
ENSG00000179403,0.0013054489049843308,0.04543418021759908,1.3784232291826166,0.03296097980338074,0.9737057043273759,
ENSG00000178821,0.061050499355429194,0.0634796107076856,0.08841776507452447,0.7179508626369451,0.47278758488521755,
ENSG00000142609,0.04651583844827423,0.07463950481883469,0.09360918185510299,0.7973523893667681,0.4252464019438992,
ENSG00000187730,0.08705547632927933,0.012527242628889643,0.06512657472424047,0.1923522414917813,0.8474662995408326,
ENSG00000271806,0.5091607760371709,0.02076876243303146,0.03171668395237634,0.6548213698574684,0.5125827701535645,0.6916347449005498
ENSG00000234396,0.0037763452729999755,0.040437524295963104,0.7513311452113266,0.05382117399723828,0.9570776395575338,
ENSG00000272420,0.09974966261994092,-0.018731603950823874,0.06032823704127367,-0.31049480093390786,0.756184712516897,
ENSG00000149527,0.564595093476956,0.04339542752597939,0.03167514260012841,1.370015222150996,0.17068214995609454,0.342049311885257
ENSG00000224387,0.017330571535751654,0.026212777675070045,0.48421677454673134,0.05413438578125977,0.9568280965111472,
ENSG00000238164,1.4634564638858623,-0.03268129682442608,0.021932250449270906,-1.4901022993521627,0.13619733971298045,0.2911076219849798
ENSG00000237058,0.00016921957741965015,0.04597783578881019,1.3784314541107228,0.03335518472949545,0.9733913471638943,
ENSG00000169717,0.0,,,,,
ENSG00000142611,0.002388383155204163,0.047666074126468894,1.0177522559284728,0.04683465337346188,0.9626450099286052,
ENSG00000238260,0.12330456001972785,0.04533842741226713,0.05868522267008636,0.7725697432750391,0.43977705672442646,
ENSG00000227589,0.0033208629031547974,0.04577901563298536,1.378425931185109,0.03321108127560152,0.9735062614180789,
ENSG00000162592,0.004108626434947009,0.046732311683563475,0.9403367929889823,0.04969741908643048,0.9603635131906317,
ENSG00000236423,0.019674015355415457,0.02539580781855369,0.18903072024124537,0.13434751656314364,0.8931277809997252,
ENSG00000284668,0.0003435188011159098,0.04939054955008263,1.378429725511234,0.03583102470585839,0.9714170948061595,
ENSG00000196581,0.021223313427653427,0.010839762043782371,0.16709276398169914,0.06487271971256396,0.9482753413429822,
ENSG00000287586,0.023351781567009067,0.053341725002101104,0.19546100882284662,0.2729021267379554,0.784928451653898,
ENSG00000231510,0.0,,,,,
ENSG00000116254,0.01874902408754716,0.0466292192929616,0.2468268296040223,0.1889147114508079,0.8501596631204569,
ENSG00000162408,4.435400495025175,-0.01123866469455525,0.011822016755438109,-0.9506554530457322,0.3417793087456582,0.54291716769743
ENSG00000173662,0.0014717013911536353,0.0446974214250624,1.3784192890429676,0.032426578603739424,0.9741318669688595,
ENSG00000228750,0.01511247813336751,0.045545963059924796,0.21966437867975516,0.20734341787079394,0.8357416682607514,
ENSG00000284744,0.017273307680382256,0.049668732473996065,0.193530765871557,0.2566451501926073,0.7974527172478754,
ENSG00000237436,0.09510621518963759,0.07067541140492048,0.06715926404207806,1.052355358757943,0.2926365419078769,
ENSG00000049246,0.5063829101332147,-0.06731474100057966,0.031377885034590824,-2.1452924862963907,0.031929468875853274,0.10431918075469619
ENSG00000236266,0.09988182855653745,0.036884369597851636,0.10086160115716739,0.36569288187658894,0.7145942582196784,
ENSG00000049249,0.08006247641971972,0.08987332521286717,0.09202789636276676,0.976587847434799,0.3287732378719602,
ENSG00000284747,0.17928805073709003,0.045439149998993435,0.04903497980814356,0.9266680679135726,0.35409890170477276,
ENSG00000284716,0.07077059636559671,0.042255605462167056,0.07482970089752763,0.5646902894885576,0.5722844402315089,
ENSG00000116285,0.11527905645588601,0.06847488228667477,0.07100813791830539,0.9643244322989412,0.3348832953097679,
ENSG00000238290,0.008459732174635486,0.0524842684075151,0.4737494406030877,0.1107848662379466,0.9117869464646663,
ENSG00000131686,0.5915254568839615,0.14564928201224298,0.03537492500892065,4.117302919384676,3.833320872808914e-05,0.0004668548510136385
ENSG00000180758,0.4919588322684102,0.0824415244847673,0.031128752162812762,2.648404409324642,0.008087271680237266,0.038096644581746615
ENSG00000228526,0.02331696906154009,0.05818159107563407,0.18233637932825514,0.3190893188182231,0.7496587829931434,
