ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000230699,0.015122898833022641,-0.022268615051481512,0.03869284204749216,-0.5755228583144316,0.5649377358984848,
ENSG00000241180,0.0,,,,,
ENSG00000188290,0.38549173995847874,-0.010565244439843954,0.00518021996683788,-2.0395358705767874,0.04139657499397381,0.12811587072691896
ENSG00000187608,24.49110199843156,-0.004902628760243079,0.0014564512430056903,-3.3661468475425815,0.0007622611728012488,0.018387226826839877
ENSG00000285812,0.018730383170618932,-0.02182930845143665,0.03143584449515244,-0.6944082082732926,0.487426247561236,
ENSG00000223823,0.0011001982094653257,-0.023599208929087886,0.18044004503414401,-0.130786982039504,0.8959438213617609,
ENSG00000186891,3.0201851062777787,-0.0166911385388121,0.0028006934601666872,-5.959644915162797,2.5278660741498377e-09,9.091125626669779e-07
ENSG00000186827,7.490461243812706,-0.005707931392189209,0.0017581497587066434,-3.2465558544842983,0.0011681052468939036,0.023997442146094734
ENSG00000184163,0.12006296417280869,-0.017471526945611632,0.007268166598512268,-2.4038423870454353,0.016223766445483127,0.08512223726930165
ENSG00000230415,0.039331652703616105,-0.015774542127527727,0.013949512721126487,-1.1308310507246062,0.25812620813314535,
ENSG00000240731,0.0017045088018113163,-0.023318972035493716,0.18044090832052656,-0.1292332889062552,0.8971730563244313,
ENSG00000169962,0.026244280541803004,-0.023191366823662157,0.01922313409156393,-1.2064300604259783,0.22765171118989613,
ENSG00000272455,0.07928885760633629,-0.01964882029008919,0.009174126315947327,-2.141764742865353,0.03221241789624253,
ENSG00000179403,0.0013054489049843308,-0.0239196931369621,0.18044023966471145,-0.13256296478772664,0.894539023671691,
ENSG00000178821,0.061050499355429194,-0.019708681670975087,0.011651348412718853,-1.6915365477750783,0.09073437362959696,
ENSG00000142609,0.04651583844827423,-0.01662977825197439,0.012395261342833731,-1.3416238506006835,0.17971798887351698,
ENSG00000187730,0.08705547632927933,-0.017597728243398135,0.008698973963636844,-2.022965963222739,0.04307665683061748,0.13075008828850762
ENSG00000271806,0.5091607760371709,-0.008960647542434353,0.004401375564051188,-2.0358743333837763,0.04176297575258696,0.12852368888175517
ENSG00000234396,0.0037763452729999755,-0.02394467681734313,0.09837047787315852,-0.24341324079179552,0.807685287554418,
ENSG00000272420,0.09974966261994092,-0.01894898207074978,0.008039211641178646,-2.357069687491351,0.018419789784138135,0.09063269699757522
ENSG00000149527,0.564595093476956,-0.008785125726090571,0.004273209096861671,-2.05586142099682,0.03979587564784646,0.1246116708720707
ENSG00000224387,0.017330571535751654,-0.024746845332540835,0.06340861064467565,-0.39027578559030923,0.6963326267620417,
ENSG00000238164,1.4634564638858623,-0.00233920022775673,0.003024783191755241,-0.7733447587690818,0.43931837332851964,0.5615326283966474
ENSG00000237058,0.00016921957741965015,-0.02397548881258124,0.18044127603841112,-0.13287142132312066,0.894295068945402,
ENSG00000169717,0.0,,,,,
ENSG00000142611,0.002388383155204163,-0.023827314139232215,0.1332381534336691,-0.1788325155008572,0.8580692131457281,
ENSG00000238260,0.12330456001972785,-0.013041728193838448,0.00792985018518676,-1.6446374003636104,0.10004460926728316,0.20813669830077663
ENSG00000227589,0.0033208629031547974,-0.02359076279777172,0.18044109626699942,-0.13073941184032917,0.8959814537714088,
ENSG00000162592,0.004108626434947009,-0.022597601556417178,0.12310870435950275,-0.1835581137335954,0.8543601250895284,
ENSG00000236423,0.019674015355415457,-0.02256608354406803,0.02479013861341553,-0.9102846860184992,0.3626723926337869,
ENSG00000284668,0.0003435188011159098,-0.023571652850303267,0.18044157778248646,-0.13063315639324408,0.8960655124632825,
ENSG00000196581,0.021223313427653427,-0.0234891087447155,0.02193094549072858,-1.0710486127762089,0.2841475720487038,
ENSG00000287586,0.023351781567009067,-0.025106248787568498,0.025615919922950155,-0.9801033444469419,0.3270351084580079,
ENSG00000231510,0.0,,,,,
ENSG00000116254,0.01874902408754716,-0.024793359347539692,0.03234654459734927,-0.7664917429718738,0.44338376305357263,
ENSG00000162408,4.435400495025175,-0.0015783588927060367,0.0016280215465720178,-0.9694950880898651,0.3322982297775686,0.46109147562261016
ENSG00000173662,0.0014717013911536353,-0.023932949947729314,0.18043949788723038,-0.13263697930863638,0.8944804855278456,
ENSG00000228750,0.01511247813336751,-0.022349181897251914,0.028819997548594992,-0.7754748021601223,0.4380591493155278,
ENSG00000284744,0.017273307680382256,-0.02369713693667789,0.025374584627947016,-0.9338926049090228,0.35035929386298204,
ENSG00000237436,0.09510621518963759,-0.016315611860586894,0.008995271142550006,-1.813798784053295,0.06970870979323274,0.16897690102686735
ENSG00000049246,0.5063829101332147,-0.013386764055394707,0.004218293929638066,-3.173501960434347,0.001506118846643406,0.02794929622515903
ENSG00000236266,0.09988182855653745,-0.02161385694481634,0.013277201921754576,-1.627892463501834,0.10354768973678391,0.21213602309617666
ENSG00000049249,0.08006247641971972,-0.025558014539112536,0.01202054068868087,-2.126195085648619,0.033487019134711964,
ENSG00000284747,0.17928805073709003,-0.01785148103100827,0.006629596313063139,-2.6926950281773903,0.007087706860688231,0.061896177352941804
ENSG00000284716,0.07077059636559671,-0.020004478167363837,0.009951757867060127,-2.0101451858648773,0.044415824853125466,
ENSG00000116285,0.11527905645588601,-0.016679552947612638,0.009348661462529792,-1.7841648255705551,0.07439688606861103,0.17455270906959355
ENSG00000238290,0.008459732174635486,-0.023664905063461087,0.06204135277620524,-0.38143760579858443,0.70287856101345,
