,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
8,split2_seed3214,donor_comb_8,0.09300297493369598,KLF2,10,34.0,2
9,split2_seed3214,donor_comb_9,0.2636401603168026,KLF2,10,69.0,2
10,split2_seed3214,donor_comb_10,0.21920903067203637,KLF2,10,102.0,3
11,split2_seed3214,donor_comb_11,0.30271755519377286,KLF2,10,70.0,3
12,split2_seed3214,donor_comb_12,0.08443596998700563,KLF2,10,49.0,3
13,split2_seed3214,donor_comb_13,0.2900798665111857,KLF2,10,88.0,3
14,split2_seed3214,donor_comb_14,0.2646807825522877,KLF2,10,103.0,4
0,split2_seed3214,donor_comb_0,0.24762519772163202,MED12,10,18.0,1
1,split2_seed3214,donor_comb_1,0.22633591616391097,MED12,10,12.0,1
2,split2_seed3214,donor_comb_2,0.15410774173777578,MED12,10,2.0,1
3,split2_seed3214,donor_comb_3,0.19145262707584526,MED12,10,10.0,1
4,split2_seed3214,donor_comb_4,0.29571964570755993,MED12,10,30.0,2
5,split2_seed3214,donor_comb_5,0.27805016950937655,MED12,10,14.0,2
6,split2_seed3214,donor_comb_6,0.2730193300355689,MED12,10,28.0,2
7,split2_seed3214,donor_comb_7,0.2094340410655363,MED12,10,12.0,2
8,split2_seed3214,donor_comb_8,0.26586302334661405,MED12,10,22.0,2
9,split2_seed3214,donor_comb_9,0.26888835233303515,MED12,10,20.0,2
10,split2_seed3214,donor_comb_10,0.32509676711152696,MED12,10,32.0,3
11,split2_seed3214,donor_comb_11,0.28423900164004584,MED12,10,30.0,3
12,split2_seed3214,donor_comb_12,0.31773102851436413,MED12,10,40.0,3
13,split2_seed3214,donor_comb_13,0.2832087072005767,MED12,10,24.0,3
14,split2_seed3214,donor_comb_14,0.33161992854617933,MED12,10,42.0,4
0,split2_seed3214,donor_comb_0,0.39501034434448096,MYB,10,121.0,1
1,split2_seed3214,donor_comb_1,0.09454378596974357,MYB,10,42.0,1
2,split2_seed3214,donor_comb_2,0.050877267425849096,MYB,10,61.0,1
3,split2_seed3214,donor_comb_3,0.119486989587015,MYB,10,38.0,1
4,split2_seed3214,donor_comb_4,0.37500223345079114,MYB,10,163.0,2
5,split2_seed3214,donor_comb_5,0.10080830013929189,MYB,10,103.0,2
6,split2_seed3214,donor_comb_6,0.3747948272992222,MYB,10,159.0,2
7,split2_seed3214,donor_comb_7,0.11411828800896452,MYB,10,99.0,2
8,split2_seed3214,donor_comb_8,0.14483984513427028,MYB,10,80.0,2
9,split2_seed3214,donor_comb_9,0.35519556391254836,MYB,10,182.0,2
10,split2_seed3214,donor_comb_10,0.3502434917430183,MYB,10,224.0,3
11,split2_seed3214,donor_comb_11,0.3540466154583646,MYB,10,220.0,3
12,split2_seed3214,donor_comb_12,0.3736641671916213,MYB,10,201.0,3
13,split2_seed3214,donor_comb_13,0.14496440351178527,MYB,10,141.0,3
14,split2_seed3214,donor_comb_14,0.3562363840033985,MYB,10,262.0,4
0,split2_seed3214,donor_comb_0,0.2428940449063502,PTEN,10,58.0,1
1,split2_seed3214,donor_comb_1,0.35802872471074215,PTEN,10,164.0,1
2,split2_seed3214,donor_comb_2,0.32261824977356357,PTEN,10,51.0,1
3,split2_seed3214,donor_comb_3,0.272645254562118,PTEN,10,67.0,1
4,split2_seed3214,donor_comb_4,0.37872409490200587,PTEN,10,222.0,2
5,split2_seed3214,donor_comb_5,0.4349037660402417,PTEN,10,215.0,2
6,split2_seed3214,donor_comb_6,0.3291129929011699,PTEN,10,125.0,2
7,split2_seed3214,donor_comb_7,0.37056817322934427,PTEN,10,118.0,2
8,split2_seed3214,donor_comb_8,0.4044961615131171,PTEN,10,231.0,2
9,split2_seed3214,donor_comb_9,0.3560901300472109,PTEN,10,109.0,2
10,split2_seed3214,donor_comb_10,0.44033900564421574,PTEN,10,273.0,3
11,split2_seed3214,donor_comb_11,0.39784026014740714,PTEN,10,176.0,3
12,split2_seed3214,donor_comb_12,0.4143601440473959,PTEN,10,289.0,3
13,split2_seed3214,donor_comb_13,0.4516316841820171,PTEN,10,282.0,3
14,split2_seed3214,donor_comb_14,0.4556009354317074,PTEN,10,340.0,4
0,split2_seed3214,donor_comb_0,0.017961832917296538,STAT5B,10,5.0,1
1,split2_seed3214,donor_comb_1,-0.009661987054394312,STAT5B,10,2.0,1
2,split2_seed3214,donor_comb_2,0.18252392693079228,STAT5B,10,17.0,1
3,split2_seed3214,donor_comb_3,0.061230821130531146,STAT5B,10,2.0,1
4,split2_seed3214,donor_comb_4,0.01977685839635254,STAT5B,10,7.0,2
5,split2_seed3214,donor_comb_5,0.14348290172396203,STAT5B,10,19.0,2
6,split2_seed3214,donor_comb_6,0.06359529368227856,STAT5B,10,7.0,2
7,split2_seed3214,donor_comb_7,0.1864135916140262,STAT5B,10,19.0,2
8,split2_seed3214,donor_comb_8,0.03845201438662453,STAT5B,10,4.0,2
9,split2_seed3214,donor_comb_9,0.16606400188519355,STAT5B,10,22.0,2
10,split2_seed3214,donor_comb_10,0.1436845184542527,STAT5B,10,24.0,3
11,split2_seed3214,donor_comb_11,0.17477199754598205,STAT5B,10,24.0,3
12,split2_seed3214,donor_comb_12,0.054014001482373605,STAT5B,10,9.0,3
13,split2_seed3214,donor_comb_13,0.15253773806799076,STAT5B,10,21.0,3
14,split2_seed3214,donor_comb_14,0.15180202920099478,STAT5B,10,26.0,4
0,split5_seed3214,donor_comb_0,0.4352162794245077,FOXK1,50,42.0,1
1,split5_seed3214,donor_comb_1,0.6360285815223536,FOXK1,50,81.0,1
2,split5_seed3214,donor_comb_2,0.5429426861178891,FOXK1,50,69.0,1
3,split5_seed3214,donor_comb_3,0.04194569818447708,FOXK1,50,11.0,1
4,split5_seed3214,donor_comb_4,0.631140666810156,FOXK1,50,123.0,2
5,split5_seed3214,donor_comb_5,0.702280268894412,FOXK1,50,150.0,2
6,split5_seed3214,donor_comb_6,0.37819890984585103,FOXK1,50,53.0,2
7,split5_seed3214,donor_comb_7,0.4670527710964451,FOXK1,50,80.0,2
8,split5_seed3214,donor_comb_8,0.5612604675662458,FOXK1,50,92.0,2
9,split5_seed3214,donor_comb_9,0.6012203162194248,FOXK1,50,111.0,2
10,split5_seed3214,donor_comb_10,0.7048279964847393,FOXK1,50,192.0,3
11,split5_seed3214,donor_comb_11,0.5635132383873248,FOXK1,50,122.0,3
12,split5_seed3214,donor_comb_12,0.6035399035236335,FOXK1,50,134.0,3
13,split5_seed3214,donor_comb_13,0.6615871951976163,FOXK1,50,161.0,3
14,split5_seed3214,donor_comb_14,0.6827949292528557,FOXK1,50,203.0,4
0,split5_seed3214,donor_comb_0,0.37952141728954475,GATA3,50,112.0,1
1,split5_seed3214,donor_comb_1,0.22390481345699825,GATA3,50,94.0,1
2,split5_seed3214,donor_comb_2,0.41054767095866435,GATA3,50,295.0,1
3,split5_seed3214,donor_comb_3,0.2331946104070753,GATA3,50,114.0,1
4,split5_seed3214,donor_comb_4,0.3892961947358884,GATA3,50,206.0,2
5,split5_seed3214,donor_comb_5,0.4226428380359299,GATA3,50,389.0,2
6,split5_seed3214,donor_comb_6,0.38970839531033646,GATA3,50,226.0,2
7,split5_seed3214,donor_comb_7,0.4057794478630566,GATA3,50,409.0,2
8,split5_seed3214,donor_comb_8,0.28426986925614056,GATA3,50,208.0,2
9,split5_seed3214,donor_comb_9,0.4867931636083313,GATA3,50,407.0,2
10,split5_seed3214,donor_comb_10,0.4868023290470762,GATA3,50,501.0,3
11,split5_seed3214,donor_comb_11,0.47535450085824554,GATA3,50,521.0,3
12,split5_seed3214,donor_comb_12,0.397915924380076,GATA3,50,320.0,3
13,split5_seed3214,donor_comb_13,0.4194512498306012,GATA3,50,503.0,3
14,split5_seed3214,donor_comb_14,0.47884690495595345,GATA3,50,615.0,4
0,split5_seed3214,donor_comb_0,0.4923659027143,IRF1,50,75.0,1
1,split5_seed3214,donor_comb_1,0.5308580455860303,IRF1,50,424.0,1
2,split5_seed3214,donor_comb_2,0.4606124652398615,IRF1,50,41.0,1
3,split5_seed3214,donor_comb_3,0.47302718851726355,IRF1,50,55.0,1
4,split5_seed3214,donor_comb_4,0.6127836598741134,IRF1,50,499.0,2
5,split5_seed3214,donor_comb_5,0.6158728494682157,IRF1,50,465.0,2
6,split5_seed3214,donor_comb_6,0.5662207148185882,IRF1,50,130.0,2
7,split5_seed3214,donor_comb_7,0.5680713128509398,IRF1,50,96.0,2
8,split5_seed3214,donor_comb_8,0.6112638585422334,IRF1,50,479.0,2
9,split5_seed3214,donor_comb_9,0.5498942854904832,IRF1,50,116.0,2
10,split5_seed3214,donor_comb_10,0.638495918967571,IRF1,50,540.0,3
11,split5_seed3214,donor_comb_11,0.6042938640626605,IRF1,50,171.0,3
12,split5_seed3214,donor_comb_12,0.6250366685848436,IRF1,50,554.0,3
13,split5_seed3214,donor_comb_13,0.6331732559603241,IRF1,50,520.0,3
14,split5_seed3214,donor_comb_14,0.6472246772034322,IRF1,50,595.0,4
0,split5_seed3214,donor_comb_0,0.6994615596094297,IRF2,50,79.0,1
1,split5_seed3214,donor_comb_1,0.29173761144737037,IRF2,50,13.0,1
2,split5_seed3214,donor_comb_2,0.3158425002935621,IRF2,50,9.0,1
3,split5_seed3214,donor_comb_3,0.5096382951508059,IRF2,50,35.0,1
4,split5_seed3214,donor_comb_4,0.670458095252611,IRF2,50,92.0,2
5,split5_seed3214,donor_comb_5,0.39186527524171216,IRF2,50,22.0,2
6,split5_seed3214,donor_comb_6,0.7071379011803236,IRF2,50,114.0,2
7,split5_seed3214,donor_comb_7,0.5367076225054275,IRF2,50,44.0,2
8,split5_seed3214,donor_comb_8,0.5291902394971604,IRF2,50,48.0,2
9,split5_seed3214,donor_comb_9,0.6816776085486674,IRF2,50,88.0,2
10,split5_seed3214,donor_comb_10,0.6729460071766287,IRF2,50,101.0,3
11,split5_seed3214,donor_comb_11,0.6954570785972823,IRF2,50,123.0,3
12,split5_seed3214,donor_comb_12,0.6865513373426779,IRF2,50,127.0,3
13,split5_seed3214,donor_comb_13,0.5633533962649161,IRF2,50,57.0,3
14,split5_seed3214,donor_comb_14,0.6894191318109709,IRF2,50,136.0,4
0,split5_seed3214,donor_comb_0,0.24068505738447118,KLF2,50,56.0,1
1,split5_seed3214,donor_comb_1,0.009278235778519717,KLF2,50,126.0,1
2,split5_seed3214,donor_comb_2,0.5686155378937077,KLF2,50,188.0,1
3,split5_seed3214,donor_comb_3,0.1389187456671789,KLF2,50,9.0,1
