,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
8,split2_seed3214,donor_comb_8,0.07702675547965845,KLF2,10,34.0,2
9,split2_seed3214,donor_comb_9,0.18942878399422466,KLF2,10,69.0,2
10,split2_seed3214,donor_comb_10,0.21345064096793973,KLF2,10,102.0,3
11,split2_seed3214,donor_comb_11,0.18265438196015235,KLF2,10,70.0,3
12,split2_seed3214,donor_comb_12,0.08359496246950782,KLF2,10,49.0,3
13,split2_seed3214,donor_comb_13,0.2168739116784495,KLF2,10,88.0,3
14,split2_seed3214,donor_comb_14,0.20778134266070816,KLF2,10,103.0,4
0,split2_seed3214,donor_comb_0,0.16494642758870068,MED12,10,18.0,1
1,split2_seed3214,donor_comb_1,0.1463691067933894,MED12,10,12.0,1
2,split2_seed3214,donor_comb_2,0.06793074915210047,MED12,10,2.0,1
3,split2_seed3214,donor_comb_3,0.13903358398573964,MED12,10,10.0,1
4,split2_seed3214,donor_comb_4,0.21644497324020356,MED12,10,30.0,2
5,split2_seed3214,donor_comb_5,0.16022356181981973,MED12,10,14.0,2
6,split2_seed3214,donor_comb_6,0.21226913292054012,MED12,10,28.0,2
7,split2_seed3214,donor_comb_7,0.14067571104879945,MED12,10,12.0,2
8,split2_seed3214,donor_comb_8,0.1976322206986214,MED12,10,22.0,2
9,split2_seed3214,donor_comb_9,0.17597921405872205,MED12,10,20.0,2
10,split2_seed3214,donor_comb_10,0.22558008971575422,MED12,10,32.0,3
11,split2_seed3214,donor_comb_11,0.21353753855095178,MED12,10,30.0,3
12,split2_seed3214,donor_comb_12,0.24996334580552507,MED12,10,40.0,3
13,split2_seed3214,donor_comb_13,0.19978483841190647,MED12,10,24.0,3
14,split2_seed3214,donor_comb_14,0.2519792155585777,MED12,10,42.0,4
0,split2_seed3214,donor_comb_0,0.3363838573216391,MYB,10,121.0,1
1,split2_seed3214,donor_comb_1,0.09375865624559097,MYB,10,42.0,1
2,split2_seed3214,donor_comb_2,0.10476432439852934,MYB,10,61.0,1
3,split2_seed3214,donor_comb_3,0.07964274324635064,MYB,10,38.0,1
4,split2_seed3214,donor_comb_4,0.33667268924303423,MYB,10,163.0,2
5,split2_seed3214,donor_comb_5,0.13922081096339917,MYB,10,103.0,2
6,split2_seed3214,donor_comb_6,0.3300470238250656,MYB,10,159.0,2
7,split2_seed3214,donor_comb_7,0.13060134738836932,MYB,10,99.0,2
8,split2_seed3214,donor_comb_8,0.12058330254892818,MYB,10,80.0,2
9,split2_seed3214,donor_comb_9,0.3782109461117974,MYB,10,182.0,2
10,split2_seed3214,donor_comb_10,0.36660828613992796,MYB,10,224.0,3
11,split2_seed3214,donor_comb_11,0.3669986510622253,MYB,10,220.0,3
12,split2_seed3214,donor_comb_12,0.3392865051778505,MYB,10,201.0,3
13,split2_seed3214,donor_comb_13,0.16195602595590303,MYB,10,141.0,3
14,split2_seed3214,donor_comb_14,0.36663627865568194,MYB,10,262.0,4
0,split2_seed3214,donor_comb_0,0.18573986311855267,PTEN,10,58.0,1
1,split2_seed3214,donor_comb_1,0.31780184795444105,PTEN,10,164.0,1
2,split2_seed3214,donor_comb_2,0.2365295653441213,PTEN,10,51.0,1
3,split2_seed3214,donor_comb_3,0.2110812572861047,PTEN,10,67.0,1
4,split2_seed3214,donor_comb_4,0.34638775529019544,PTEN,10,222.0,2
5,split2_seed3214,donor_comb_5,0.3810848681478264,PTEN,10,215.0,2
6,split2_seed3214,donor_comb_6,0.26655119482064166,PTEN,10,125.0,2
7,split2_seed3214,donor_comb_7,0.29807638306299183,PTEN,10,118.0,2
8,split2_seed3214,donor_comb_8,0.35643364703893304,PTEN,10,231.0,2
9,split2_seed3214,donor_comb_9,0.2864233959736537,PTEN,10,109.0,2
10,split2_seed3214,donor_comb_10,0.39808339297516065,PTEN,10,273.0,3
11,split2_seed3214,donor_comb_11,0.334943018344659,PTEN,10,176.0,3
12,split2_seed3214,donor_comb_12,0.378498679206296,PTEN,10,289.0,3
13,split2_seed3214,donor_comb_13,0.40512061130757954,PTEN,10,282.0,3
14,split2_seed3214,donor_comb_14,0.4210791791650178,PTEN,10,340.0,4
0,split2_seed3214,donor_comb_0,0.08078496333737392,STAT5B,10,5.0,1
1,split2_seed3214,donor_comb_1,0.0015100000404954636,STAT5B,10,2.0,1
2,split2_seed3214,donor_comb_2,0.1168733630446779,STAT5B,10,17.0,1
3,split2_seed3214,donor_comb_3,0.013895726385220306,STAT5B,10,2.0,1
4,split2_seed3214,donor_comb_4,0.05986943215457699,STAT5B,10,7.0,2
5,split2_seed3214,donor_comb_5,0.10234664607706082,STAT5B,10,19.0,2
6,split2_seed3214,donor_comb_6,0.06925831118433538,STAT5B,10,7.0,2
7,split2_seed3214,donor_comb_7,0.11369017129388706,STAT5B,10,19.0,2
8,split2_seed3214,donor_comb_8,0.0019864943128670596,STAT5B,10,4.0,2
9,split2_seed3214,donor_comb_9,0.1398262985779675,STAT5B,10,22.0,2
10,split2_seed3214,donor_comb_10,0.12469281232816638,STAT5B,10,24.0,3
11,split2_seed3214,donor_comb_11,0.13409612349436736,STAT5B,10,24.0,3
12,split2_seed3214,donor_comb_12,0.05328766658657105,STAT5B,10,9.0,3
13,split2_seed3214,donor_comb_13,0.09679498908590044,STAT5B,10,21.0,3
14,split2_seed3214,donor_comb_14,0.11855421208096176,STAT5B,10,26.0,4
0,split5_seed3214,donor_comb_0,0.10683386150751913,FOXK1,50,42.0,1
1,split5_seed3214,donor_comb_1,0.1609033309064948,FOXK1,50,81.0,1
2,split5_seed3214,donor_comb_2,0.14592640031061022,FOXK1,50,69.0,1
3,split5_seed3214,donor_comb_3,0.051821826754538544,FOXK1,50,11.0,1
4,split5_seed3214,donor_comb_4,0.17964233575706423,FOXK1,50,123.0,2
5,split5_seed3214,donor_comb_5,0.19340803045407895,FOXK1,50,150.0,2
6,split5_seed3214,donor_comb_6,0.11773951536458557,FOXK1,50,53.0,2
7,split5_seed3214,donor_comb_7,0.16990448631934288,FOXK1,50,80.0,2
8,split5_seed3214,donor_comb_8,0.1760800494404158,FOXK1,50,92.0,2
9,split5_seed3214,donor_comb_9,0.18137971218680302,FOXK1,50,111.0,2
10,split5_seed3214,donor_comb_10,0.21575567328162787,FOXK1,50,192.0,3
11,split5_seed3214,donor_comb_11,0.19690129710844825,FOXK1,50,122.0,3
12,split5_seed3214,donor_comb_12,0.18966238926444798,FOXK1,50,134.0,3
13,split5_seed3214,donor_comb_13,0.2228016157240306,FOXK1,50,161.0,3
14,split5_seed3214,donor_comb_14,0.23506781400049598,FOXK1,50,203.0,4
0,split5_seed3214,donor_comb_0,0.26552180949276416,GATA3,50,112.0,1
1,split5_seed3214,donor_comb_1,0.2033549950179842,GATA3,50,94.0,1
2,split5_seed3214,donor_comb_2,0.3294413697962275,GATA3,50,295.0,1
3,split5_seed3214,donor_comb_3,0.2094293046482679,GATA3,50,114.0,1
4,split5_seed3214,donor_comb_4,0.32185975049134036,GATA3,50,206.0,2
5,split5_seed3214,donor_comb_5,0.3656847675362373,GATA3,50,389.0,2
6,split5_seed3214,donor_comb_6,0.3081696924839671,GATA3,50,226.0,2
7,split5_seed3214,donor_comb_7,0.3856397293859101,GATA3,50,409.0,2
8,split5_seed3214,donor_comb_8,0.27835664781220665,GATA3,50,208.0,2
9,split5_seed3214,donor_comb_9,0.40019807762143966,GATA3,50,407.0,2
10,split5_seed3214,donor_comb_10,0.42467358901108476,GATA3,50,501.0,3
11,split5_seed3214,donor_comb_11,0.43000881584063555,GATA3,50,521.0,3
12,split5_seed3214,donor_comb_12,0.35220645090103964,GATA3,50,320.0,3
13,split5_seed3214,donor_comb_13,0.41481712572201346,GATA3,50,503.0,3
14,split5_seed3214,donor_comb_14,0.4529075162086159,GATA3,50,615.0,4
0,split5_seed3214,donor_comb_0,0.25757556831868117,IRF1,50,75.0,1
1,split5_seed3214,donor_comb_1,0.33297339782717145,IRF1,50,424.0,1
2,split5_seed3214,donor_comb_2,0.00858286465642091,IRF1,50,41.0,1
3,split5_seed3214,donor_comb_3,0.3063219992432907,IRF1,50,55.0,1
4,split5_seed3214,donor_comb_4,0.38574944293134544,IRF1,50,499.0,2
5,split5_seed3214,donor_comb_5,0.3259616956024033,IRF1,50,465.0,2
6,split5_seed3214,donor_comb_6,0.36876684826066924,IRF1,50,130.0,2
7,split5_seed3214,donor_comb_7,0.28665896175434175,IRF1,50,96.0,2
8,split5_seed3214,donor_comb_8,0.4664050942556948,IRF1,50,479.0,2
9,split5_seed3214,donor_comb_9,0.1769483943361157,IRF1,50,116.0,2
10,split5_seed3214,donor_comb_10,0.37273821735229595,IRF1,50,540.0,3
11,split5_seed3214,donor_comb_11,0.33368194525143424,IRF1,50,171.0,3
12,split5_seed3214,donor_comb_12,0.4693304687994128,IRF1,50,554.0,3
13,split5_seed3214,donor_comb_13,0.4554705350385674,IRF1,50,520.0,3
14,split5_seed3214,donor_comb_14,0.4574279060767078,IRF1,50,595.0,4
0,split5_seed3214,donor_comb_0,0.07318233308310139,IRF2,50,79.0,1
1,split5_seed3214,donor_comb_1,0.13991687188315316,IRF2,50,13.0,1
2,split5_seed3214,donor_comb_2,-0.01703782663210631,IRF2,50,9.0,1
3,split5_seed3214,donor_comb_3,0.018670986244984467,IRF2,50,35.0,1
4,split5_seed3214,donor_comb_4,0.1357802141231629,IRF2,50,92.0,2
5,split5_seed3214,donor_comb_5,0.09121493888233582,IRF2,50,22.0,2
6,split5_seed3214,donor_comb_6,0.06504750472551452,IRF2,50,114.0,2
7,split5_seed3214,donor_comb_7,-0.003739741996643274,IRF2,50,44.0,2
8,split5_seed3214,donor_comb_8,0.10011524027615235,IRF2,50,48.0,2
9,split5_seed3214,donor_comb_9,0.05609132117988495,IRF2,50,88.0,2
10,split5_seed3214,donor_comb_10,0.11860822809122198,IRF2,50,101.0,3
11,split5_seed3214,donor_comb_11,0.052835517374210245,IRF2,50,123.0,3
12,split5_seed3214,donor_comb_12,0.11757934288091763,IRF2,50,127.0,3
13,split5_seed3214,donor_comb_13,0.07552258102255362,IRF2,50,57.0,3
14,split5_seed3214,donor_comb_14,0.10736914116489174,IRF2,50,136.0,4
0,split5_seed3214,donor_comb_0,0.1932949012019511,KLF2,50,56.0,1
1,split5_seed3214,donor_comb_1,0.204689398440257,KLF2,50,126.0,1
2,split5_seed3214,donor_comb_2,0.4139146203388254,KLF2,50,188.0,1
3,split5_seed3214,donor_comb_3,0.0741971429160397,KLF2,50,9.0,1
4,split5_seed3214,donor_comb_4,0.26398914745615,KLF2,50,182.0,2
5,split5_seed3214,donor_comb_5,0.44191697828392906,KLF2,50,314.0,2
6,split5_seed3214,donor_comb_6,0.20924153168585694,KLF2,50,65.0,2
7,split5_seed3214,donor_comb_7,0.47280573129603204,KLF2,50,197.0,2
8,split5_seed3214,donor_comb_8,0.25423120330361576,KLF2,50,135.0,2
9,split5_seed3214,donor_comb_9,0.44182251791974914,KLF2,50,244.0,2
10,split5_seed3214,donor_comb_10,0.45849626633678875,KLF2,50,370.0,3
11,split5_seed3214,donor_comb_11,0.478007012107939,KLF2,50,253.0,3
12,split5_seed3214,donor_comb_12,0.2968166633992922,KLF2,50,191.0,3
13,split5_seed3214,donor_comb_13,0.4920111766450049,KLF2,50,323.0,3
14,split5_seed3214,donor_comb_14,0.4932350527219654,KLF2,50,379.0,4
0,split5_seed3214,donor_comb_0,0.4251139527976595,MED12,50,62.0,1
1,split5_seed3214,donor_comb_1,0.4721804967248468,MED12,50,65.0,1
2,split5_seed3214,donor_comb_2,0.24554792855418517,MED12,50,12.0,1
3,split5_seed3214,donor_comb_3,0.398963316814177,MED12,50,42.0,1
4,split5_seed3214,donor_comb_4,0.5487333910765231,MED12,50,127.0,2
5,split5_seed3214,donor_comb_5,0.4822989944540226,MED12,50,77.0,2
6,split5_seed3214,donor_comb_6,0.5146602970816927,MED12,50,104.0,2
7,split5_seed3214,donor_comb_7,0.43301479806030535,MED12,50,54.0,2
8,split5_seed3214,donor_comb_8,0.5264837503286303,MED12,50,107.0,2
9,split5_seed3214,donor_comb_9,0.47592615519161996,MED12,50,74.0,2
10,split5_seed3214,donor_comb_10,0.5601634013031456,MED12,50,139.0,3
11,split5_seed3214,donor_comb_11,0.5350671209809067,MED12,50,116.0,3
12,split5_seed3214,donor_comb_12,0.5833021373110289,MED12,50,169.0,3
13,split5_seed3214,donor_comb_13,0.5314153450933559,MED12,50,119.0,3
14,split5_seed3214,donor_comb_14,0.5864745694738445,MED12,50,181.0,4
0,split5_seed3214,donor_comb_0,0.5561786631600417,MYB,50,444.0,1
1,split5_seed3214,donor_comb_1,0.21958128018320403,MYB,50,146.0,1
2,split5_seed3214,donor_comb_2,0.2691029406916018,MYB,50,211.0,1
3,split5_seed3214,donor_comb_3,0.2810327770664829,MYB,50,168.0,1
4,split5_seed3214,donor_comb_4,0.5990745534598315,MYB,50,590.0,2
5,split5_seed3214,donor_comb_5,0.3468334071470213,MYB,50,357.0,2
6,split5_seed3214,donor_comb_6,0.6001212544658554,MYB,50,612.0,2
7,split5_seed3214,donor_comb_7,0.3808545509904522,MYB,50,379.0,2
8,split5_seed3214,donor_comb_8,0.3263179420489389,MYB,50,314.0,2
9,split5_seed3214,donor_comb_9,0.6274643895185266,MYB,50,655.0,2
10,split5_seed3214,donor_comb_10,0.6469033968975775,MYB,50,801.0,3
11,split5_seed3214,donor_comb_11,0.6481293533252086,MYB,50,823.0,3
12,split5_seed3214,donor_comb_12,0.6275550635050527,MYB,50,758.0,3
13,split5_seed3214,donor_comb_13,0.41374080357530124,MYB,50,525.0,3
14,split5_seed3214,donor_comb_14,0.66462653966592,MYB,50,969.0,4
0,split5_seed3214,donor_comb_0,0.44553456902008287,PTEN,50,190.0,1
1,split5_seed3214,donor_comb_1,0.5173358296779824,PTEN,50,681.0,1
2,split5_seed3214,donor_comb_2,0.4906783927242374,PTEN,50,185.0,1
3,split5_seed3214,donor_comb_3,0.4224420479849619,PTEN,50,229.0,1
4,split5_seed3214,donor_comb_4,0.6091612538644847,PTEN,50,871.0,2
5,split5_seed3214,donor_comb_5,0.6297460958604896,PTEN,50,866.0,2
6,split5_seed3214,donor_comb_6,0.5481912547263791,PTEN,50,419.0,2
7,split5_seed3214,donor_comb_7,0.5679187433174094,PTEN,50,414.0,2
8,split5_seed3214,donor_comb_8,0.6036656176568174,PTEN,50,910.0,2
9,split5_seed3214,donor_comb_9,0.5806071321666428,PTEN,50,375.0,2
10,split5_seed3214,donor_comb_10,0.6753740074633048,PTEN,50,1056.0,3
11,split5_seed3214,donor_comb_11,0.626105830464049,PTEN,50,604.0,3
12,split5_seed3214,donor_comb_12,0.6582047732276147,PTEN,50,1100.0,3
13,split5_seed3214,donor_comb_13,0.6679910368143304,PTEN,50,1095.0,3
14,split5_seed3214,donor_comb_14,0.7011630091457843,PTEN,50,1285.0,4
0,split5_seed3214,donor_comb_0,0.19653600732369514,STAT5B,50,15.0,1
1,split5_seed3214,donor_comb_1,0.17245708147822494,STAT5B,50,8.0,1
2,split5_seed3214,donor_comb_2,0.29292966209515264,STAT5B,50,53.0,1
3,split5_seed3214,donor_comb_3,0.11448998311837445,STAT5B,50,6.0,1
4,split5_seed3214,donor_comb_4,0.2278974853335015,STAT5B,50,23.0,2
5,split5_seed3214,donor_comb_5,0.3299188100800555,STAT5B,50,61.0,2
6,split5_seed3214,donor_comb_6,0.20298412933697782,STAT5B,50,21.0,2
7,split5_seed3214,donor_comb_7,0.3414180748044027,STAT5B,50,59.0,2
8,split5_seed3214,donor_comb_8,0.1898738696024971,STAT5B,50,14.0,2
9,split5_seed3214,donor_comb_9,0.3439518065181128,STAT5B,50,68.0,2
10,split5_seed3214,donor_comb_10,0.36125417804073734,STAT5B,50,76.0,3
11,split5_seed3214,donor_comb_11,0.34981835851280935,STAT5B,50,74.0,3
12,split5_seed3214,donor_comb_12,0.23106712140034252,STAT5B,50,29.0,3
13,split5_seed3214,donor_comb_13,0.3610394279463194,STAT5B,50,67.0,3
14,split5_seed3214,donor_comb_14,0.3604362581027155,STAT5B,50,82.0,4
0,split2_seed432,donor_comb_0,0.07165388509787644,FOXK1,100,10.0,1
1,split2_seed432,donor_comb_1,0.07853135438967297,FOXK1,100,20.0,1
2,split2_seed432,donor_comb_2,0.17579127815238185,FOXK1,100,27.0,1
3,split2_seed432,donor_comb_3,0.005574082626285097,FOXK1,100,4.0,1
4,split2_seed432,donor_comb_4,0.14225439378493082,FOXK1,100,30.0,2
5,split2_seed432,donor_comb_5,0.22244004995019442,FOXK1,100,47.0,2
6,split2_seed432,donor_comb_6,0.05970946378366614,FOXK1,100,14.0,2
7,split2_seed432,donor_comb_7,0.18225452718967525,FOXK1,100,31.0,2
8,split2_seed432,donor_comb_8,0.10114530740664851,FOXK1,100,24.0,2
9,split2_seed432,donor_comb_9,0.19664769902658283,FOXK1,100,37.0,2
