gene_id,gene_name,gene_biotype,DonorC_NTC1_cpm,DonorC_NTC1_count,DonorC_NFKB2-3_cpm,DonorC_NFKB2-3_count,DonorC_MED24-3_cpm,DonorC_MED24-3_count,DonorC_GATA3-3_cpm,DonorC_GATA3-3_count,DonorC_CYB5R4-3_cpm,DonorC_CYB5R4-3_count,DonorC_KDM1A-3_cpm,DonorC_KDM1A-3_count,DonorC_ELOB-3_cpm,DonorC_ELOB-3_count,DonorC_MEN1-3_cpm,DonorC_MEN1-3_count,DonorC_ATP2A2-3_cpm,DonorC_ATP2A2-3_count,DonorC_NTC2_cpm,DonorC_NTC2_count
ENSG00000169217,CD2BP2,protein_coding,61.938432332515305,445.0,24.435967829572903,110.5,39.03949646049751,232.0,29.24750467922181,137.0,50.49879009825637,20.5,31.351207192286925,174.0,13.963272652741622,27.5,17.449181005240337,12.0,27.278966467301935,119.5,62.585099393041105,371.0
ENSG00000169218,RSPO1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169220,RGS14,protein_coding,24.21862297945542,174.0,15.700938605426934,71.0,12.28397948972551,73.0,14.73049505741828,69.0,4.926711229098182,2.0,11.171119804148216,62.0,8.631841276240277,17.0,17.449181005240337,12.0,13.240000461117257,58.0,26.484799473605,157.0
ENSG00000169221,TBC1D10B,protein_coding,27.83749767753496,200.0,8.624459233966906,39.0,11.94743210644536,71.0,7.47199024651652,35.0,19.70684491639273,8.0,12.072016562547264,67.0,7.616330537859067,15.0,10.178688919723529,7.0,10.044138280847577,44.0,23.785711629161177,141.0
ENSG00000169223,LMAN2,protein_coding,134.73348875926922,968.0,56.390694991322086,255.0,79.42518245411563,472.0,55.933184131066525,262.0,103.46093581106182,42.0,79.63927344247598,442.0,40.620429535248356,80.0,31.990165176273948,22.0,54.10138119456534,237.0,122.1337249610829,724.0
ENSG00000169224,GCSAML,protein_coding,0.1391874883876748,1.0,0.2211399803581258,1.0,0.1682736916400755,1.0,0.4269708712295154,2.0,0.0,0.0,0.5405380550394298,3.0,1.5232661075718137,3.0,5.816393668413445,4.0,14.26724187620394,62.5,0.1686929902777388,1.0
ENSG00000169228,RAB24,protein_coding,7.79449934970979,56.0,3.4276696955509505,15.5,4.1227054451818494,24.5,4.3764514301025335,20.5,13.54845588002,5.5,4.504483791995248,25.0,7.616330537859067,15.0,3.635246042758403,2.5,4.9079312054141555,21.5,7.675531057637117,45.5
ENSG00000169230,PRELID1,protein_coding,202.58738934826073,1455.5,80.27381286999967,363.0,101.83418996982448,605.17,90.58827489441012,424.33,54.80966242371728,22.25,118.82828243283464,659.5,44.42859480417789,87.5,52.10034628481343,35.83,79.09758896167466,346.5,183.0032166429994,1084.83
ENSG00000169231,THBS3,protein_coding,3.618874698079545,26.0,0.4422799607162517,2.0,1.1779158414805284,7.0,1.7078834849180615,8.0,0.0,0.0,1.0810761100788595,6.0,0.5077553691906045,1.0,2.9081968342067226,2.0,0.4565517400385261,2.0,2.8677808347215596,17.0
ENSG00000169239,CA5B,protein_coding,5.080343326150131,36.5,8.071609283071593,36.5,6.702341138024206,39.83,7.898961117746035,37.0,4.926711229098182,2.0,7.8684322878573,43.67,8.885718960835577,17.5,5.816393668413445,4.0,8.407400292809458,36.83,6.21296283192912,36.83
