gene_id,gene_name,gene_biotype,DonorH_NTC1_cpm,DonorH_NTC1_count,DonorH_SGF29-4_cpm,DonorH_SGF29-4_count,DonorH_GATA3-3_cpm,DonorH_GATA3-3_count,DonorH_ATP2A2-3_cpm,DonorH_ATP2A2-3_count,DonorH_NTC2_cpm,DonorH_NTC2_count
ENSG00000000003,TSPAN6,protein_coding,0.805994487640709,9.0,0.4153487653802392,5.0,0.5990835411693923,7.0,0.982746693564384,11.0,0.9887066066445058,11.0
ENSG00000000005,TNMD,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419,DPM1,protein_coding,173.6470346150372,1939.0,171.87131911434298,2069.0,180.49531261803548,2109.0,177.07308605860084,1982.0,165.8627238581187,1845.33
ENSG00000000457,SCYL3,protein_coding,13.56757387528527,151.5,14.62027654138442,176.0,17.031089241815582,199.0,18.22548413519403,204.0,14.381187005738266,160.0
ENSG00000000460,FIRRM,protein_coding,11.731697542325875,131.0,13.45729999831975,162.0,10.95467046709746,128.0,10.006148152655546,112.0,13.302597980307898,148.0
ENSG00000000938,FGR,protein_coding,0.1791098861423798,2.0,0.0830697530760478,1.0,0.0,0.0,0.0893406085058531,1.0,0.2696472563575924,3.0
ENSG00000000971,CFH,protein_coding,0.3358310365169621,3.75,1.4537206788308372,17.5,0.620479381925442,7.25,0.2680218255175593,3.0,0.4044708845363887,4.5
ENSG00000001036,FUCA2,protein_coding,34.47865308240811,385.0,37.87980740267781,456.0,30.98117741476,362.0,38.05909922349342,426.0,37.39108621491949,416.0
ENSG00000001084,GCLC,protein_coding,28.657581782780767,320.0,20.185949997479625,243.0,30.767219007199508,359.5,32.296629974865894,361.5,27.86354982361789,310.0
ENSG00000001167,NFYA,protein_coding,19.10475600537694,213.33,16.503467843618424,198.67,24.106265863026103,281.67,25.07522858933779,280.67,20.882382356519823,232.33
ENSG00000001460,STPG1,protein_coding,5.552406470413774,62.0,9.054603085289214,109.0,5.306168507500333,62.0,5.2264255975924065,58.5,6.112004477438763,68.0
ENSG00000001461,NIPAL3,protein_coding,33.672658594767405,376.0,32.23106419350656,388.0,32.521677949195585,380.0,33.86009062371833,379.0,33.79578946348492,376.0
ENSG00000001497,LAS1L,protein_coding,78.71879495957593,879.0,75.51040554612749,909.0,85.3266129351263,997.0,74.24204566836391,831.0,79.45605820670391,884.0
ENSG00000001561,ENPP4,protein_coding,10.11970856704446,113.0,11.048277159114363,133.0,9.157419843589285,107.0,10.899554237714078,122.0,9.887066066445058,110.0
ENSG00000001617,SEMA3F,protein_coding,1.0746593168542788,12.0,0.3322790123041914,4.0,0.2567500890725967,3.0,0.982746693564384,11.0,0.2696472563575924,3.0
ENSG00000001626,CFTR,protein_coding,0.0895549430711899,1.0,0.0830697530760478,1.0,0.0,0.0,0.0,0.0,0.2696472563575924,3.0
ENSG00000001629,ANKIB1,protein_coding,31.881559733343607,356.0,25.253204935118543,304.0,31.2379275038326,365.0,28.320972896355432,317.0,25.796254191543017,287.0
ENSG00000001630,CYP51A1,protein_coding,28.284137670173905,315.83,29.4473967679282,354.49,23.449841468630503,274.0,29.943398346821727,335.16,29.716026474794553,330.61
ENSG00000001631,KRIT1,protein_coding,28.762361066174066,321.17,29.42081444694386,354.17,28.898934192381244,337.67,30.331136587737124,339.5,30.05038907267796,334.33
ENSG00000002016,RAD52,protein_coding,5.418074055806989,60.5,6.271766357241612,75.5,5.092210099939835,59.5,4.422360121039728,49.5,5.797416011688238,64.5
