gene_id,gene_name,gene_biotype,DonorA_NTC1_cpm,DonorA_NTC1_count,DonorA_NFKB2-3_cpm,DonorA_NFKB2-3_count,DonorA_MED24-3_cpm,DonorA_MED24-3_count,DonorA_GATA3-3_cpm,DonorA_GATA3-3_count,DonorA_CYB5R4-3_cpm,DonorA_CYB5R4-3_count,DonorA_KDM1A-3_cpm,DonorA_KDM1A-3_count,DonorA_ELOB-3_cpm,DonorA_ELOB-3_count,DonorA_MEN1-3_cpm,DonorA_MEN1-3_count,DonorA_NTC2_cpm,DonorA_NTC2_count
ENSG00000000003,TSPAN6,protein_coding,0.3579473143289965,2.0,0.0,0.0,0.4639372914149535,3.0,0.0,0.0,2.055471883004843,1.0,0.6555506172199173,1.0,0.0,0.0,3.0721072416111275,3.0,0.0,0.0
ENSG00000000005,TNMD,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419,DPM1,protein_coding,181.30031470763672,1013.0,146.4181598928063,1087.0,158.20261637249916,1023.0,229.10886536944344,845.0,306.26531056772154,149.0,296.96442960062245,453.0,261.65282091845097,651.0,319.4991531275573,312.0,179.8466957560775,1207.0
ENSG00000000457,SCYL3,protein_coding,20.224023259588304,113.0,16.702715571948463,124.0,20.103949294647983,130.0,40.941347539391664,151.0,32.887550128077486,16.0,53.75515061203321,82.0,37.37897441692156,93.0,40.44941201454652,39.5,16.83734599870485,113.0
ENSG00000000460,FIRRM,protein_coding,10.738419429869897,60.0,10.10244893464625,75.0,6.340476316004366,41.0,10.574255324743543,39.0,12.332831298029056,6.0,12.455461727178427,19.0,12.459658138973856,31.0,5.120178736018547,5.0,9.536195963868234,64.0
ENSG00000000938,FGR,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1490030619354411,1.0
ENSG00000000971,CFH,protein_coding,1.4622147790339508,8.17,1.6163918295434,12.0,2.0490563704160447,13.25,2.982482271081512,11.0,16.443775064038743,8.0,5.899955554979255,9.0,4.823093473151169,12.0,8.960312788032455,8.75,1.750785977741434,11.75
ENSG00000001036,FUCA2,protein_coding,41.5218884621636,232.0,37.1770120794982,276.0,36.9603375493913,239.0,29.824822710815123,110.0,36.99849389408717,18.0,26.22202468879669,40.0,31.350107575482603,78.0,38.91335839374095,38.0,39.48581141289191,265.0
ENSG00000001084,GCLC,protein_coding,48.14391377725003,269.0,37.10966241993389,275.5,45.77514608627541,296.0,71.8507092578728,265.0,59.60868460714044,29.0,53.099599994813296,81.0,89.4281914813446,222.5,66.5623235682411,65.0,47.3829736954703,318.0
ENSG00000001167,NFYA,protein_coding,31.37945131065148,175.33,25.59287063443716,190.0,31.057508744955044,200.83,37.77720498452611,139.33,24.665662596058112,12.0,22.50505268915976,34.33,21.30199617308433,53.0,25.600893680092728,25.0,31.24147199600395,209.67
