gene_id,gene_name,gene_biotype,DonorD_NTC1_cpm,DonorD_NTC1_count,DonorD_SGF29-4_cpm,DonorD_SGF29-4_count,DonorD_GATA3-3_cpm,DonorD_GATA3-3_count,DonorD_ATP2A2-3_cpm,DonorD_ATP2A2-3_count,DonorD_NTC2_cpm,DonorD_NTC2_count
ENSG00000139193,CD27,protein_coding,130.11664225354022,1585.5,20.425164991541763,220.5,151.3702968940392,1736.5,59.06231625547006,594.5,116.40415406089222,1430.5
ENSG00000139194,RBP5,protein_coding,0.0820666302450584,1.0,0.4631556687424436,5.0,0.0,0.0,0.39739153073487,4.0,0.1627461084388566,2.0
ENSG00000139197,PEX5,protein_coding,24.291722552537312,296.0,21.305160762152408,230.0,21.530931950951732,247.0,19.372837123324913,195.0,28.561942031019345,351.0
ENSG00000139200,PIANP,protein_coding,0.0820666302450584,1.0,0.0926311337484887,1.0,0.0,0.0,0.0993478826837175,1.0,0.0813730542194283,1.0
ENSG00000139209,SLC38A4,protein_coding,0.0,0.0,0.0926311337484887,1.0,0.0871697649836102,1.0,0.0,0.0,0.0,0.0
ENSG00000139211,AMIGO2,protein_coding,9.76592899916196,119.0,13.616776661027842,147.0,9.937353208131569,114.0,14.405442989139038,145.0,10.008885668989684,123.0
ENSG00000139218,SCAF11,protein_coding,124.1668115607735,1513.0,134.5004062028056,1452.0,128.57540335082513,1475.0,141.37203705893,1423.0,134.91652389581216,1658.0
ENSG00000139219,COL2A1,protein_coding,0.0,0.0,0.1852622674969774,2.0,0.1743395299672205,2.0,0.596087296102305,6.0,0.0,0.0
ENSG00000139220,PPFIA2,protein_coding,0.0,0.0,0.1852622674969774,2.0,0.0871697649836102,1.0,0.198695765367435,2.0,0.0,0.0
ENSG00000139223,ANP32D,protein_coding,0.0410333151225292,0.5,0.0305682741370012,0.33,0.0871697649836102,1.0,0.0496739413418587,0.5,0.0,0.0
ENSG00000139233,LLPH,protein_coding,68.8949360907266,839.5,81.97114287671263,884.92,73.2295761674313,840.08,68.83119355976001,692.83,72.03549624774894,885.25
ENSG00000139239,RPL14P1,processed_pseudogene,168.39415993244043,2051.92,137.17096178877455,1480.83,161.18386903589402,1849.08,157.6978746203453,1587.33,163.43126955538423,2008.42
ENSG00000139263,LRIG3,protein_coding,0.0820666302450584,1.0,0.0,0.0,0.0871697649836102,1.0,0.9934788268371753,10.0,0.2441191626582849,3.0
ENSG00000139266,MARCHF9,protein_coding,7.468063352300323,91.0,5.279974623663858,57.0,6.189053313836327,71.0,4.868046251502157,49.0,6.998082662870837,86.0
ENSG00000139269,INHBE,protein_coding,0.0,0.0,0.2778934012454662,3.0,0.0871697649836102,1.0,0.2980436480511525,3.0,0.2441191626582849,3.0
ENSG00000139278,GLIPR1,protein_coding,11.325194973818071,138.0,33.90299495194687,366.0,19.003008766427033,218.0,15.59761758134365,157.0,12.043212024475393,148.0
ENSG00000139287,TPH2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139289,PHLDA1,protein_coding,132.78380773650463,1618.0,202.67692064169333,2188.0,205.1104570064349,2353.0,274.7962435031626,2766.0,145.90188621543498,1793.0
ENSG00000139291,TMEM19,protein_coding,13.171694154331888,160.5,19.03569798531443,205.5,17.237821025508925,197.75,13.710007810353016,138.0,12.368704241353106,152.0
ENSG00000139292,LGR5,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139304,PTPRQ,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139318,DUSP6,protein_coding,56.01047514225242,682.5,73.41017349567731,792.5,59.449779718822185,682.0,167.401182322064,1685.0,67.13276973102836,825.0
ENSG00000139323,POC1B,protein_coding,20.59872419150968,251.0,33.949310518821115,366.5,28.025079442230695,321.5,36.85806447565919,371.0,25.22564680802278,310.0
ENSG00000139324,TMTC3,protein_coding,10.258328780632311,125.0,14.543087998512728,157.0,9.588674148197128,110.0,12.319137452780971,124.0,9.032409018356544,111.0
ENSG00000139329,LUM,protein_coding,0.0,0.0,0.1852622674969774,2.0,0.4358488249180512,5.0,0.4967394134185875,5.0,0.0813730542194283,1.0
ENSG00000139330,KERA,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139343,SNRPF,protein_coding,645.0847470412822,7860.5,630.1232873240946,6802.5,639.215886624814,7333.0,555.4540120846646,5591.0,607.5312228022519,7466.0
ENSG00000139344,AMDHD1,protein_coding,0.6565330419604679,8.0,1.2042047387303534,13.0,0.697358119868882,8.0,0.7947830614697401,8.0,0.4882383253165699,6.0
ENSG00000139350,NEDD1,protein_coding,38.57131621517749,470.0,51.688172631656705,558.0,42.5388453120018,488.0,36.460672944924326,367.0,39.22181213376445,482.0
ENSG00000139351,SYCP3,protein_coding,1.0668661931857604,13.0,1.1115736049818647,12.0,1.3075464747541536,15.0,1.19217459220461,12.0,1.3833419217302816,17.0
ENSG00000139352,ASCL1,protein_coding,0.0820666302450584,1.0,0.8336802037363985,9.0,0.2615092949508307,3.0,0.0993478826837175,1.0,0.4068652710971416,5.0
ENSG00000139354,GAS2L3,protein_coding,0.8206663024505849,10.0,1.5747292737243084,17.0,2.3535836545574766,27.0,0.9934788268371753,10.0,0.5696113795359983,7.0
ENSG00000139364,TMEM132B,protein_coding,0.2461998907351754,3.0,0.0,0.0,0.0871697649836102,1.0,0.198695765367435,2.0,0.0813730542194283,1.0
ENSG00000139370,SLC15A4,protein_coding,47.516578911888864,579.0,58.17235199405091,628.0,53.43506593495308,613.0,63.58264491757921,640.0,48.57971336899871,597.0
ENSG00000139372,TDG,protein_coding,90.9298263115248,1108.0,112.46994366340256,1214.17,83.23230669930058,954.83,100.2747984291566,1009.33,103.5537213385601,1272.58
ENSG00000139405,RITA1,protein_coding,26.425454938908832,322.0,22.231472099637298,240.0,26.325269025050293,302.0,21.06175112894811,212.0,27.910957597263916,343.0
