gene_id,gene_name,gene_biotype,Donor6_NTC2_cpm,Donor6_NTC2_count,Donor6_MEN1_cpm,Donor6_MEN1_count,Donor6_ELOB_cpm,Donor6_ELOB_count,Donor6_SGF29_cpm,Donor6_SGF29_count,Donor6_GATA3_cpm,Donor6_GATA3_count,Donor6_NTC3_cpm,Donor6_NTC3_count,Donor6_MED24_cpm,Donor6_MED24_count,Donor6_NFKB2_cpm,Donor6_NFKB2_count,Donor6_KDM1A_cpm,Donor6_KDM1A_count,Donor6_CYB5R4_cpm,Donor6_CYB5R4_count,Donor6_NTC1_cpm,Donor6_NTC1_count
ENSG00000000003,TSPAN6,protein_coding,0.5618133484950425,5.0,0.9835184094052456,9.0,0.864766039588837,10.0,0.4076904758135565,5.0,0.7205363377453913,6.33,0.8417878105017115,6.0,0.5618981137046609,6.0,0.4224219849217908,5.0,0.9582370186680832,12.0,0.7780662667326352,8.33,0.4695445868270582,6.0
ENSG00000000005,TNMD,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419,DPM1,protein_coding,104.83437082917492,933.0,102.72303387121455,940.0,116.48398553261634,1347.0,110.40258085031113,1354.0,118.38195754426648,1040.0,98.76976976553416,704.0,109.00823405870422,1164.0,112.78666997411814,1335.0,107.34889760883866,1344.33,110.31167599174576,1181.0,109.97125510645394,1405.25
ENSG00000000457,SCYL3,protein_coding,14.607147060871108,130.0,13.550698085138942,124.0,12.712060781955904,147.0,15.818390461565992,194.0,16.27751916233664,143.0,13.18800903119348,94.0,14.51570127070374,155.0,17.657238969730855,209.0,15.651204638245355,196.0,13.26355460696689,142.0,14.94716934732802,191.0
ENSG00000000460,FIRRM,protein_coding,11.9104429880949,106.0,8.414546391578213,77.0,14.26863965321581,165.0,10.763028561477894,132.0,12.179682170419724,107.0,10.8029435681053,77.0,7.866573591865253,84.0,9.546736859232473,113.0,10.540607205348913,132.0,11.208637696028358,120.0,10.721268065884496,137.0
ENSG00000000938,FGR,protein_coding,0.1123626696990085,1.0,0.0,0.0,0.0,0.0,0.1630761903254226,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689687939687163,2.0,0.0798530848890069,1.0,0.1868106282671393,2.0,0.0,0.0
ENSG00000000971,CFH,protein_coding,1.2359893666890935,11.0,2.021676730444117,18.5,1.5998171732393485,18.5,2.201528569393205,27.0,1.650517677299869,14.5,0.7477881716623538,5.33,0.7417055100901525,7.92,1.182781557781014,14.0,1.9963271222251728,25.0,0.8873504842689117,9.5,0.7825743113784304,10.0
ENSG00000001036,FUCA2,protein_coding,23.708523306490797,211.0,29.83339175195912,273.0,26.115934395582876,302.0,34.16446187317604,419.0,20.716842570246634,182.0,21.46558916779364,153.0,21.352128320777116,228.0,26.61258505007282,315.0,23.716366212035055,297.0,29.88970052274229,320.0,24.807605670696244,317.0
ENSG00000001084,GCLC,protein_coding,24.157973985286823,215.0,18.46829013216517,169.0,20.970576460029296,242.5,21.56682617053714,264.5,19.35089690627433,170.0,20.904397294125836,149.0,24.817166688622525,265.0,19.60038010037109,232.0,22.27901068403293,279.0,20.549169109385325,220.0,26.372754293453102,337.0
ENSG00000001167,NFYA,protein_coding,27.004120408762713,240.33,23.604441825725896,216.0,21.042352041315173,243.33,27.016017070261135,331.33,26.218188731895097,230.33,24.13125056771573,172.0,22.819618894402456,243.67,25.88010532821843,306.33,22.784480711380343,285.33,25.90409576866287,277.33,28.276757593036827,361.33
ENSG00000001460,STPG1,protein_coding,2.5281600682276917,22.5,1.639197349008743,15.0,3.7617322722114417,43.5,3.4245999968338747,42.0,3.756350575923841,33.0,2.6656613999220866,19.0,2.2944172976273656,24.5,2.576774108022924,30.5,4.551625838673394,57.0,2.8021594240070895,30.0,3.873742841323231,49.5
ENSG00000001461,NIPAL3,protein_coding,22.584896609500703,201.0,19.45180854157042,178.0,18.851899663036647,218.0,28.53833330694896,350.0,24.587021951501494,216.0,19.150672688913936,136.5,19.01088618034103,203.0,26.359131859119746,312.0,31.022923479379184,388.5,26.71391984220092,286.0,23.86851649704213,305.0
ENSG00000001497,LAS1L,protein_coding,71.79974593766643,639.0,61.08742120639248,559.0,54.32892643716868,628.25,71.99813802867409,883.0,84.04322184005603,738.33,65.23855531388263,465.0,77.66649377311441,829.33,69.74186971058765,825.5,75.34138559277802,943.5,62.114533898823815,665.0,81.38772838335676,1040.0
ENSG00000001561,ENPP4,protein_coding,10.337365612308782,92.0,10.927982326724951,100.0,10.55014568298381,122.0,12.312252369569409,151.0,7.740358762509731,68.0,8.838772010267972,63.0,11.144312588475774,119.0,9.12431487431068,108.0,10.460754120459908,131.0,10.92842175362765,117.0,8.295287700611363,106.0
ENSG00000001617,SEMA3F,protein_coding,0.3370880090970255,3.0,0.4371192930689981,4.0,0.6053362277121859,7.0,0.4892285709762678,6.0,0.2276576106620509,2.0,0.7014898420847596,5.0,0.4682484280872174,5.0,0.3379375879374326,4.0,0.1597061697780138,2.0,0.5604318848014179,6.0,0.078257431137843,1.0
ENSG00000001626,CFTR,protein_coding,0.0,0.0,0.218559646534499,2.0,0.4323830197944185,5.0,0.0,0.0,0.0,0.0,0.2805959368339038,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,ANKIB1,protein_coding,29.663744800538243,264.0,30.16123122176087,276.0,23.17572986098083,268.0,31.06601425699301,381.0,28.45720133275637,250.0,29.602871335976857,211.0,33.151988708575,354.0,27.37294462293205,324.0,25.87239950403824,324.0,33.2522918315508,356.0,25.277150257523303,323.0
ENSG00000001630,CYP51A1,protein_coding,35.20659529679033,313.33,30.106591310127246,275.5,24.37170129373219,281.83,40.229265391378505,493.38,33.27557466241867,292.33,33.81181038848541,241.0,40.185080098445006,429.1,37.38350082160864,442.49,37.39759524606861,468.33,30.704194861987016,328.72,38.51517730880084,492.16
ENSG00000001631,KRIT1,protein_coding,33.17507822863226,295.25,36.99122017596397,338.5,28.249312215248537,326.67,37.276770965536734,457.17,32.802046832241615,288.17,28.01329535381279,199.67,36.86707173701898,393.67,33.73715424776375,399.33,34.376753044717475,430.5,33.586682856148975,359.58,30.924989062741435,395.17
ENSG00000002016,RAD52,protein_coding,3.427061425819759,30.5,4.043353460888233,37.0,2.767251326684278,32.0,3.546907139577942,43.5,3.5286929652617895,31.0,2.8059593683390385,20.0,3.090439625375635,33.0,2.3655631155620283,28.0,3.2739764804492837,41.0,3.9697258506767104,42.5,3.9911289880299954,51.0
ENSG00000002330,BAD,protein_coding,13.258795024483003,118.0,12.785739322268194,117.0,31.90986686082808,369.0,16.63377141319311,204.0,20.83067137557766,183.0,13.18800903119348,94.0,11.987159759032767,128.0,15.376160251153184,182.0,13.335465176464156,167.0,18.86787345498107,202.0,12.59944641319273,161.0
ENSG00000002549,LAP3,protein_coding,89.21595974101275,794.0,121.08204418011248,1108.0,109.21995080007012,1263.0,164.05464746737516,2012.0,123.04893856283854,1081.0,102.4175169443749,730.0,70.70551264116983,755.0,117.17985861730476,1387.0,101.7328301485948,1274.0,98.35579578264884,1053.0,104.23889827560691,1332.0
ENSG00000002586,CD99,protein_coding,189.24682644055508,1684.25,176.7601141347761,1617.5,152.5014910814914,1763.5,257.61961166658637,3159.5,237.78837433651225,2089.0,161.34266367949468,1150.0,220.0767612009922,2350.0,189.0338382525014,2237.5,169.32846650713918,2120.5,146.2260192761033,1565.5,202.1780733446175,2583.5
ENSG00000002587,HS3ST1,protein_coding,25.843414030771957,230.0,39.01289690640808,357.0,29.834428365814876,345.0,14.26916665347448,175.0,18.7817528796192,165.0,21.8864830730445,156.0,5.150732708959392,55.0,18.79777832901969,222.5,20.28268356180776,254.0,37.12861236809394,397.5,21.67730842518252,277.0
ENSG00000002726,AOC1,protein_coding,0.0,0.0,0.1092798232672495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002745,WNT16,protein_coding,0.0,0.0,0.0,0.0,0.1729532079177674,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002746,HECW1,protein_coding,0.1123626696990085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4208939052508557,3.0,0.0936496856174435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078257431137843,1.0
ENSG00000002822,MAD1L1,protein_coding,5.730496154649433,51.0,12.239340205931947,112.0,6.053362277121859,70.0,8.561499992084688,105.0,11.525166539766328,101.25,6.734302484013692,48.0,5.478506608620444,58.5,6.294087575334683,74.5,4.737683526464781,59.33,5.931237447481673,63.5,6.5344955000098945,83.5
ENSG00000002834,LASP1,protein_coding,119.61006189459457,1064.5,138.67609572613964,1269.0,100.010192478449,1156.5,147.58395224450746,1810.0,157.82363859146682,1386.5,110.76524606518356,789.5,128.15959476747142,1368.5,130.57063553932554,1545.5,121.93566062551356,1527.0,176.022314484712,1884.5,145.9892377876462,1865.5
ENSG00000002919,SNX11,protein_coding,30.787371497528333,274.0,23.63176178154271,216.25,17.641227207612275,204.0,31.06601425699301,381.0,31.53057907669405,277.0,28.901381493892092,206.0,30.810746568138907,329.0,34.80757155755556,412.0,27.948579711152423,350.0,41.28514884703779,442.0,30.911685299448003,395.0
ENSG00000002933,TMEM176A,protein_coding,0.0,0.0,0.218559646534499,2.0,0.0,0.0,0.0815380951627113,1.0,0.0,0.0,0.0,0.0,0.0936496856174435,1.0,0.0844843969843581,1.0,0.0798530848890069,1.0,0.0,0.0,0.078257431137843,1.0
