gene_id,gene_name,gene_biotype,Donor10_NTC_cpm,Donor10_NTC_count,Donor10_CYB5R4_cpm,Donor10_CYB5R4_count,Donor10_SGF29_cpm,Donor10_SGF29_count,Donor10_ATP2A2_cpm,Donor10_ATP2A2_count,Donor10_KDM1A_cpm,Donor10_KDM1A_count
ENSG00000274317,LINC02334,lncRNA,0.093270829,1,0,0,0,0,0,0,0,0
ENSG00000274319,RPSAP73,transcribed_processed_pseudogene,0,0,0,0,0.057882788,0.5,0,0,0,0
ENSG00000274321,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274322,,protein_coding,0.909390586,9.75,0.684658526,7.17,0.376238122,3.25,0.825435424,2.5,0.688855053,6.25
ENSG00000274326,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274328,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274330,,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274331,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274333,LINC03104,lncRNA,0,0,0.047744667,0.5,0.03820264,0.33,0,0,0.027554202,0.25
ENSG00000274340,,lncRNA,0.186541659,2,0.095489334,1,0.115765576,1,0,0,0,0
ENSG00000274341,,lncRNA,1.119249952,12,0.190978668,2,0.115765576,1,0.990522509,3,0.220433617,2
ENSG00000274342,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274343,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274344,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274346,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0.110216808,1
ENSG00000274347,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274349,ZNF658,protein_coding,0.233177073,2.5,0.207211855,2.17,0.714273604,6.17,1.541913372,4.67,0.936842872,8.5
ENSG00000274350,RN7SL853P,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274351,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274353,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274354,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274355,FAM74A3,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274356,,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274357,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274363,,lncRNA,0.093270829,1,0,0,0.115765576,1,0,0,0.110216808,1
ENSG00000274364,,lncRNA,0.093270829,1,0.286468002,3,0.231531152,2,0.660348339,2,0,0
ENSG00000274365,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274369,GRAMD4P4,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274370,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274372,,lncRNA,0.233177073,2.5,0.190978668,2,0.057882788,0.5,0.165087085,0.5,0.110216808,1
ENSG00000274373,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274374,TUBAP6,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274376,ADAMTS7P1,transcribed_unprocessed_pseudogene,0,0,0,0,0.057882788,0.5,0,0,0,0
ENSG00000274378,,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274379,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274380,MIR6801,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274381,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274383,,lncRNA,5.223166441,56,2.625956689,27.5,3.588732858,31,4.952612545,15,6.502791701,59
ENSG00000274385,U6,snRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274386,TMEM269,protein_coding,0,0,0,0,0,0,0,0,0.110216808,1
ENSG00000274387,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274390,MIR6885,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274391,TPTE,protein_coding,0.015856041,0.17,0,0,0.086824182,0.75,0,0,0,0
ENSG00000274396,,misc_RNA,0.326447903,3.5,0.095489334,1,0.32761658,2.83,0.165087085,0.5,0.771517659,7
ENSG00000274397,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274398,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274400,,lncRNA,0,0,0.095489334,1,0,0,0.660348339,2,0.110216808,1
ENSG00000274403,,lncRNA,0,0,0,0,0.115765576,1,0.33017417,1,0.220433617,2
ENSG00000274408,RNA5SP536,rRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274409,,misc_RNA,0,0,0,0,0,0,0,0,0,0
