gene_id,gene_name,gene_biotype,Donor8_ELOB_cpm,Donor8_ELOB_count,Donor8_GATA3_cpm,Donor8_GATA3_count,Donor8_SGF29_cpm,Donor8_SGF29_count,Donor8_MED24_cpm,Donor8_MED24_count,Donor8_NFKB2_cpm,Donor8_NFKB2_count,Donor8_KDM1A_cpm,Donor8_KDM1A_count,Donor8_NTC1_cpm,Donor8_NTC1_count,Donor8_NTC2_cpm,Donor8_NTC2_count,Donor8_NTC3_cpm,Donor8_NTC3_count
ENSG00000232643,LINC00385,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232644,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232645,LINC01431,lncRNA,0.167672871,1,0.129947564,1,0.145938923,1,0.157695664,1,0.371255386,3,0.136068228,1,0.243208482,2,0.236107665,2,0.385973622,3
ENSG00000232646,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232647,POLR3KP1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232648,ING2-DT,lncRNA,3.018111683,18,3.248689111,25,2.626900622,18,2.838521959,18,2.970043091,24,2.04102342,15,2.91850179,24,2.833291983,24,1.929868109,15
ENSG00000232650,LINC01780,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232653,GOLGA8N,protein_coding,1.718646931,10.25,2.896531211,22.29,1.192321004,8.17,0.551934825,3.5,2.372321919,19.17,1.792018562,13.17,1.408177114,11.58,1.455603756,12.33,1.425529243,11.08
ENSG00000232654,FAM136BP,processed_pseudogene,0,0,0,0,0,0,0.078847832,0.5,0,0,0,0,0,0,0,0,0,0
ENSG00000232655,LINC01656,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232656,IDI2-AS1,lncRNA,0,0,0.129947564,1,0.145938923,1,0.157695664,1,0.495007182,4,0.272136456,2,0.364812724,3,0.47221533,4,0.64328937,5
ENSG00000232658,SLC44A3P1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232661,CFTR-AS1,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232662,LDHBP1,processed_pseudogene,0.055332048,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232663,,processed_pseudogene,0,0,0,0,0,0,0,0,0.061875898,0.5,0,0,0,0,0,0,0,0
ENSG00000232664,LARP1BP3,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232665,PHB1P10,processed_pseudogene,0,0,0.129947564,1,0,0,0,0,0,0,0,0,0,0,0.059026916,0.5,0.064328937,0.5
ENSG00000232667,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232668,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232671,ZNF687-AS1,lncRNA,3.018111683,18,1.689318338,13,1.897206005,13,2.207739302,14,1.980028727,16,2.177091648,16,1.702459377,14,1.298592159,11,1.415236613,11
ENSG00000232672,ACTG1P21,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232675,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232676,ADH5P2,processed_pseudogene,0,0,0.064973782,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232677,LINC00665,lncRNA,3.604966733,21.5,4.125835171,31.75,2.189083851,15,1.971195805,12.5,3.743491813,30.25,2.721364559,20,3.283314513,27,2.921832357,24.75,2.348006199,18.25
ENSG00000232678,SPTLC1P4,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232679,LINC01705,lncRNA,0.167672871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232682,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232684,ATP11A-AS1,lncRNA,0,0,0,0,0.145938923,1,0.157695664,1,0,0,0.136068228,1,0.121604241,1,0,0,0,0
ENSG00000232685,LINC00442,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232687,RPL12P9,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232688,LINC01628,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232690,HSPE1P9,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0.0401294,0.33,0.118053833,1,0.042457098,0.33
ENSG00000232693,,lncRNA,1.006037228,6,0.259895129,2,0.145938923,1,0.630782658,4,0.866262568,7,0.272136456,2,0.608021206,5,0.47221533,4,0.257315748,2
ENSG00000232695,ELOCP17,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232696,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232699,BDH2P1,processed_pseudogene,0,0,0.064973782,0.5,0.145938923,1,0.078847832,0.5,0.371255386,3,0.136068228,1,0.121604241,1,0,0,0,0
ENSG00000232701,RPL21P108,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0.121604241,1,0,0,0,0
ENSG00000232702,WTAPP2,processed_pseudogene,0.419182178,2.5,0.324868911,2.5,0.802664079,5.5,0.551934825,3.5,0.80438667,6.5,0.68034114,5,0.547219086,4.5,0.590269163,5,0.900605118,7
ENSG00000232706,NUTM2HP,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232707,AP1B1P2,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232709,MARK2P9,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232710,,lncRNA,0.167672871,1,0,0,0,0,0,0,0,0,0,0,0.060802121,0.5,0,0,0,0
ENSG00000232712,KIZ-AS1,lncRNA,0,0,0,0,0,0,0.039423916,0.25,0,0,0.034017057,0.25,0.060802121,0.5,0,0,0,0
ENSG00000232713,RPS12P3,processed_pseudogene,0.39067779,2.33,0.43272539,3.33,0.729694617,5,1.025021819,6.5,0.577920885,4.67,0.295268055,2.17,0.486416965,4,0.865334593,7.33,0.536503334,4.17
ENSG00000232714,MTND3P8,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232715,LINC01022,lncRNA,0,0,0,0,0.072969462,0.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232716,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232717,TRIM51JP,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232718,GAPDHP48,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232719,,lncRNA,0,0,0,0,0,0,0,0,0.123751795,1,0.136068228,1,0,0,0.118053833,1,0,0
ENSG00000232721,,lncRNA,0.419182178,2.5,0.595159845,4.58,0.875633541,6,0.367430898,2.33,0.42323114,3.42,0.68034114,5,0.425614844,3.5,0.59971347,5.08,0.846568811,6.58
ENSG00000232722,MROH4P,transcribed_unitary_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232723,RPS17P7,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232724,TRIM80P,unitary_pseudogene,0,0,0.129947564,1,0.145938923,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232725,PLXNB3-AS1,lncRNA,0.112340824,0.67,0.087064868,0.67,0.243718002,1.67,0,0,0.27844154,2.25,0,0,0.081474842,0.67,0,0,0.171114972,1.33
