gene_id,gene_name,gene_biotype,DonorC2_NTC1_cpm,DonorC2_NTC1_count,DonorC2_SGF29-4_cpm,DonorC2_SGF29-4_count,DonorC2_NTC2_cpm,DonorC2_NTC2_count
ENSG00000185231,MC2R,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185236,RAB11B,protein_coding,18.36274840066353,120.0,31.34268789775975,243.0,27.124735057939397,196.0
ENSG00000185238,PRMT3,protein_coding,56.771497138718075,371.0,42.177197294516205,327.0,48.02185237298454,347.0
ENSG00000185245,GP1BA,protein_coding,0.0,0.0,0.1289822547232911,1.0,0.13839150539765,1.0
ENSG00000185246,PRPF39,protein_coding,35.195267767938425,230.0,30.310829859973424,235.0,32.1068292522548,232.0
ENSG00000185247,MAGEA11,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185250,PPIL6,protein_coding,0.0,0.0,0.3869467641698735,3.0,0.13839150539765,1.0
ENSG00000185252,ZNF74,protein_coding,13.159969687142194,86.0,11.608402925096204,90.0,12.316843980390848,89.0
ENSG00000185261,KIAA0825,protein_coding,1.3772061300497649,9.0,1.0318580377863291,8.0,0.6919575269882499,5.0
ENSG00000185262,UBALD2,protein_coding,35.27177921960786,230.5,98.99388050012595,767.5,54.31866586857761,392.5
ENSG00000185264,CIMIP4,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185267,CDNF,protein_coding,0.6120916133554509,4.0,0.2579645094465823,2.0,0.8303490323858999,6.0
ENSG00000185269,NOTUM,protein_coding,1.224183226710902,8.0,1.547787056679494,12.0,1.3839150539764995,10.0
ENSG00000185271,KLHL33,protein_coding,0.1530229033388627,1.0,0.0,0.0,0.0,0.0
ENSG00000185272,RBM11,protein_coding,0.3060458066777254,2.0,0.902875783063038,7.0,0.5535660215906,4.0
ENSG00000185274,GALNT17,protein_coding,0.7651145166943136,5.0,0.1289822547232911,1.0,0.13839150539765,1.0
ENSG00000185275,CD24P4,processed_pseudogene,0.1530229033388627,1.0,0.0644911273616455,0.5,0.2767830107953,2.0
ENSG00000185278,ZBTB37,protein_coding,6.579984843571097,43.0,6.965041755057723,54.0,5.674051721303648,41.0
ENSG00000185290,NUPR2,protein_coding,0.0,0.0,0.0,0.0,0.069195752698825,0.5
ENSG00000185291,IL3RA,protein_coding,0.3060458066777254,2.0,2.902100731274051,22.5,0.6227617742894248,4.5
ENSG00000185294,SPPL2C,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185296,,processed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185298,CCDC137,protein_coding,31.216672281128,204.0,49.91613257791368,387.0,43.731715705657386,316.0
ENSG00000185303,SFTPA2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185304,RGPD2,protein_coding,6.541729117736382,42.75,5.911256733968434,45.83,5.985432608448361,43.25
ENSG00000185305,ARL15,protein_coding,5.202778713521333,34.0,4.256414405868608,33.0,3.3213961295435994,24.0
ENSG00000185306,C12orf56,protein_coding,0.1530229033388627,1.0,0.3869467641698735,3.0,0.0,0.0
ENSG00000185313,SCN10A,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185319,SSX14P,unprocessed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185324,CDK10,protein_coding,13.312992590481056,87.0,25.151539671041775,195.0,19.098027744875697,138.0
ENSG00000185332,TMEM105,lncRNA,0.1530229033388627,1.0,0.0,0.0,0.0,0.0
ENSG00000185338,SOCS1,protein_coding,121.500185251057,794.0,268.5410543338922,2082.0,195.40880562148175,1412.0
ENSG00000185339,TCN2,protein_coding,0.3060458066777254,2.0,0.773893528339747,6.0,0.2767830107953,2.0
ENSG00000185340,GAS2L1,protein_coding,1.224183226710902,8.0,1.805751566126076,14.0,1.5223065593741496,11.0
ENSG00000185344,ATP6V0A2,protein_coding,100.07697878361624,654.0,86.80505742877496,673.0,83.17329474398764,601.0
