gene_id,gene_name,gene_biotype,Donor7_NTC1_cpm,Donor7_NTC1_count,Donor7_MEN1_cpm,Donor7_MEN1_count,Donor7_ELOB_cpm,Donor7_ELOB_count,Donor7_SGF29_cpm,Donor7_SGF29_count,Donor7_GATA3_cpm,Donor7_GATA3_count,Donor7_NTC2_cpm,Donor7_NTC2_count,Donor7_MED24_cpm,Donor7_MED24_count,Donor7_NFKB2_cpm,Donor7_NFKB2_count,Donor7_KDM1A_cpm,Donor7_KDM1A_count,Donor7_ATP2A2_cpm,Donor7_ATP2A2_count,Donor7_NTC3_cpm,Donor7_NTC3_count
ENSG00000000003,TSPAN6,protein_coding,0.862665497542522,10.33,1.0438490387712211,12.0,0.9082062509017508,11.0,0.5969670656706694,7.0,0.7165651483293396,8.0,0.4241612416316613,5.0,2.234168688639698,20.33,0.8174010199337018,5.0,1.6317641693486955,8.0,0.6954712675237634,3.0,0.7004608260327466,5.0
ENSG00000000005,TNMD,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000419,DPM1,protein_coding,113.68561682183557,1361.33,113.5185829663703,1305.0,118.14937682185504,1431.0,133.46477968208538,1565.0,121.0995100676584,1352.0,109.85776158260028,1295.0,106.37851896720257,968.0,116.07094483058567,710.0,96.27408599157305,472.0,115.44823040894474,498.0,105.3493082353251,752.0
ENSG00000000457,SCYL3,protein_coding,13.52873287530383,162.0,14.961836222387504,172.0,13.788222172781126,167.0,13.900804529188443,163.0,16.480998411574813,184.0,13.445911359723665,158.5,14.94574233423507,136.0,16.021059990700557,98.0,17.133523778161305,84.0,12.982130327110251,56.0,14.149308685861484,101.0
ENSG00000000460,FIRRM,protein_coding,11.023411972469788,132.0,9.30765392904339,107.0,13.623093763526262,165.0,13.900804529188443,163.0,13.256455244092784,148.0,10.7736955374442,127.0,8.022346988229119,73.0,11.934054891032048,73.0,8.974702931417827,44.0,14.604896617999032,63.0,10.927188886110848,78.0
ENSG00000000938,FGR,protein_coding,0.0,0.0,0.1739748397952035,2.0,0.0,0.0,0.1705620187630484,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079410423371739,2.0,0.2318237558412545,1.0,0.0,0.0
ENSG00000000971,CFH,protein_coding,0.39667580961539,4.75,1.7832421079008365,20.5,2.3324387807249507,28.25,3.027475833044109,35.5,1.8361981925939328,20.5,0.7210741107738243,8.5,1.5385322991124335,14.0,0.9808812239204424,6.0,2.549631514607337,12.5,0.6954712675237634,3.0,0.420276495619648,3.0
ENSG00000001036,FUCA2,protein_coding,28.894701079352625,346.0,37.49157797586636,431.0,24.273876160464976,294.0,35.13577586518797,412.0,24.00493246903288,268.0,26.38282922948934,311.0,26.209996667022537,238.5,24.358550394024316,149.0,21.824845765038805,107.0,32.91897332945814,142.0,23.955760250319937,171.0
ENSG00000001084,GCLC,protein_coding,25.4707625121461,305.0,19.572169476960397,225.0,21.9067604137965,265.33,18.50597903579075,217.0,21.58652509342136,241.0,22.14121681317273,261.0,23.95714580046504,218.0,17.8193422345547,109.0,18.357346905172825,90.0,16.92313417641158,73.0,18.49216580726451,132.0
ENSG00000001167,NFYA,protein_coding,23.382995093117728,280.0,24.530452411123697,282.0,22.567274050815957,273.33,22.798172237962863,267.33,26.945536696489405,300.83,25.534506746226015,301.0,25.935258756466737,236.0,27.9551148817326,171.0,21.07627395235009,103.33,23.64602309580796,102.0,20.87373261577585,149.0
